Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
am000658;;Alcott, Louisa May;0;Bianca;;"Opera; Comedy; Tragedy";https://www.gutenberg.org/ebooks/33986;1893;;;;;5;false;;1893;5;2;3;0;0;1;5;;6;6;1844;1652;194;46;18;alcott-bianca;am000658;AmDraCor;1893;;female;1832;1888;"Huon (M); Adelbert (M); Bianca (F); Hilda (F); Juan (M)";;;true;https://www.wikidata.org/wiki/Q185696;DraCor: https://dracor.org/;texts/alcott-bianca.xml
am000659;;Alcott, Louisa May;0;Captive of Castile;;Comic Tragedy;https://www.gutenberg.org/ebooks/33986;1893;;;;;5;false;;1893;5;1;4;0;0;1;6;;9;9;7265;7110;209;124;0;alcott-captive-of-castile;am000659;AmDraCor;1893;;female;1832;1888;"Ernest L'Estrange (M); Zara (F); Bernardo (M); Selim (M); Hernando (M)";;;true;https://www.wikidata.org/wiki/Q185696;DraCor: https://dracor.org/;texts/alcott-captive-of-castile.xml
am000654;;Aldrich, Thomas Bailey;0;Mercedes;;Romance;https://archive.org/details/mercedeslyrics00aldrrich;1884;;;;;10;false;;1884;10;2;8;0;0;1;30;;7;2;5370;4918;429;202;19;aldrich-mercedes;am000654;AmDraCor;1884;;male;1836;1907;"Laboissière (M); Louvois (M); Padre Joséf (M); Mercedes (F); Ursula (F); 1st Soldier (M); 2d Soldier (M); 3d Soldier (M); 4th Soldier (M); Sergeant (M)";;48;false;https://www.wikidata.org/wiki/Q922191;DraCor: https://dracor.org/;texts/aldrich-mercedes.xml
am000642;;Anonymous;0;Catharine Brown, the Converted Cherokee;;Drama;https://www.gutenberg.org/ebooks/39828;1819;;;;;45;false;;1819;45;16;25;4;0;2;438;;5;5;8546;7993;823;237;66;anonym-catharine-brown-the-converted-cherokee;am000642;AmDraCor;1819;Early American Plays, 1714-1830, ed. Oscar Wegelin;unknown;;;"Mr Olmstead (M); Mr Thornton (M); Mr Chamberlain (M); The Father of Catharine Brown (M); The Mother of Catharine Brown (F); Mrs Chamberlain (F); Catharine (F); Loory (Unk); Mammoo (Unk); Susan (F); Two Boys (M); John (M); Sarah (F); Mr Hoyt (M); Mrs Hoyt (F); Mr Elliott (M); Catharine Brown (F); First Chief (M); First Woman (F); First Boy (M); Second Boy (M); First Girl (F); Second Girl (F); Second Woman (F); Second Chief (M); Girls (F); Osage Captive (Unk); Lyman (M); Lucy (F); Maria (F); Julia (F); Caroline (F); Elias (M); Mr Hicks (M); King (M); Third Chief (M); Fourth Chief (M); Fifth Chief (M); Sixth Chief (M); Seventh Chief (M); Eighth Chief (M); Ninth Chief (M); Tenth Chief (M); Eleventh Chief (M); Children (Unk)";;;;;DraCor: https://dracor.org/;texts/anonym-catharine-brown-the-converted-cherokee.xml
am000646;;Anonymous;0;The Battle of Brooklyn;;Comedy;https://www.gutenberg.org/ebooks/39828;1776;;;;;19;false;;1776;19;2;12;5;0;1;45;;8;2;7435;7062;288;225;0;anonym-the-battle-of-brooklyn;am000646;AmDraCor;1776;Early American Plays, 1714-1830, ed. Oscar Wegelin;unknown;;;"Stirling (Unk); Joe King (M); Clark (Unk); Lasher (Unk); Remsen (Unk); Officer (M); Betty (F); Lady Gates (F); Washington (M); Sullivan (M); Putnam (M); Ebenezer Snuffle (M); Skinner (M); Soldier (M); 1st Soldier (M); 2d Soldier (M); Pennsylvanian (Unk); Centinel (M); Noah (M)";;;;;DraCor: https://dracor.org/;texts/anonym-the-battle-of-brooklyn.xml
am000643;;Anonymous;0;The Blockheads;;"Opera; Drama";https://www.gutenberg.org/ebooks/39828;1782;;;;;21;false;;1782;21;4;12;2;0;3;39;;12;2;4418;3351;577;70;192;anonym-the-blockheads;am000643;AmDraCor;1782;Early American Plays, 1714-1830, ed. Oscar Wegelin;unknown;;;"AMITA (F); PRODIGIATOR (M); LIBERTA (F); OLD SHAVER (M); OLD WIG (M); YOUNG WIG (M); MEANWELL (M); MYNHEER (M); DECEPTION (F); JOHN (M); AMERICANA (F); GANDER (M); ENGLISH SAILOR (Unk); PRESIDENT (M); SECOND MEMBER (M); THIRD MEMBER (Unk); FOURTH MEMBER (M); FIFTH MEMBER (M)";;;;;DraCor: https://dracor.org/;texts/anonym-the-blockheads.xml
am000530;;Barker, James Nelson;0;The Indian Princess;;"Melodrama; Opera";http://www.gutenberg.org/ebooks/29230;1808;;;;;24;false;;1808;24;4;8;10;2;1;173;;12;3;15379;13806;1315;345;882;barker-the-indian-princess;am000530;AmDraCor;1808;;male;1784;1858;"Percy (M); Walter (M); Larry (M); Robin (M); Alice (F); Captain Smith (M); Lieutenant Rolfe (M); Nima (Unk); Pocahontas (F); Miami (M); Nantaquas (Unk); [Adventurers] (Unk); Powhatan (Unk); Grimosco (Unk); Indian (Unk); First Indian (Unk); Second Indian (M); Chorus (Unk); Talman (Unk); Kate (F); Geraldine (F); Delawar (Unk)";;24;false;https://www.wikidata.org/wiki/Q1680890;DraCor: https://dracor.org/;texts/barker-the-indian-princess.xml
am000515;;Belasco, David;0;The Return of Peter Grimm;;Romance;https://www.gutenberg.org/ebooks/13319;1928;;;;;14;false;;1928;14;3;9;2;0;1;84;;3;3;31088;26917;9082;1020;42;belasco-the-return-of-peter-grimm;am000515;AmDraCor;1928;;male;1853;1931;"CATHERINE (F); JAMES (M); FREDERIK (M); PETER (M); WILLIAM (M); MARTA (F); DR MACPHERSON (M); MRS BATHOLOMMEY (F); REV MR BATHOLOMMEY (M); THE CLOWN (Unk); COLONEL LAWTON (M); A VOICE (Unk); HAWKER'S VOICE (M); BARKER'S VOICE (M)";;75;false;https://www.wikidata.org/wiki/Q562719;DraCor: https://dracor.org/;texts/belasco-the-return-of-peter-grimm.xml
am000503;;Boker, George H.;0;Francesca Da Rimini;;Tragedy;https://www.gutenberg.org/ebooks/13005;1883;;;;;17;false;;1883;17;2;13;2;0;1;65;;14;5;27342;26468;1084;0;3700;boker-francesca-da-rimini;am000503;AmDraCor;1883;George Henry;male;1823;1890;"Paolo (M); René (M); First Nobleman (M); Second Nobleman (M); Pepé (M); Malatesta (M); Lanciotto (M); Cardinal (M); Guido da Polenta (M); Francesca da Rimini (F); Ritta (F); Messenger (Unk); Nobleman (M); Servant (Unk); Captain (M); Knight (M); Soldier (M)";;60;false;https://www.wikidata.org/wiki/Q13407942;DraCor: https://dracor.org/;texts/boker-francesca-da-rimini.xml
am000504;;Boker, George H.;0;Glaucus;;Verse;https://archive.org/details/glaucusandotherp009339mbp;1940;;;;;25;false;;1940;25;5;17;3;3;1;227;;5;5;28831;28275;1800;1;4023;boker-glaucus;am000504;AmDraCor;1940;George Henry;male;1823;1890;"Clodius (M); Burbo (M); Strabo (M); Sallust (M); Dudus (M); Nydia (F); Gladiators (M); Praetor (M); 1st Officer (M); Lydon (M); 1st Gladiator (M); Glaucus (M); Saphax (M); Ione (F); Apaecides (M); Arbaces (M); Calenus (M); 1st Citizen (M); Citizens (Unk); 1st Maid (F); 2nd Maid (F); 3rd Maid (F); Servant (Unk); Officer (M); Crowd (Unk)";;;true;https://www.wikidata.org/wiki/Q13407942;DraCor: https://dracor.org/;texts/boker-glaucus.xml
