Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
cal000207;;Calderón de la Barca, Pedro;0;La selva confusa;;;;1623;;;;;12;false;;1623;12;3;6;3;0;1;66;1623;3;3;19365;19026;340;0;3894;la-selva-confusa;cal000207;CalDraCor;1623;;male;1600;1681;"FILIPO (M); FADRIQUE (Unk); CARLOS (M); LEONELO (M); MARCIAL (Unk); CELIA (F); FLORA (F); OTAVIO (M); DUQUE (M); FABRICIO (M); OTÓN (Unk); JACINTA (F)";;23;false;https://www.wikidata.org/wiki/Q170800;DraCor: https://dracor.org/;texts/la-selva-confusa.xml
cal000206;;Calderón de la Barca, Pedro;0;El primer blasón del Austria;;;http://www.cervantesvirtual.com/obra/el-primer-blason-del-austria--0/;1635;;;;;13;false;;1717;13;2;11;0;0;1;78;1634/1635;1;0;4010;3841;143;0;819;el-primer-blason-del-austria-auto;cal000206;CalDraCor;1635;;male;1600;1681;"IGLESIA (F); SAN MIGUEL (M); HORNOS (M); WEIMAR (M); FABRICIO (M); REY (M); INFANTE (M); TEUTÓNICO (M); GALASO (M); LEGANÉS (M); IDIÁQUEZ (M); RIVERA (M); REINA (F)";;35;false;https://www.wikidata.org/wiki/Q170800;DraCor: https://dracor.org/;texts/el-primer-blason-del-austria-auto.xml
cal000205;;Calderón de la Barca, Pedro;0;El pintor de su deshonra;;;https://dadun.unav.edu/handle/10171/19077;1646;;;;;13;false;;1717;13;5;5;0;0;1;78;1644/1646;1;0;10076;9341;788;0;1894;el-pintor-de-su-deshonra-auto;cal000205;CalDraCor;1646;;male;1600;1681;"LUCERO (M); CULPA (F); PINTOR (M); CIENCIA (F); INOCENCIA (F); GRACIA (F); MÚSICOS (DIVERSE); ALBEDRÍO (M); MUNDO (M); AMOR (M); MÚSICA (DIVERSE); NATURALEZA (F);";;46;false;https://www.wikidata.org/wiki/Q170800;DraCor: https://dracor.org/;texts/el-pintor-de-su-deshonra-auto.xml
cal000204;;Calderón de la Barca, Pedro;0;El jardín de Falerina;;;https://dadun.unav.edu/handle/10171/53064;1675;;;;;20;false;;1717;20;8;8;0;0;1;190;1675;1;0;10072;9512;594;0;2020;el-jardin-de-falerina-auto;cal000204;CalDraCor;1675;;male;1600;1681;"LUCERO (M); CULPA (F); HOMBRE (M); MÚSICA (DIVERSE); OÍDO (M); GUSTO (M); OLFATO (M); LISONJA (F); ENVIDIA (F); MURMURACIÓN (F); GULA (F); VISTA (F); TACTO (M); FEBO (M); ECOS (M); TODA LA MÚSICA (F); GRACIA (F);";;75;false;https://www.wikidata.org/wiki/Q170800;DraCor: https://dracor.org/;texts/el-jardin-de-falerina-auto.xml
cal000203;;Calderón de la Barca, Pedro;0;Cómo se comunican dos estrellas contrarias;;;;1630;;;;;15;false;;1677;15;5;7;2;1;1;97;1620/1630;3;3;16062;15708;355;0;3297;como-se-comunican-dos-estrellas-contrarias;cal000203;CalDraCor;1630;;male;1600;1681;"CELANDIO (M); LISARDO (M); MÚSICOS (DIVERSE); DOMINGA (F); DOÑA SOL (Unk); BELARDO (M); MENDO (M); JAQUES (Unk); DON GARCÍA (F); DON VELA (F); RAMIRO (M); DOÑA ELVIRA (F); NUÑO (M); UNO (M); DON ARIAS (F)";;30;false;https://www.wikidata.org/wiki/Q170800;DraCor: https://dracor.org/;texts/como-se-comunican-dos-estrellas-contrarias.xml
cal000202;;Calderón de la Barca, Pedro;0;Tu prójimo como a ti (primera versión);;;https://dadun.unav.edu/handle/10171/18218;1653;;;;;19;false;1653;1717;19;7;10;2;2;1;171;1653;1;0;9531;9190;323;0;1883;tu-projimo-como-a-ti;cal000202;CalDraCor;1653;;male;1600;1681;"CULPA (F); MUNDO (M); DEMONIO (M); LASCIVIA (F); DESEO (M); HOMBRE (M); GRACIA (F); VOCES (Unk); LEVITA (M); SACERDOTE (M); NOCHE (F); LUCERO (M); MÚSICOS (Unk); AURORA (F); SOL (M); PEDRO (M); PENITENCIA (F); MUERTE (F); AMOR (M)";;53;false;https://www.wikidata.org/wiki/Q170800;DraCor: https://dracor.org/;texts/tu-projimo-como-a-ti.xml
cal000201;;Calderón de la Barca, Pedro;0;Psiquis y Cupido (Toledo);;;https://dadun.unav.edu/handle/10171/37390;1640;;;;;15;false;;1677;15;6;7;1;4;1;105;1640;1;0;8331;7867;478;0;1627;psiquis-y-cupido-toledo;cal000201;CalDraCor;1640;;male;1600;1681;"APOSTASÍA (F); CORO 1.º (M); GENTILIDAD (F); IDOLATRÍA (F); JUDAÍSMO (M); SINAGOGA (F); CORO 2.º (M); CORO 3.º (M); ALBEDRÍO (M); FE (F); CUPIDO (M); MUNDO (M); ENVIDIA (F); MÚSICOS (Unk)";;40;false;https://www.wikidata.org/wiki/Q170800;DraCor: https://dracor.org/;texts/psiquis-y-cupido-toledo.xml
cal000200;;Calderón de la Barca, Pedro;0;No hay más Fortuna que Dios;;;;1653;;;;;17;false;;1717;17;7;8;2;5;1;136;1652/1653;1;0;10125;9325;883;0;1922;no-hay-mas-fortuna-que-dios;cal000200;CalDraCor;1653;;male;1600;1681;"DEMONIO (M); MALICIA (F); JUSTICIA (F); PODER (M); LABRANZA (F); HERMOSURA (F); DISCRECIÓN (F); MILICIA (F); POBREZA (F); BIEN (M); MAL (M); MÚSICOS (Unk); CORO 1.º (M); CORO 2.º (M); CORO (M); ESQUELETO (M); OTROS (Unk)";;53;false;https://www.wikidata.org/wiki/Q170800;DraCor: https://dracor.org/;texts/no-hay-mas-fortuna-que-dios.xml
cal000199;;Calderón de la Barca, Pedro;0;Mística y real Babilonia;;;https://dadun.unav.edu/handle/10171/19078;1662;;;;;16;false;1662;1717;16;1;12;1;1;1;120;1662;1;0;10902;10321;736;0;2116;mistica-y-real-babilonia;cal000199;CalDraCor;1662;;male;1600;1681;"NABUCO (M); MÚSICOS (Unk); HABACÚ (M); ZABULÓN (M); AZARÍAS (M); ANANÍAS (M); MISAEL (M); DANIEL (M); ARFAJAT (M); SOLDADO 1.º (M); SOLDADO 2.º (M); IDOLATRÍA (F); DONOSOR (M); GABRIEL (M)";;62;false;https://www.wikidata.org/wiki/Q170800;DraCor: https://dracor.org/;texts/mistica-y-real-babilonia.xml
cal000198;;Calderón de la Barca, Pedro;0;Los misterios de la misa;;;;1640;;;;;13;false;1640;1701;13;3;9;0;1;1;78;1640;1;0;7158;6882;272;0;1433;los-misterios-de-la-misa;cal000198;CalDraCor;1640;;male;1600;1681;"IGNORANCIA (F); SABIDURÍA (F); ADÁN (M); MÚSICOS (DIVERSE); MOISÉS (M); BAUTISTA (M); CRISTO (M); GENTILIDAD (F); JUDAÍSMO (M); PABLO (M); EVANGELISTA (M); NIÑO (M); LUCAS (M)";;40;false;https://www.wikidata.org/wiki/Q170800;DraCor: https://dracor.org/;texts/los-misterios-de-la-misa.xml
