Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
dut000231;;Merken, Lucretia Wilhelmina;0;Gelonide;;;https://www.dbnl.org/tekst/wint009toon02_01/wint009toon02_01_0023.php;1786;;;;;17;false;1791;1786;17;3;10;1;3;2;56;;39;5;15201;14111;1090;0;1595;merken-gelonide;dut000231;DutchDraCor;1786;;female;1721;1789;"Gelonide (F); Leotichides (M); Hezioné (F); Iphidamas (M); Melanthus (M); Rei van priesteren (M); Archimadas (M); Philocles (M); Hippomedon (M); Timoleon (M); Myronides (M); Eurimedon (M); Rei van priesteren en priesterinnen van Minerva (Unk)";;65;false;https://www.wikidata.org/wiki/Q3265974;DraCor: https://dracor.org/;texts/merken-gelonide.xml
dut000230;;Merken, Lucretia Wilhelmina;0;Sebille van Anjou;;;https://www.dbnl.org/tekst/wint009toon02_01/wint009toon02_01_0016.php;1786;;;;;14;false;;1786;14;5;9;0;0;1;56;;35;5;16536;15532;853;0;1751;merken-sebille-van-anjou;dut000230;DutchDraCor;1786;;female;1721;1789;"Sebille van Anjou (F); Melizende (F); Elize (F); Humfrei van Thoron (M); Heraclious (M); Eustatius (M); Matilde (F); Agnes (F); Theodorik (M); Raimond van Toulouze (M); Omar (M); Saladyn (M); Sirakon (M); Gui van Lusignan (M)";;65;false;https://www.wikidata.org/wiki/Q3265974;DraCor: https://dracor.org/;texts/merken-sebille-van-anjou.xml
dut000229;;Merken, Lucretia Wilhelmina;0;Louize d'Arlac;;;https://www.dbnl.org/tekst/wint009toon02_01/wint009toon02_01_0009.php;1786;;;;;16;false;;1786;16;2;14;0;1;1;64;;34;5;18046;16551;1913;0;1818;merken-louize-d-arlac;dut000229;DutchDraCor;1786;;female;1721;1789;"Otocara (M); Satouria (M); Oades (M); Stalame (M); Adusta (M); Louize (F); Olinde (F); Du Bree (M); Dominicus de Gourges (M); Cipiere (M); La Val (M); La Vigne (M); Vesti (M); Joinville (M); Fransche en Amerikaansche Krygslieden (M); Hoya (M)";;65;false;https://www.wikidata.org/wiki/Q3265974;DraCor: https://dracor.org/;texts/merken-louize-d-arlac.xml
dut000228;;Merken, Lucretia Wilhelmina;0;Maria van Bourgondiën, gravinne van Holland;;;https://www.dbnl.org/tekst/wint009toon01_01/wint009toon01_01_0032.php;1774;;;;;11;false;1782;1774;11;2;8;0;0;1;33;;37;5;16306;15551;524;0;1702;merken-maria-van-bourgondien;dut000228;DutchDraCor;1774;;female;1721;1789;"Maria van Bourgondiën (F); Margareta van Jork (F); Pieter van Luxemburg (M); Adolf (M); Didrik van Montvoort (M); Adolf (M); Nicolaas van Anjouk (M); Willem van der Mark (M); Guido (M); Bernard (M)";;53;false;https://www.wikidata.org/wiki/Q3265974;DraCor: https://dracor.org/;texts/merken-maria-van-bourgondien.xml
dut000227;;Merken, Lucretia Wilhelmina;0;Jacob Simonszoon de Ryk;;;https://www.dbnl.org/tekst/wint009toon01_01/wint009toon01_01_0010.php;1774;;;;;10;false;1774;1774;10;2;8;0;0;1;30;;40;5;18234;16298;700;0;1775;merken-jacob-simonszoon-de-ryk;dut000227;DutchDraCor;1774;;female;1721;1789;"Donna Elvire de Moncada (F); Don Ozorio de Augulo (M); Henrico (M); Nicolaas Nicolaaszoon Hooft (M); Margareta Hooft (F); Alfonzo (M); Jacob Simonszoon de Ryk (M); Don Louis de Requesens (M); Don Francisco de Bovadilla (M); Christoffel Mondragon (M)";;53;false;https://www.wikidata.org/wiki/Q3265974;DraCor: https://dracor.org/;texts/merken-jacob-simonszoon-de-ryk.xml
dut000226;;Merken, Lucretia Wilhelmina;0;Het beleg der stad Leyden;;;https://www.dbnl.org/tekst/wint009toon01_01/wint009toon01_01_0002.php;1774;;;;;13;false;1775;1774;13;2;11;0;0;1;44;;40;5;19395;16327;587;1;1729;merken-het-beleg-der-stad-Leyden;dut000226;DutchDraCor;1774;;female;1721;1789;"Elizabeth van der Werf (F); Magdalena Moons (F); Jan van Hout (M); Pieter Adriaansz. van der Werf (M); Jan Jansz van Baarsdorp (M); Cornelis Claasz. van Zwieten (M); Cornelis van Noorden (M); Jongkheer Jan van der Does (M); Don Francisco de Valdez (M); Eerste Burger (M); Tweede Burger (M); Een Weesjongen (M); Lodewyk van Boisot (M)";;53;false;https://www.wikidata.org/wiki/Q3265974;DraCor: https://dracor.org/;texts/merken-het-beleg-der-stad-Leyden.xml
dut000225;;Merken, Lucretia Wilhelmina;0;De camisards;;;https://www.dbnl.org/tekst/wint009toon01_01/wint009toon01_01_0025.php;1774;;;;;10;false;;1774;10;2;8;0;0;1;41;;37;5;16616;15971;651;0;1758;merken-de-camisards;dut000225;DutchDraCor;1774;;female;1721;1789;"Cavalier (M); Billard (M); Catinat (M); Ravanel (M); Marianne (F); Charlotte (F); Cadet (M); Valmal (M); La Lande (M); Charles (M)";;53;false;https://www.wikidata.org/wiki/Q3265974;DraCor: https://dracor.org/;texts/merken-de-camisards.xml
dut000224;;Rodenburg, Theodoor;0;Rodomont en Isabella;;;https://www.dbnl.org/tekst/rode001rodo01_01/index.php;1618;;;;;42;false;;1618;42;6;25;11;1;2;361;;8;6;24410;23790;437;0;2912;rodenburg-rodomont-en-isabella;dut000224;DutchDraCor;1618;Rodenburg, Theodore;male;1574;1644;"Medor (M); Angelica (F); Rodomont (M); Doralice (F); Mandricard"" (M); Echo (Unk); Unknown (Unk); Roeland (M); Isabella (F); Anzelmo (M); Zerbyn (M); Gabrina (F); Eerste edelman (M); Tweede edelman (M); Derde edelman (M); Vierde edelman (M); Wandelaer (M); Oderic (M); Corebe (M); Almont (M); Heremyt (M); Eerste der huyslieden (M); Tweede der huyslieden (M); Derde der huyslieden (M); Vierde der huyslieden (M); Bode (M); Eerste soldaat (M); Tweede soldaat (M); Derde soldaat (M); Vierde soldaat (M); Soldaten (M); Stantvasticheyt (Unk); Liefde (Unk); Reynicheyt (Unk); Afterdocht (Unk); Araete (F); Trouwicheyt (Unk); Diana (F); Vrese Gods (Unk); Deugd (Unk); In Liefd' Bloeyende (Unk); Uyt Levender Ionst (Unk)";;44;false;https://www.wikidata.org/wiki/Q2361491;DraCor: https://dracor.org/;texts/rodenburg-rodomont-en-isabella.xml
dut000223;;Rodenburg, Theodoor;0;Casandra;Hertoginne van Borgonie en Karel Baldeus;;https://www.dbnl.org/tekst/rode001casa01_01/index.php;1617;;;;;18;false;;1617;18;3;13;2;1;1;112;;7;4;30427;29105;332;0;3474;rodenburg-casandra;dut000223;DutchDraCor;1617;Rodenburg, Theodore;male;1574;1644;"Casandra (F); Camilla (F); Karel Baldeus (M); Vrou Leonora (F); Graef Lodewijk (M); Aernout (M); Lucino (M); Eraclio (M); Prudentio (M); Helbaerdiers (M); Feliciano (M); Grimaldus (M); Unknown (Unk); Bode (M); Dienaer van Graef Lodewijk (M); Lambrecht (M); Casou (M); de Gemeente (Unk)";;43;false;https://www.wikidata.org/wiki/Q2361491;DraCor: https://dracor.org/;texts/rodenburg-casandra.xml
dut000222;;Coster, Samuel;0;Ithys;;;https://www.dbnl.org/tekst/cost001rako01_01/cost001rako01_01_0011.php;1615;;;;;11;false;;1615;11;5;5;1;1;1;19;;26;5;16976;16568;65;0;1896;coster-ithys;dut000222;DutchDraCor;1615;;male;1579;1665;"Caralena (F); Silvia (F); Tityrus (M); Thereus (M); Grusella (F); Baucis (M); Procne (F); Reyen (Unk); Daphne (F); Coridon (M); Ithys (M)";;36;false;https://www.wikidata.org/wiki/Q2371985;DraCor: https://dracor.org/;texts/coster-ithys.xml
