Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
ep000825;;Nabbes, Thomas;0;The Spring's Glory;;;https://texts.earlyprint.org/works/A07976.xml;1625;;;;;16;false;;;16;5;11;0;1;2;57;1625;2;0;8783;3837;322;53;341;nabbes-the-spring-s-glory;ep000825;EngDraCor;1625;;male;1605;1641;"Venus (F); Cupid (M); Ceres (F); Bacchus (M); Shrovetide (M); Christmas (M); Lent (M); Spring (F); Beggars (M); Time (M); Almanac Maker 1 (M); Almanac Maker 2 (M); Almanac Maker 3 (M); Almanac Maker 4 (M); Hostess (F); May (F)";;20;false;https://www.wikidata.org/wiki/Q7792668;DraCor: https://dracor.org/;texts/nabbes-the-spring-s-glory.xml
ep000821;Q7770291;Shirley, James;0;The Triumph of Peace;;;https://texts.earlyprint.org/works/B07101.xml;1633;;;;;23;false;;;23;10;13;0;1;1;253;1633;6;0;6312;2416;113;14;322;shirley-the-triumph-of-peace;ep000821;EngDraCor;1633;;male;1596;1666;"Confidence (M); Opinion (M); Novelty (F); Admiration (F); Philosopher (M); Jollity (M); Antimasker (M); Irene (F); Chorus (M); Eunomia (F); Diche (F); Genius (M); Carpenter (M); Guard 1 (M); Tailor (M); Tailor's Wife (F); Guard 2 (M); Property Man's Wife (F); Blackguard (M); Painter (M); Feather Maker's Wife (F); Embroderer's Wife (F); Amphiluche (F)";;37;false;https://www.wikidata.org/wiki/Q1349914;DraCor: https://dracor.org/;texts/shirley-the-triumph-of-peace.xml
ep000820;Q7764538;Shirley, James;0;The Sisters;;Tragicomedy;https://texts.earlyprint.org/works/A93178.xml;1642;;;;;30;false;;;30;5;25;0;1;1;363;1642;5;5;15633;14521;336;0;1954;shirley-the-sisters;ep000820;EngDraCor;1642;;male;1596;1666;"Longino (M); Rangino (M); Stephanio (M); Frapolo (M); Pacheco (M); Strozzo (M); Banditi (M); Piperollo (M); Giovanni (M); Antonio (M); Lucio (M); Morulla (F); Fabio (M); Vergerio (M); Contarini (M); Paulina (F); Angelina (F); Countryman 1 (M); Franceschina (F); Gentlewoman 1 (F); Scholar (M); Citizen 1 (M); Citizen 2 (M); Citizen 3 (M); Citizen 4 (M); Petitioner 1 (M); Petitioner 2 (M); Petitioner 3 (M); Farnese (M); Servant (M)";;46;false;https://www.wikidata.org/wiki/Q1349914;DraCor: https://dracor.org/;texts/shirley-the-sisters.xml
ep000819;Q7730757;Shirley, James;0;The Doubtful Heir;;Tragicomedy;https://texts.earlyprint.org/works/A93170.xml;1638;;;;;21;false;;;21;3;18;0;1;1;175;1638;5;5;20009;19019;369;68;2381;shirley-the-doubtful-heir;ep000819;EngDraCor;1638;;male;1596;1666;"Rodriguez (M); Ernesto (M); Leonario (M); Captain (M); Citizen 1 (M); Citizen 2 (M); Leandro (M); Queen (F); Lords (M); Servant (M); Lieutenant (M); Antient (M); Rosania (F); Ferdinand (M); Keeper (M); Violinda (F); Guard (M); Soldier (M); Courtier (M); Servants (M); Alfonso (M)";;42;false;https://www.wikidata.org/wiki/Q1349914;DraCor: https://dracor.org/;texts/shirley-the-doubtful-heir.xml
ep000818;Q7721343;Shirley, James;0;The Cardinal;;Tragedy;https://texts.earlyprint.org/works/A93167.xml;1641;;;;;31;false;;;31;5;26;0;2;1;314;1641;6;5;18591;17331;475;41;2237;shirley-the-cardinal;ep000818;EngDraCor;1641;;male;1596;1666;"Lord 1 (M); Lord 2 (M); Secretary (M); Alphonso (M); Valeria (F); Celinda (F); Duchess (F); Placentia (F); Columbo (M); King (M); Cardinal (M); Ladies (F); Alvarez (M); Colonel 1 (M); Hernando (M); Colonel 2 (M); Captain 2 (M); Captain 1 (M); Soldier (M); Lords (M); Servant 1 (M); Servant 3 (M); Servant 2 (M); Servant 4 (M); Servant 5 (M); Gentleman (M); Servant (M); A Colonel (M); Antonelli (M); Surgeon (M); Epilogue (M)";;45;false;https://www.wikidata.org/wiki/Q1349914;DraCor: https://dracor.org/;texts/shirley-the-cardinal.xml
ep000817;Q16931028;Shirley, James;0;The Brothers;;Comedy;https://texts.earlyprint.org/works/A93166.xml;1652;;;;;17;false;;;17;4;13;0;0;1;136;1652;5;5;19347;18667;299;1;2483;shirley-the-brothers;ep000817;EngDraCor;1652;;male;1596;1666;"Francisco (M); Jacinta (F); Don Carlos (M); Servant (M); Luys (M); Alberto (M); Ramires (M); Fernando (M); Felisarda (F); Alsimira (F); Pedro (M); Estifania (F); Notary (M); Physician (M); Confessor (M); Gentleman (M); Teodoro (M)";;56;false;https://www.wikidata.org/wiki/Q1349914;DraCor: https://dracor.org/;texts/shirley-the-brothers.xml
ep000816;;Carew, Thomas;0;Coelum Britannicum;;;https://texts.earlyprint.org/works/A73704.xml;1634;;;;;16;false;;;16;7;9;0;2;1;120;1634;4;0;9830;7916;1351;27;588;carew-coelum-britannicum;ep000816;EngDraCor;1634;;male;1594;1640;"Mercury (M); Momus (M); Plutus (M); Poverty (F); Fortuna (F); Pleasure (F); Genius (M); Kingdoms (M); Chorus (M); Eternity (M); Eusebia (F); Aletheia (M); Sophia (F); Homonoia (F); Dicaearches (M); Euphemia (F)";;40;false;https://www.wikidata.org/wiki/Q2040910;DraCor: https://dracor.org/;texts/carew-coelum-britannicum.xml
ep000815;;Anonymous;0;Caesar and Pompey, or Caesar's Revenge;;Tragedy;https://texts.earlyprint.org/works/A73627.xml;1592;;;;;28;false;;;28;3;23;2;1;1;278;1592;24;5;20004;19275;286;0;2450;anon-caesar-and-pompey;ep000815;EngDraCor;1592;;unknown;;;"Titinnius (M); Brutus (M); Pompey (M); Caesar (M); Anthony (M); Dolabella (M); Lord (M); Cornelia (F); Cleopatra (F); Achillas (M); Sempronius (M); Cicero (M); Casca (M); Camber (M); Trebonius (M); Cato Sr (M); Cato Jr (M); Discord (Unk); Cassius (M); 1 Roman (M); 2 Roman (M); Bonus Genius (Unk); Calpurnia (F); Augur (M); Presenter (M); Senators (M); Bucolian (M); Octavian (M)";;;;https://www.wikidata.org/wiki/Q4233718;DraCor: https://dracor.org/;texts/anon-caesar-and-pompey.xml
ep000814;;Hausted, Peter;0;The Rival Friends;;Comedy;https://texts.earlyprint.org/works/A72254.xml;1632;;;;;39;false;;;42;10;32;0;1;2;302;1632;50;5;37799;32911;1088;408;3101;hausted-the-rival-friends;ep000814;EngDraCor;1632;;male;1501;;"Placenta (F); Isabella (F); Constantina (F); Anteros (M); Lucius (M); Endymion (M); Luscinio (M); Pandora (F); Neander (M); Lively (M); Arthur Armstrong (M); Zealous (M); Boy (M); Stutchell (M); Hugo (M); Loveall (M); Stipes (M); Mrs Ursely (F); Merda (F); Hook (M); Ganymede (M); Tempest (M); Mungrel (M); Hammershin (M); Noddle (M); William Wiseacres (M); Treble 1 (M); Treble 2 (M); Chorus (M); Rustic 1 (M); Rustic 2 (M); Maid 1 (F); Maid 2 (F); Jeoffry (M); Laurentio (M); Bedlam (M); Terpander (M); Jack (M); Cleopes (M)";;;;https://www.wikidata.org/wiki/Q7174583;DraCor: https://dracor.org/;texts/hausted-the-rival-friends.xml
ep000813;Q7758999;Brome, Richard;0;The Queen and Concubine;;Tragicomedy;https://texts.earlyprint.org/works/A77567_05.xml;1635;;;;;39;false;;;39;5;33;1;0;1;284;1635;48;5;34028;32210;949;259;3268;brome-the-queen-and-concubine;ep000813;EngDraCor;1635;;male;1590;1653;"Horatio (M); Lodovico (M); eulalia (F); Prince (M); King (M); Sforza (M); Soldiers (M); Flavello/Alphonso (M); Alinda (F); Petruchio (M); Servant (M); Attendants (Unk); Lords (M); Bishops (M); Andrea (M); Jago (M); Rugio (M); Keeper (M); Guard (M); Pedro (M); Lollio (M); Fabio (M); Strozzo (M); Crier (M); Curate (M); Poggio (M); Countryman (M); Countryman 1 (M); Countryman 2 (M); Countryman 3 (M); Girl 1 (M); Girl 3 (F); Doctor (M); Captain (M); Captain 1 (M); Captain 2 (M); Girl 2 (F); Midwife (F); Lieutenants (M)";;45;false;https://www.wikidata.org/wiki/Q3430577;DraCor: https://dracor.org/;texts/brome-the-queen-and-concubine.xml
ep000812;;Brome, Richard;0;The New Academy, or The New Exchange;;Comedy;https://texts.earlyprint.org/works/A77567_04.xml;1635;;;;;24;false;;;24;6;18;0;0;1;229;1635;9;5;28297;27564;365;309;2706;brome-the-new-academy;ep000812;EngDraCor;1635;;male;1590;1653;"Erasmus (M); Valentine (M); Cash (M); Strigood (M); Lafoy (M); Ephraim (M); Matchil (M); Joyce (F); Gabriella (F); Rachel (F); Camelion (M); Hannah (F); Post (M); Nehemiah (M); Whimbly (M); Blithe (F); Servant (M); Papillion (M); Galliard (M); Philip (M); Hardyman (M); Lady (F); Young Lafoy (M); Young Matchil (M)";;45;false;https://www.wikidata.org/wiki/Q3430577;DraCor: https://dracor.org/;texts/brome-the-new-academy.xml
ep000811;;Brome, Richard;0;The Weeding of the Covent Garden, or The Middlesex Justice of Peace;;Comedy;https://texts.earlyprint.org/works/A77567_03.xml;1632;;;;;27;false;;;27;8;19;0;0;1;236;1632;10;5;27249;25945;421;1240;130;brome-the-weeding-of-the-covent-garden;ep000811;EngDraCor;1632;;male;1590;1653;"Cockbrain (M); Rooksbill (M); Crossewill (M); Gabriel (M); Kate (F); Belt (M); Damaris (F); Clotpoll (M); Nicholas (M); Anthony (M); Francisca (F); Madge (F); Rafe (M); Shoemaker (M); Tailor (M); Laundress (F); Mihil (M); Drawer (M); Lucy (F); Vintner (M); Captain (M); Pig (M); Betty (F); Citizen (M); Boy (M); Dorcas (F); Parson (M)";;42;false;https://www.wikidata.org/wiki/Q3430577;DraCor: https://dracor.org/;texts/brome-the-weeding-of-the-covent-garden.xml
ep000810;;Brome, Richard;0;The Lovesick Court, or The Ambitious Politic;;Tragicomedy;https://texts.earlyprint.org/works/A77567_02.xml;1635;;;;;21;false;;;21;5;16;0;1;1;168;1635;12;5;21840;21373;730;3;2764;brome-the-lovesick-court;ep000810;EngDraCor;1635;;male;1590;1653;"Disanius (M); Justinius (M); Stratocles (M); King (M); Eudina (F); Rustic 1 (M); Rustic 2 (M); Rustic 3 (M); Rustic 4 (M); Thymele (F); Garula (F); Placilla (F); Philargus (M); Geron (M); Philocles (M); Doris (F); Matho (M); Tersulus (M); Varillus (M); Soldiers (M); Euphathus (M)";;45;false;https://www.wikidata.org/wiki/Q3430577;DraCor: https://dracor.org/;texts/brome-the-lovesick-court.xml
ep000809;;Brome, Richard;0;The English Moor, or The Mock Marriage;;Comedy;https://texts.earlyprint.org/works/A77567_01.xml;1632;;;;;24;false;;;24;5;18;1;1;1;151;1632;17;5;26379;23765;499;22;2782;brome-the-english-moor;ep000809;EngDraCor;1632;;male;1590;1653;"Arnold (M); Dionysia (F); Rafe (M); Nathaniel (M); Phillis (F); Vincent (M); Edmund (M); Theophilus (M); Arthur (M); Testy (M); Millicent (F); Quicksands (M); Buzzard (M); Mercury (M); Lucy (F); Madge (F); Boy (M); Page (M); Inductor (M); Moors (Unk); Meanwell (M); Host (M); Rashley (M); Winlose (M)";;42;false;https://www.wikidata.org/wiki/Q3430577;DraCor: https://dracor.org/;texts/brome-the-english-moor.xml
ep000808;;Brome, Richard;0;The City Wit, or The Woman Wears the Breeches;;Comedy;https://texts.earlyprint.org/works/A77565_04.xml;1630;;;;;16;false;;;16;6;10;0;0;1;113;1630;14;14;24501;23069;662;965;226;brome-the-city-wit;ep000808;EngDraCor;1630;;male;1590;1653;"Jeremy (M); Crack (M); Sarpego (M); Pyannet (F); Tobias (M); Ticket (M); Lady Ticket (F); Sneakup (M); Rufflit (M); Josina (F); Bridget (F); Linsy Woolsey (M); Crasy (M); Isabel (F); Tryman (M); Jone (F)";;40;false;https://www.wikidata.org/wiki/Q3430577;DraCor: https://dracor.org/;texts/brome-the-city-wit.xml
ep000807;Q7754451;Brome, Richard;0;The Novella;;Comedy;https://texts.earlyprint.org/works/A77565_02.xml;1632;;;;;20;false;;;20;4;15;0;0;1;181;1632;8;8;19393;18546;497;437;1916;brome-the-novella;ep000807;EngDraCor;1632;;male;1590;1653;"Piso (M); Fabritio (M); Francisco (M); Horatio (M); Guadagni (M); Nanulo (M); Astutta (F); Flavia (F); Pantaloni (M); Nicolo (M); Victoria (F); Paulo (M); Jacomo (M); Swatzenburgh (M); Zaffi (M); Pedlar (F); Checquino (M); Prospero (M);";;42;false;https://www.wikidata.org/wiki/Q3430577;DraCor: https://dracor.org/;texts/brome-the-novella.xml
ep000806;Q4658016;Brome, Richard;0;A Mad Couple Well Matched;;Comedy;https://texts.earlyprint.org/works/A77565_01.xml;1632;;;;;18;false;;;18;5;13;0;0;1;130;1632;9;9;28546;27747;315;1108;425;brome-a-mad-couple-well-matched;ep000806;EngDraCor;1632;;male;1590;1653;"Careless (M); Wat (M); Saveall (M); Phebe (F); Saleware (M); Prentice (M); Thrivewell (M); Lady (F); Alicia (F); Bellamie (M); Nurse (F); Crostill (F); Closet (M); Lovely (M); Bellamy Sr (M); Page (M); Servant (M); Fitzgerrard (M)";;42;false;https://www.wikidata.org/wiki/Q3430577;DraCor: https://dracor.org/;texts/brome-a-mad-couple-well-matched.xml
ep000801;Q7526354;Peele, George;0;Clyomon and Clamydes;;;https://texts.earlyprint.org/works/A69121.xml;1599;;;;;21;false;;;21;3;17;1;0;1;210;1599;1;0;24910;24111;508;0;2052;peele-clyomon-and-clamydes;ep000801;EngDraCor;1599;;male;1556;1596;"Clamydes (M); Juliana (F); Clyomon (M); Shift (M); Alexander (M); Lord 1 (M); Lord 2 (M); Bryan (M); Boatswain (M); Neronis (F); Knight (M); Thrasellus (M); Corin (M); Providence (M); Mustantius (M); Queen (F); Page (M); Curdaser (M); Lord (M); King (M); Knowledge (Unk)";;;true;https://www.wikidata.org/wiki/Q704626;DraCor: https://dracor.org/;texts/peele-clyomon-and-clamydes.xml
ep000800;Q6902544;Chapman, George;0;Monsieur D'Olive;;Comedy;https://texts.earlyprint.org/works/A69093.xml;1605;;;;;19;false;;;19;3;16;0;0;1;121;1605;5;5;18645;18503;229;453;938;chapman-monsieur-d-olive;ep000800;EngDraCor;1605;;male;1559;1634;"Vandome (M); Servant (M); Vaumont (M); Mugeroun (M); Rhodoricke (M); D'olive (M); Dicque (M); Lycet (M); Eurione (F); Marcellina (F); Sic (M); Servant 2 (M); Philip (M); Gueaquin (F); St. Anne (M); Cornelius (M); Fripper (M); Pacque (M); Page (M)";;46;false;https://www.wikidata.org/wiki/Q342720;DraCor: https://dracor.org/;texts/chapman-monsieur-d-olive.xml
ep000799;;Woodes, Nathaniel;0;The Conflict of Conscience;;Comedy;https://texts.earlyprint.org/works/A68918.xml;1572;;;;;17;false;;;17;0;17;0;0;3;36;1572;16;6;21364;19186;60;0;1946;woodes-the-conflict-of-conscience;ep000799;EngDraCor;1572;;male;;;"Satan (M); Philologus (M); Mathetes (M); Hypocrisy (M); Avarice (M); Tyranny (M); Caconos (M); Cardinal (M); Suggestion (M); Spirit (M); Conscience (M); Gisbertus (M); Paphinitius (M); Horror (M); Eusebius (M); Theologus (M); Nuntius (M)";;;;;DraCor: https://dracor.org/;texts/woodes-the-conflict-of-conscience.xml
ep000798;;S., S.;0;The Honest Lawyer;;Comedy;https://texts.earlyprint.org/works/A68683.xml;1614;;;;;19;false;;;19;3;16;0;0;1;166;1614;5;5;22772;22235;457;620;1404;s-the-honest-lawyer;ep000798;EngDraCor;1614;;male;;;"Robert (M); Vaster (M); Wife (F); Mar Maid (F); Benjamin (M); Curfew (M); Valentine (M); Gripe (M); Thirsty (M); Nice (M); Anne (F); Griffin (M); Bromley (M); Sager (M); Brace (M); Messenger (M); Jailer (M); Abbot (M); Clark (M)";;;;;DraCor: https://dracor.org/;texts/s-the-honest-lawyer.xml
ep000797;;Richards, Nathaniel;0;Messalina, the Roman Empress;;Tragedy;https://texts.earlyprint.org/works/A68655.xml;1634;;;;;34;false;;;34;13;19;2;1;1;371;1634;5;5;19168;16921;853;134;2065;richards-messalina-the-roman-empress;ep000797;EngDraCor;1634;;male;1630;1660;"Silius (M); Valens (M); Proculus (M); Bawd (F); Hem (M); Stitch (M); Calistus (M); Saufellus (M); Emperor (M); Messalina (F); Menester (M); Montanus (M); Lepida (F); Roman Dame 1 (F); Roman Dame 2 (F); Roman Dame 3 (F); Servant (M); Calphurnia (F); Fury 1 (F); Fury 2 (F); Fury 3 (F); Sylana (F); Mela (M); Virgilianus (M); Narcissus (M); Pallas (M); Vibidia (F); Sulpitius (M); Guard 1 (M); Guard 2 (M); Curtisans (F); Spirit 1 (Unk); Spirit 2 (Unk); Evodius (M)";;;;https://www.wikidata.org/wiki/Q17015517;DraCor: https://dracor.org/;texts/richards-messalina-the-roman-empress.xml
ep000795;Q8058803;Middleton, Thomas;0;Your Five Gallants;;Comedy;https://texts.earlyprint.org/works/A68468.xml;1607;;;;;41;false;;;41;7;34;0;1;1;532;1607;4;4;22216;21662;455;1248;487;middleton-your-five-gallants;ep000795;EngDraCor;1607;;male;1580;1627;"Arthur (M); Fellow 2 (M); Frippery (M); Fellow 1 (M); Primero (M); Fitzgrave (M); Katherine (F); Goldstone (M); Pursnet (M); Taylbee (M); Boy (M); Bungler (M); Courtesans (F); Courtesan 1 (F); Ms. Newcut (F); Courtesan 2 (F); Fulk (M); Novice (M); Servant 1 (M); Vintner (M); Bowser (M); Drawer (M); Gentleman 1 (M); Gentleman 2 (M); Tayler (M); Jack (M); Servant 2 (M); Servant 3 (M); Servant 4 (M); Marmaduke (M); Piamont (M); Constable (M); Justice (M); Courtesan 3 (F); Courtesan 4 (F); Gentleman 3 (M); Gentleman 4 (M); fellow- (M); Alexander (M); Old Gentleman 1 (M); Old Gentleman 2 (M)";;27;false;https://www.wikidata.org/wiki/Q344865;DraCor: https://dracor.org/;texts/middleton-your-five-gallants.xml
ep000794;;Anonymous;0;The Trial of Chivalry;;;https://texts.earlyprint.org/works/A68191.xml;1599;;;;;24;false;;;24;2;22;0;1;1;276;1599;1;0;20667;20035;584;130;2087;anon-the-trial-of-chivalry;ep000794;EngDraCor;1599;;unknown;;;"Rodorick (M); Flanders (M); Louis of France (M); Navarre (M); Pembroke (M); Bourbon (M); Philip (M); Ferdinand (M); Bellamira (F); Katharina (F); Peter (M); Bowyer (M); Payn (M); Lieutenant (M); Servant (M); Soldier (M); Thomasin (M); Core (M); Soldiers (M); Clown (M); Nod (M); Forester (M); Fisherman (M); Messenger (M)";;;;https://www.wikidata.org/wiki/Q4233718;DraCor: https://dracor.org/;texts/anon-the-trial-of-chivalry.xml
ep000793;;Greene, Robert;0;1 Selimus;;Tragedy;https://texts.earlyprint.org/works/A68114.xml;1591;;;;;27;false;;;27;3;24;0;1;1;351;1591;1;0;19394;18916;613;14;2371;greene-selimus-1;ep000793;EngDraCor;1591;;male;1558;1592;"Bajazet (M); Cherseoli (M); Mustaffa (M); Messenger (M); Selimus (M); Occhiali (M); Sinam (M); Ottrante (M); Acomat (M); Visir (M); Regan (M); Hali (M); Calibassa (M); Mahomet (M); Belierbey (M); Zonara (F); Aga (M); Janizaries (M); Abraham (M); Bullithrumble (M); Corcut (M); Page (M); Solima (F); Aladin (M); Amurath (M); Tonombey (M); Queen (F)";;33;false;https://www.wikidata.org/wiki/Q433651;DraCor: https://dracor.org/;texts/greene-selimus-1.xml
