Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of Words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
fre000001;Q63215430;Abeille, Gaspard;0;Argélie, Reine de Thessalie;Tragédie;Tragedy;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_ARGELIE.xml;1674;;;;;8;False;1678;1674;8;4;4;0;0;1;17;;29;5;17307;15962;0;0;1884;abeille-argelie;fre000001;FreDraCor;1674;;male;1648;1718;"Argélie (F); Clytie (F); Timagene (M); Phoenix (M); Ismene (F); Dione (F); Arcas (M); Cléon (M)";;26;False;https://www.wikidata.org/wiki/Q1338057;DraCor: https://dracor.org/;texts/abeille-argelie.xml
fre000002;Q63214898;Abeille, Gaspard;0;Coriolan;Tragédie;Tragedy;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_CORIOLAN.xml;1676;;;;;7;False;1676;1676;7;3;3;1;0;2;12;;23;0;17041;14655;0;0;1711;abeille-coriolan;fre000002;FreDraCor;1676;;male;1648;1718;"C. Martius (M); Albin (M); Aufide (M); Virgile (Unk); Sabine (F); Camille (F); Virgilie (F)";;28;False;https://www.wikidata.org/wiki/Q1338057;DraCor: https://dracor.org/;texts/abeille-coriolan.xml
fre000003;Q63215163;Abeille, Gaspard;0;Lyncée;Tragédie;Tragedy;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ABEILLE_LYNCEE.xml;1678;;;;;7;False;1678;1681;7;3;4;0;0;1;13;;26;5;13732;13539;7;0;1563;abeille-lyncee;fre000003;FreDraCor;1678;;male;1648;1718;"Iphis (M); Erigone (F); Dircé (F); Danaüs (M); Lyncée (M); Hypermestre (F); Lycaste (M)";;30;False;https://www.wikidata.org/wiki/Q1338057;DraCor: https://dracor.org/;texts/abeille-lyncee.xml
fre000004;;Adenis, Eugène;0;L'Homme qui ne Peut pas Siffler;Monologue;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ADENIS_HOMMEQUINEPEUTPASSIFFLER.xml;1885;;;;;1;False;;1885;1;0;1;0;0;1;0;;1;0;1374;1328;2;0;165;adenis-homme-qui-ne-peut-pas-siffler;fre000004;FreDraCor;1885;;male;1854;1923;Un Homme (M);;31;False;https://www.wikidata.org/wiki/Q52155506;DraCor: https://dracor.org/;texts/adenis-homme-qui-ne-peut-pas-siffler.xml
fre000005;;Dumas d'Aigueberre, Jean;0;L'Avare Amoureux;Comédie en un Acte et en Prose;Comedy;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_AVAREAMOUREUX.xml;1781;;;;;8;False;;1781;8;3;4;1;0;1;17;;22;1;6405;6218;55;314;0;aigueberre-avare-amoureux;fre000005;FreDraCor;1781;;male;1692;1755;"Argante (M); Nérine (F); Julie (F); Dorimène (F); Valère (M); Géronte (M); Monsieur Subtil (M); Monsieur Courte Ligne (Unk)";;;True;https://www.wikidata.org/wiki/Q28933420;DraCor: https://dracor.org/;texts/aigueberre-avare-amoureux.xml
fre000006;;Dumas d'Aigueberre, Jean;0;Pan et Doris Pastorale;;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_PANETDORIS.xml;1729;;;;;9;False;;1729;9;0;3;6;0;1;30;;7;1;2289;1628;11;0;233;aigueberre-pan-et-doris;fre000006;FreDraCor;1729;;male;1692;1755;"Pan (M); Doris (M); Arcas (Unk); Palemon (M); Le Choeur (Unk); Une Driade (Unk); Deux Bergeres (Unk); Un Satyre (Unk); Une Bergere (Unk)";;37;False;https://www.wikidata.org/wiki/Q28933420;DraCor: https://dracor.org/;texts/aigueberre-pan-et-doris.xml
fre000007;;Dumas d'Aigueberre, Jean;0;Polixène;Tragédie en un Acte;Comedy;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_POLIXENE.xml;1729;;;;;4;False;;1729;4;2;2;0;0;1;5;;10;1;4088;3388;9;0;375;aigueberre-polixene;fre000007;FreDraCor;1729;;male;1692;1755;"Polixène (F); Aegine (F); Pyrrhus (M); Thessandre (M)";;37;False;https://www.wikidata.org/wiki/Q28933420;DraCor: https://dracor.org/;texts/aigueberre-polixene.xml
fre000008;;Dumas d'Aigueberre, Jean;0;Les Trois Spectacles Prologue;;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/AIGUEBERRE_PROLOGUE.xml;1729;;;;;7;False;;1729;7;4;3;0;0;1;21;;2;1;2168;1514;0;50;0;aigueberre-prologue;fre000008;FreDraCor;1729;;male;1692;1755;"Julie (F); Le Chevalier (M); La Marquise (F); Le Commandeur (M); Le Vicomte (M); Hortense (F); Célimène (F)";;37;False;https://www.wikidata.org/wiki/Q28933420;DraCor: https://dracor.org/;texts/aigueberre-prologue.xml
fre000009;;Alain, Robert;0;L'Epreuve Réciproque;Comédie;Comedy;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALAINLEGRAND_EPREUVERECIPROQUE.xml;1711;;;;;6;False;1711;1711;6;3;3;0;0;1;13;;18;1;6190;5825;15;285;0;alain-legrand-epreuve-reciproque;fre000009;FreDraCor;1711;;male;;;"Frontin (M); Valère (M); Madame de Falignac (F); Philaminte (F); Lisette (F); Criquet (M)";;;;;DraCor: https://dracor.org/;texts/alain-legrand-epreuve-reciproque.xml
fre000010;;Soulas d'Allainval, Léonor;0;L'Ecole des Bourgeois;Comédie en Trois Actes avec un Prologue;Comedy;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAINVAL_ECOLEDESBOURGEOIS.xml;1728;;;;;13;False;1728;1728;13;2;5;6;0;1;47;;49;3;15068;14615;306;720;2;allainval-ecole-des-bourgeois;fre000010;FreDraCor;1728;;male;1700;1753;"Madame Abraham (F); Benjamine (F); Marthon (Unk); Monsieur Mathieu (M); Damis (M); Le Marquis (Unk); Le Laquais (Unk); Monsieur Pot-de-vin (M); Le Commandeur (Unk); Le Coureur (Unk); Un Comte (M); Un Commissaire (M); Le Notaire (Unk)";;28;False;;DraCor: https://dracor.org/;texts/allainval-ecole-des-bourgeois.xml
fre000011;;Soulas d'Allainval, Léonor;0;L'Hiver;Comédie en Trois Actes avec un Prologue;Comedy;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAINVAL_HIVER.xml;1733;;;;;10;False;1733;1733;10;3;4;3;0;2;9;;15;1;8359;8121;179;23;963;allainval-hiver;fre000011;FreDraCor;1733;;male;1700;1753;"L Hiver (Unk); Comus (M); L Hymen (Unk); La Mode (F); Le Pharaon (M); Le Bal (M); La Médisance (F); Hector Criquet (M); La Volupté (F); Jeux_ris_graces (Unk)";;33;False;;DraCor: https://dracor.org/;texts/allainval-hiver.xml
fre000012;;Allais, Alphonse;0;Le Pauvre Bougre et le Bon Génie;Féérie en un Acte;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_BONBOUGRE.xml;1889;;;;;4;False;;1889;4;1;2;1;0;1;6;;10;0;3276;3111;286;164;16;allais-bon-bougre;fre000012;FreDraCor;1889;;male;1854;1905;"Le Garçon (M); Le Pauvre Bougre (M); Le Bon Génie (F); Tous (Unk)";;35;False;https://www.wikidata.org/wiki/Q371905;DraCor: https://dracor.org/;texts/allais-bon-bougre.xml
fre000013;;Allais, Alphonse;0;Un Mécontent;Monologue;;http://theatre-classique.fr/pages/programmes/edition.php?t=../documents/ALLAIS_MECONTENT.xml;1889;;;;;1;False;;1889;1;0;1;0;0;1;0;;1;0;1033;1007;0;41;0;allais-mecontent;fre000013;FreDraCor;1889;;male;1854;1905;Un Homme (M);;35;False;https://www.wikidata.org/wiki/Q371905;DraCor: https://dracor.org/;texts/allais-mecontent.xml
