Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
ger000700;Q125580548;Kotzebue, August;0;Das Kind der Liebe;Ein Schauspiel in fünf Akten;;https://books.google.com/books?id=DSwHAAAAQAAJ&printsec=frontcover;1790;Kummer;Leipzig;1791;198;19;false;1790;1791;19;4;15;0;0;1;41;;40;5;27170;23849;1992;914;0;kotzebue-das-kind-der-liebe;ger000700;GerDraCor;1790;;male;1761;1819;"Wirth (M); Wilhelmine (F); Bauer (Niclas) (M); Pachter (M); Bäuerin (I/5) (F); Jäger (I/6) (M); Jude (M); Fritz (M); Bauer (Hans) (M); Bäuerin (Lise) (F); Obrister (M); Bedienter (M); Amalie (F); Graf von der Mulde (M); Pfarrer (M); Jäger (III/2 und V/6) (Franz) (M); Tafeldecker (M); Jäger (IV/9) (Rudolph) (M); Jäger (V/8) (M)";;29;false;https://www.wikidata.org/wiki/Q57242;DraCor: https://dracor.org/;texts/kotzebue-das-kind-der-liebe.xml
ger000699;Q125352855;Herzl, Theodor;0;Das neue Ghetto;Schauspiel in 4 Acten;;https://archive.org/details/bub_gb_T5k5AAAAMAAJ;1897;Buchdruckerei »Industrie« – Selbstverlag;Wien;1903;100;23;false;1898;1897;23;8;13;2;4;1;124;1894;33;4;16068;15568;2668;988;0;herzl-das-neue-ghetto;ger000699;GerDraCor;1897;;male;1860;1904;"Kathi (F); Wabi (F); Resi (F); Dr. Bichler (M); Wasserstein (M); Dr. Jacob Samuel (M); Hermine Samuel (F); Dr. Franz Wurzlechner (M); Hellmann (M); Frau Hellmann (F); Samuel (M); Frau Samuel (F); Charlotte Rheinberg (F); Rheinberg (M); Rittmeister von Schramm (M); Dr. Friedheimer (M); Sollicitator (M); Peter Vednik (M); Ein Diener (M)";;37;false;https://www.wikidata.org/wiki/Q44003;DraCor: https://dracor.org/;texts/herzl-das-neue-ghetto.xml
ger000698;Q125345502;Anonymous;0;Das Münchner Spiel vom sterbenden Menschen;;;http://www.textgridrep.org/textgrid:jnhn.0;1510;Hiersemann;Leipzig;1927;61;31;false;;1510;31;1;19;12;9;1;465;;1;0;15681;15072;1128;0;1848;anonym-das-muenchner-spiel-vom-sterbenden-menschen;ger000698;GerDraCor;1510;;unknown;;;"Der erst Precursor (M); Gott Vater (M); Der Satanas/Der Teufel (M); Maria (F); Christus (M); Der ander Precursor (M); Der Kaufmann (M); Der Doctor Theologiae (M); Ein junger Gesell (M); Der Tod (Unk); Der erst Bruder (M); Der erst sterbend Mensch (M); Ein Engel (Unk); Der ander Bruder (M); Der ander sterbend Mensch (M); Der ander Teufel (M); Der dritt Sterbend (M); Der dritt Bruder (M); Der dritt Teufel (M); Der Engel (Unk); Der dritt Precursor (M); Die erst Seel im Fegfeur (Unk); Der letzt Precursor (M)";;;;https://www.wikidata.org/wiki/Q4233718;DraCor: https://dracor.org/;texts/anonym-das-muenchner-spiel-vom-sterbenden-menschen.xml
ger000697;Q125280256;Gengenbach, Pamphilus;0;Der Nollhart;Diß sind die prophetien sancti Methodii vnd Nollhardi [...];Comedy;http://www.textgridrep.org/textgrid:n7s9.0;1515;Rümpler;Hannover;1856;40;14;false;1515;1517;14;2;12;0;0;1;91;;1;0;8863;8076;41;0;1301;gengenbach-der-nollhart;ger000697;GerDraCor;1515;;male;1480;1525;"Der Bapst (M); Der Bruder (Nollhart) (M); Birgitta (F); Sybilla Chumea (F); Der Keyser (M); Methodius (M); Der Küng von Franckenreich (M); Der Byschoff von Mentz (M); Der Pfaltzgraff (M); Der Venediger (M); Der Dürck (M); Der Eydtgenosz (M); Der Lantzknecht (Bruder Veit) (M); Der Jud (M)";;35;false;https://www.wikidata.org/wiki/Q1305022;DraCor: https://dracor.org/;texts/gengenbach-der-nollhart.xml
ger000696;Q125264374;Ayrer, Jakob;0;Fassnachtspil, wie einem Weib jhr eygener Mann vnwissenter Ding verkuppelt wird;Mit 14 Personen, vnd hat 5 Actus;Comedy;http://www.textgridrep.org/textgrid:k940.0;1605;Litterarischer Verein;Stuttgart;1865;18;4;false;;1618;4;2;2;0;0;1;6;1595/1605;1;0;3721;3542;283;0;514;ayrer-fassnachtspil-wie-einem-weib-jhr-eygener-mann;ger000696;GerDraCor;1605;;male;1543;1605;"Fridbert (M); Eva (F); Elßbeth (F); Emerich (M)";;62;false;https://www.wikidata.org/wiki/Q71325;DraCor: https://dracor.org/;texts/ayrer-fassnachtspil-wie-einem-weib-jhr-eygener-mann.xml
ger000695;Q125256179;Ayrer, Jakob;0;Comedia von zweyen Brüdern auss Syracusa;Mit 14 Personen, vnd hat 5 Actus;Comedy;http://www.textgridrep.org/textgrid:k93r.0;1605;Litterarischer Verein;Stuttgart;1865;43;15;false;;1618;15;3;12;0;0;1;63;1595/1605;6;5;8842;8402;1023;0;1170;ayrer-comedia-von-zweyen-bruedern-auss-syracusa;ger000695;GerDraCor;1605;;male;1543;1605;"Peniculus (M); Enucleus (M); Thasa (F); Ancilla (F); Cocleus (M); Phileman (M); Jahn Panser (M); Patronus (M); Hospes (M); Cellarius (M); Servus (M); Leonora (F); Socerus (M); Medicus (M); Dieterich (M)";;62;false;https://www.wikidata.org/wiki/Q71325;DraCor: https://dracor.org/;texts/ayrer-comedia-von-zweyen-bruedern-auss-syracusa.xml
ger000694;Q125171684;Ayrer, Jakob;0;Tragedia Thesei des zehenten Königs zu Athen, von den vierzehen Tributkindern;Mit 41 Personen, hat 8 Actus;Tragedy;http://www.textgridrep.org/textgrid:k942.0;1605;Litterarischer Verein;Stuttgart;1865;97;42;false;;1618;42;10;30;2;1;1;458;1595/1605;9;8;20181;19056;1917;0;2927;ayrer-tragedia-thesei;ger000694;GerDraCor;1605;;male;1543;1605;"Ehrnholt (M); Eheson (M); Jason (M); Poleus (M); Egeus (M); Pithius (M); Plagia (F); Medea (F); Ädra (F); Theseus (M); Tiromenes (M); Orobes (M); Parites (M); Athenor (M); Liepolt (M); Rupert (M); Gedos (M); Lucifer (M); Frigius (M); Gemius (M); Minothaurus (M); Das Kind (Unk); Pariphores (M); Simon (M); Siran (M); Clamasos (M); Megenus (M); Julia (F); Tulia (F); Anna (F); Christoff (M); Fabian (M); Maria (F); Gottfrid (M); Areadnea (F); Cuba (F); Hipolitus (M); Phedea (F); Licometes (M); Lacus (M); Tacus (M)";;62;false;https://www.wikidata.org/wiki/Q71325;DraCor: https://dracor.org/;texts/ayrer-tragedia-thesei.xml
ger000693;Q110988080;Ayrer, Jakob;0;Comedia von der schönen Sidea, wie es ihr biss zu jrer Verheüratung ergangen;Mit 16 Personen vnd hat 5 Actus;Comedy;http://www.textgridrep.org/textgrid:k93v.0;1605;Litterarischer Verein;Stuttgart;1865;48;15;false;;1618;15;4;11;0;0;1;88;1595/1605;6;4;10165;9148;1545;0;1304;ayrer-comedia-von-der-schoenen-sidea;ger000693;GerDraCor;1605;;male;1543;1605;"Ruprecht (M); Rollus (M); Jahn Molitor (M); Ludolff (M); Sidea (F); Leudegast (M); Franciscus (M); Elemaus (M); Runcifall (M); Ela (F); Dietrich/Dieterich (M); Engelbrecht (M); Famulus (M); Finelia (F); Julia (F)";;62;false;https://www.wikidata.org/wiki/Q71325;DraCor: https://dracor.org/;texts/ayrer-comedia-von-der-schoenen-sidea.xml
ger000692;Q125134130;Pfeffel, Gottlieb;0;Serena;Ein Bürgerliches Trauerspiel;Tragedy;https://books.google.com/books?id=BUEwAAAAYAAJ&pg=PA25;1764;Garbe;Frankfurt und Leipzig;1764;40;5;false;;1764;5;1;4;0;0;1;7;;9;0;5375;5200;298;191;0;pfeffel-serena;ger000692;GerDraCor;1764;Landois, Paul;male;1736;1809;"Philint (M); Der Bediente (M); Arist (M); Serena (F); Adrast (M)";;28;false;https://www.wikidata.org/wiki/Q77742;DraCor: https://dracor.org/;texts/pfeffel-serena.xml
ger000691;Q124987182;Pfeffel, Gottlieb;0;Vorspiel über die Bürgerliche Tragödie;;;https://books.google.com/books?id=BUEwAAAAYAAJ&pg=PA3;1764;Garbe;Frankfurt und Leipzig;1764;22;5;false;;1764;5;1;4;0;0;1;10;;3;0;3020;2978;20;92;0;pfeffel-vorspiel-ueber-die-buergerliche-tragoedie;ger000691;GerDraCor;1764;Landois, Paul;male;1736;1809;"Der Graf (M); Der Verfasser (M); Herr Pinsel (M); Der Ritter (M); Die Baronessin (F)";;28;false;https://www.wikidata.org/wiki/Q77742;DraCor: https://dracor.org/;texts/pfeffel-vorspiel-ueber-die-buergerliche-tragoedie.xml
ger000690;Q124818355;Martini, Christian;0;Rhynsolt und Sapphira;Ein prosaisches Trauerspiel in drey Handlungen;Tragedy;https://books.google.com/books?id=0HMFlTtLX7AC&pg=PA73;1755;Rüdiger;Berlin und Leipzig;1767;34;7;false;1755;1755;7;1;6;0;0;1;16;1753;21;3;6287;6081;359;163;0;martini-rhynsolt-und-sapphira;ger000690;GerDraCor;1755;;male;1728;1801;"Siegmund (M); Rhynsolt (M); Carl der Kühne (M); Sapphira (F); Danfeld (M); Eduard (M); Hauptmann (M)";;27;false;https://www.wikidata.org/wiki/Q94830647;DraCor: https://dracor.org/;texts/martini-rhynsolt-und-sapphira.xml
ger000689;Q124547242;Sachs, Hans;0;Eulenspiegel mit dem blauen Hosentuch u. dem Bauern;Ein Fastnachtsspiel;Comedy;https://www.projekt-gutenberg.org/sachs/hosentch/index.html;1557;Matthes;Leipzig und Hartenstein im Erzgebirge;1920;36;4;false;;;4;0;4;0;0;1;6;1557;1;0;2348;2287;139;0;332;sachs-eulenspiegel-mit-dem-blauen-hosentuch;ger000689;GerDraCor;1557;;male;1494;1576;"Eulenspiegel (M); Der Bauer mit dem grünen Tuch (M); Der Schottenpfaff (M); Klaus Würfel (M)";;63;false;https://www.wikidata.org/wiki/Q19543;DraCor: https://dracor.org/;texts/sachs-eulenspiegel-mit-dem-blauen-hosentuch.xml
