Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
als000030;Q113505779;Weigel, Madeleine;0;In dr Awril g'schickt;Lustspiel in zwei Akten von M. Weigel;Comedy;https://www.numistral.fr/ark:/12148/bpt6k9109668h;1930;Salvator-Verlag Múlhausen;;;;10;false;;1930;10;10;0;0;0;1;30;;19;2;6598;6067;745;200;0;weigel-in-dr-awril-gschickt;als000030;AlsDraCor;1930;;female;;;"Suzanne (F); Irène (F); Jeanne (F); Juliette (F); Lucie (F); Marthe (F); Mlle Florentine Blind (F); Mlle Amélie (F); Elise (F); Sophie (F)";;;;https://www.wikidata.org/wiki/Q97120060;DraCor: https://dracor.org/;texts/weigel-in-dr-awril-gschickt.xml
als000029;Q106559034;Weber, Emile;0;E bissel Lieb;Drama im e Vorspiel un 3 Akt von Emile Weber, 5 Herren — 3 Damen;;https://www.numistral.fr/ark:/12148/bpt6k9109731t;1936;Édition de théatre et de musique L. Jaggi-Reiss, Gundershoffen (Bas-Rhin);;;;8;false;;1936;8;3;5;0;0;1;18;;24;4;14426;13149;2883;687;0;weber-e-bissel-lieb;als000029;AlsDraCor;1936;;male;;;"Siner Babe (M); Sini Mame (F); Jean Pfister (M); D'r Babe Fischer (M); Alice Sandel (F); Lilly Weiler (F); Paul Weiler (M); E Inspecteur vun de Polizej (M)";;;;https://www.wikidata.org/wiki/Q97103623;DraCor: https://dracor.org/;texts/weber-e-bissel-lieb.xml
als000028;Q107261261;Kleisecker, H.;0;D'r Schnider von Gambse;Lustspiel von H. Kleisecker;Comedy;https://www.numistral.fr/ark:/12148/bpt6k91097431;1920;Herausgebeben von Jul. Schies Gesellenpräses. Selbstverlag des Herausgebers, Straßburg;;;;9;false;;1920;9;1;7;1;1;1;18;;16;0;7687;6738;490;225;0;kleisecker-dr-schnider-von-gambse;als000028;AlsDraCor;1920;;unknown;;;"Georg Lügenbühler (M); Therese (F); Mathias Zwicker (M); Toni Brüllberger (M); Nipper (M); Mahlberg (M); Mehrere Stimmen (Unk); Jean Lügenbühler (M); Martin Tannspahn (M)";;;;https://www.wikidata.org/wiki/Q96497696;DraCor: https://dracor.org/;texts/kleisecker-dr-schnider-von-gambse.xml
als000027;Q113506763;Hahn, Emilie;0;Jungi Madamme;Lustspiel in einem Aufzug in Strassburger Mundart;Comedy;https://www.numistral.fr/ark:/12148/bpt6k9109609n;1922;Librairie Ernest Finck, Strasbourg;;;;8;false;;1922;8;5;3;0;0;1;25;;16;0;7800;7649;739;441;0;hahn-jungi-madamme;als000027;AlsDraCor;1922;;female;;;"Amalie Schneider (F); Sälmel (F); Fanny Müschler (F); Josefine Martel (F); Fernand Schneider (M); Alfons Müschler (M); Mayer (M); Frau Liemann (F)";;;;https://www.wikidata.org/wiki/Q96475210;DraCor: https://dracor.org/;texts/hahn-jungi-madamme.xml
als000026;Q106605591;Fuchs, Ernst;0;Heimlichi Lieb;Elsässisch's Volksstüeck in 7 Bilder;;https://www.numistral.fr/ark:/12148/bpt6k9109729r;1914;Gundershoffen, Édition de théatre et de musique L. Jaggi-Reiss;;;;28;false;;1914;28;9;22;0;0;1;169;;26;7;17832;15650;4690;534;4;fuchs-heimlichi-lieb;als000026;AlsDraCor;1914;;male;;;"Mejel (F); Katt (M); Basche (M); 's Stawalders Jean (M); Fritzel (M); D'r Bangelschlacker (M); 's Drumbohn (M); D'r Fisselblöje (M); D'r Bassgej (M); 's Lipse Vadder (M); 's Stawalders Vadder (M); 'Grosbüre Lanz (M); Mej (M); Xavier (M); De Growechrischtel (F); D'r Unkel Franz (M); D' Schiltze von Bahle (F); De Schultz (M); 's Lipse Gredel (F); Lissel (F); Rosel (F); Lenel (F); Evel (F); E Büe (M); Hochzittslaader (M); 's Lipse Mieder (M); De Herr Notari (M); Euphrosine (M)";;;;https://www.wikidata.org/wiki/Q96464816;DraCor: https://dracor.org/;texts/fuchs-heimlichi-lieb.xml
als000025;Q106559230;Weber, Emile;0;Yo-Yo!;E Geduldspiel in einem Akt;;https://www.numistral.fr/ark:/12148/bpt6k91096940;1932;Imprimerie de la Bourse, Strasbourg;;;;5;false;;1932;5;3;2;0;0;1;10;;16;0;4328;4073;580;306;0;weber-yo-yo;als000025;AlsDraCor;1932;;male;;;"Jules Kleitz (M); Marie (F); Dokter Robert Schmitt (M); Germaine (F); Henriette Fleischmann (F)";;;;https://www.wikidata.org/wiki/Q97103623;DraCor: https://dracor.org/;texts/weber-yo-yo.xml
als000024;Q106588086;Stoskopf, Gustave;0;D'r Herr Maire;Lustspiel in drei Aufzügen von G. Stoskopf. 18. Auflage;;https://www.numistral.fr/ark:/12148/bpt6k9109728b;1898;L. Jaggi-Reiss, Gundershoffen;;;;39;false;;1935;39;6;26;9;5;1;258;1898;56;4;20216;19478;3198;907;0;stoskopf-dr-herr-maire;als000024;AlsDraCor;1898;;male;1869;1944;"Marie (F); Grethl (F); D'r Herr Maire (M); Briefbote (M); Fränz (F); Dr. Freundlich (M); Seppel (M); Jerry (M); Alle (Unk); Morte Velte (M); Lehrer (M); Dirrebirels Dicker (M); Die Sänger (Unk); Ein Anderer (M); Ein Anderer (M); Ein Anderer (M); Ein Bauernbursche (M); Meykäthel (F); Besitzer eines Messtistandes (M); Aelterer Bauer (M); Anderer Bauer (M); Gäste an einem anderen Tisch (Unk); Ein Anderer (M); Ein Lump (M); Doni (M); Die Bauern (Unk); Schiere Hans (M); Giltbür (M); Nejbierel (M); Ein Mädchen (F); Eine Stimme (Unk); Ein Velocipedist (M); Velocipedistin (F); Eine Stimme (Unk); Eine Andere (Unk); Pfeffer (M); Dorfpolizist (M); Die Bauern, Burschen und Mädchen (Unk); Müller (M)";;29;false;https://www.wikidata.org/wiki/Q923554;DraCor: https://dracor.org/;texts/stoskopf-dr-herr-maire.xml
als000023;Q107247835;Schneegans, Heinrich;0;Was d' Steckelburjer vun d'r „Université“ saaue;Humoristisches Intermezzo von Dr. Heinrich Schneegans Privatdocent, Aufgeführt zum Universitäts-Jubiläum am 2. Mai 1897;;https://www.numistral.fr/ark:/12148/bpt6k9109602r;1897;Schlesier & Schweikhardt;;;;6;false;;1897;6;1;4;1;1;1;13;;4;1;6706;6554;259;177;0;schneegans-steckelburjer-universite-saaue;als000023;AlsDraCor;1897;;male;1863;1914;"Sophie Mathis (F); Eugène Mathis (M); Ein Herr vom Comité (M); Otto Kühne (M); Dr. Schaufler (M); Mehrere Stimmen aus dem Publikum (Unk)";;34;false;https://www.wikidata.org/wiki/Q1598786;DraCor: https://dracor.org/;texts/schneegans-steckelburjer-universite-saaue.xml
als000022;Q106559140;Riff, Jean;0;s' Paradies;E luschdigs Schwänkele in aam Uffzug von Jean Riff;;https://www.numistral.fr/ark:/12148/bpt6k9109589b;1922;Verlag von E. Finck, Alsatica-Verlag, Strasbourg;;;;2;false;;1922;2;1;1;0;0;1;1;;5;0;3153;3056;404;184;0;riff-s-paradies;als000022;AlsDraCor;1922;;male;1874;1924;"Jacques (M); Marie (F)";;48;false;https://www.wikidata.org/wiki/Q96696621;DraCor: https://dracor.org/;texts/riff-s-paradies.xml
als000021;Q106559053;Riff, Jean;0;Sainte Barbe;Comédie in Aam Uffzug vun Jean Riff;;https://www.numistral.fr/ark:/12148/bpt6k9109587h;1919;Imprimeur et Éditeur Imprimerie Gutemberg, J. Charles Schneider;;;;17;false;;1919;17;4;9;4;6;1;82;;16;1;6025;5369;1185;406;0;riff-sainte-barbe;als000021;AlsDraCor;1919;;male;1874;1924;"Lissel (F); Andrees Bottjuckel (M); Schorsch Peterhänsel (M); Daniel Wendling (M); Theres (F); Philipp Stawalter (M); Büüreburscht (M); Büüremaidle (F); Ein Bursche (M); Ein anderer Bursche (M); Ein Mädchen (F); Michel Ohlmershans (M); Velde Umecker (M); Bumbié (Unk); Alle (Unk); die Spielleute (Unk); Chorus (Unk)";;45;false;https://www.wikidata.org/wiki/Q96696621;DraCor: https://dracor.org/;texts/riff-sainte-barbe.xml
als000020;Q106558114;Kühne, Fernand;0;Bureaukrate!;Dialektkomödie in einem Akt;;https://www.numistral.fr/ark:/12148/bpt6k9109624b;1923;Société Alsacienne d'Edtion „Alsatia“ S. A.;;;;11;false;;1923;11;0;11;0;2;1;42;;15;1;5422;5039;986;211;0;kuehne-bureaukrate;als000020;AlsDraCor;1923;;male;;;"Frisch (M); Dindeschlecker (M); Frei (M); Hasepfeffer (M); Fröhlich (M); Alle (M); Linsenspalter (M); Löb Walfisch (M); Fred Windmacher (M); Die Andern (M); Ein Inspecteur de la Sureté (M)";;;;https://www.wikidata.org/wiki/Q96622965;DraCor: https://dracor.org/;texts/kuehne-bureaukrate.xml
als000019;Q106559604;Kettner, Charles;0;Uff Dr Hochzittsreis;Luschtspiel in 1 Akt im els. Dialekt;;https://www.numistral.fr/ark:/12148/bpt6k91096443;1924;Theater- und Musik-Verlag, Rouffach, Iprimerie Keller-Immelé;;;;5;false;;1924;5;2;3;1;1;1;10;;17;0;4868;4537;789;243;9;kettner-uff-dr-hochzittsreis;als000019;AlsDraCor;1924;;male;1844;1899;"Dominik (M); Felix Kächele (M); Jülie (F); Alfons Lieblich (M); Emma (F)";;;true;https://www.wikidata.org/wiki/Q52084150;DraCor: https://dracor.org/;texts/kettner-uff-dr-hochzittsreis.xml
