Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
greek000040;Q1248766;Menander;0;Dyskolos;;Comedy;https://el.wikisource.org/wiki/Δύσκολος;-316;OUP;Oxford;1990;49;13;false;-316;;13;3;10;0;0;1;49;;5;5;6812;6803;4;0;1226;menander-dyskolos;greek000040;GreekDraCor;-316;;male;340;290;"Πάν (Pan) (M); Χαιρέας (Chaireas) (M); Σώστρατος (Sostratos) (M); Πυρρίας (Pyrrhias) (M); Κνήμων (Knemon) (M); παρθένος / κόρη (Girl) (F); Δᾶος (Daos) (M); Γοργίας (Gorgias) (M); Σίκων (Sikon) (M); Γέτας (Getas) (M); μήτηρ (Mother) (F); Σιμίχη (Simiche) (F); Καλλιππίδης (Kallippides) (M)";;24;;https://www.wikidata.org/wiki/Q118992;DraCor: https://dracor.org/;texts/menander-dyskolos.xml
greek000039;Q540161;Euripides;0;Electra;;Tragedy;;-413;;;;;8;false;-413;;8;3;5;0;2;1;17;;11;0;8092;8092;0;0;1372;euripides-electra;greek000039;GreekDraCor;-413;;male;480;406;"Ὀρέστης (M); Πρέσβυς (M); Ἄγγελος (M); Κλυταιμήστρα (F); Αὐτουργός (M); Ἠλέκτρα (F)";;67;;https://www.wikidata.org/wiki/Q48305;DraCor: https://dracor.org/;texts/euripides-electra.xml
greek000038;Q1415903;Sophocles;0;Philoctetes;;Tragedy;;-409;;;;;6;false;-409;;6;0;6;0;1;1;13;;13;0;9247;9247;0;0;1475;sophocles-philoctetes;greek000038;GreekDraCor;-409;;male;496;406;"Φιλοκτήτης (M); Ἡρακλῆς (M); Ἔμπορος (M); Ὀδυσσεύς (M); Νεοπτόλεμος (M)";;87;;https://www.wikidata.org/wiki/Q7235;DraCor: https://dracor.org/;texts/sophocles-philoctetes.xml
greek000037;Q1196456;Aristophanes;0;Plutus;;Comedy;;-388;;;;;13;false;-388;;13;3;8;0;1;1;25;;13;0;8797;8790;8;0;1398;aristophanes-plutus;greek000037;GreekDraCor;-388;;male;445;385;"Γραῦς (F); Γυνή (F); Χρεμύλος (M); Καρίων (M); Δίκαιος (M); Πενία (F); Βλεψίδημος (M); Ἱερεύς (M); Πλοῦτος (M); Νεανίας (M); Ἑρμῆς (Unk); Συκοφάντης (M)";;57;;https://www.wikidata.org/wiki/Q43353;DraCor: https://dracor.org/;texts/aristophanes-plutus.xml
greek000036;Q294001;Sophocles;0;Oedipus at Colonus;;Tragedy;;-401;;;;;9;false;-401;;9;2;7;0;1;1;19;;17;0;10956;10956;0;0;1818;sophocles-oedipus-at-colonus;greek000036;GreekDraCor;-401;;male;496;406;"Θησεύς (M); Ξένος (M); Ἄγγελος (M); Οἰδίπους (M); Πολυνείκης (M); Κρέων (M); Ἰσμήνη (F); Ἀντιγόνη (F)";;95;;https://www.wikidata.org/wiki/Q7235;DraCor: https://dracor.org/;texts/sophocles-oedipus-at-colonus.xml
greek000035;Q868447;Aristophanes;0;Clouds;;Comedy;;-423;;;;;16;false;-423;;16;0;13;3;1;1;58;;15;0;10410;10036;0;0;1601;aristophanes-clouds;greek000035;GreekDraCor;-423;;male;445;385;"Μαθητής (M); Δίκαιος Λόγος (Unk); Μαθητής Α (M); Στρεψιάδης (M); Φειδιππίδης (M); Σωκράτης (M); Αμυνίας (M); Μάρτυς (M); Ερμῆς (M); Θεράπων (M); Μαθητής Γ (M); Πασίας (M); Ἄδικος Λόγος (Unk); Μαθητής Β (M); Χαιρεφῶν (M)";;22;;https://www.wikidata.org/wiki/Q43353;DraCor: https://dracor.org/;texts/aristophanes-clouds.xml
greek000034;Q614607;Euripides;0;Ion;;Tragedy;;-413;;;;;9;false;-413;;9;3;4;1;1;2;20;;9;0;9838;9838;0;0;1690;euripides-ion;greek000034;GreekDraCor;-413;;male;480;406;"Ξοῦθος (Unk); Ἴων (M); Προφῆτις (F); Πρεσβύτης (M); Θεράπων (M); Ἀθήνα (F); Ἑρμῆς (M); Κρέουσα (F)";;67;;https://www.wikidata.org/wiki/Q48305;DraCor: https://dracor.org/;texts/euripides-ion.xml
greek000033;Q1193602;Aristophanes;0;Peace;;Comedy;;-421;;;;;20;false;-421;;20;0;16;1;3;1;69;;10;0;8677;8655;0;0;1462;aristophanes-peace;greek000033;GreekDraCor;-421;;male;445;385;"Παιδίον (Unk); Δρεπανουργός (M); Θωρακοπώλης (M); Σαλπιγγοποιός (Unk); Παῖς Κλεωνύμου (M); Τρυγαῖος (M); Ἱεροκλῆς (M); Κύδοιμος (M); Πόλεμος (M); Δορυξός (M); Λοφοποιός (M); Κρανοποιός (M); Οἰκέτης (M); Οἰκέτης Α (M); Οἰκέτης Β (M); Ἑρμῆς (M); Παῖς Λαμάχου (M)";;24;;https://www.wikidata.org/wiki/Q43353;DraCor: https://dracor.org/;texts/aristophanes-peace.xml
greek000032;Q1059987;Aristophanes;0;Acharnians;;Comedy;;-425;;;;;25;false;-425;;25;2;22;0;3;1;67;;17;0;7711;7711;0;0;1307;aristophanes-acharnians;greek000032;GreekDraCor;-425;;male;445;385;"Νίκαρχος (M); Ἄγγελος Α (M); Εὐριπίδης (M); Ἀμφίθεος (M); Θυγάτηρ (F); Γεωργός (M); Κῆρυξ (M); Συκοφάντης (M); Ψευδαρτάβας (M); Παράνυμφος (M); Δικαιόπολις (M); Θεράπων Λαμάχου (M); Πρέσβυς (M); Μεγαρεύς (M); Βοιωτός (M); Λάμαχος (M); Κόρα (M); Κόρη (Unk); Θέωρος (M); Ἄγγελος Β (M); Δικαιόπολος (F); Κηφισόφων (M)";;20;;https://www.wikidata.org/wiki/Q43353;DraCor: https://dracor.org/;texts/aristophanes-acharnians.xml
greek000031;Q667750;Euripides;0;Rhesus;;Tragedy;http://www.perseus.tufts.edu/hopper/opensource/download;-453;Clarendon Press;Oxford;1913;;13;false;-453;;13;2;11;0;1;1;28;;10;0;5653;5653;0;0;1012;euripides-rhesus;greek000031;GreekDraCor;-453;;male;480;406;"Μοῦσα (F); Ὀδυσσεύς (M); Αἰνείας (M); Ἡνίοχος (M); Ἀθήνα (F); Ἀλέξανδρος (M); Ἄγγελος Ποιμήν (M); Δόλων (M); Διομήδης (M); Ἕκτωρ (M); Ῥῆσος (M); Ἄγγελος (M)";;27;;https://www.wikidata.org/wiki/Q48305;DraCor: https://dracor.org/;texts/euripides-rhesus.xml
