Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
hun000075;;Szigligeti, Ede;0;Szökött Katona;Népszínmű;;;1843;Szépirodalmi K.;Budapest;1960;;39;false;1847;1843;39;7;37;4;13;2;151;1843;43;3;12141;11554;1380;970;91;szigligeti-szokott-katona;hun000075;HunDraCor;1843;;male;1814;1878;"Nők (F); Férfiak (M); Korpádiné (F); Pista (M); Jancsi (M); Gergely (M); Julcsa (F); Gémesi (M); Lajos (M); Monti inasa (M); Gróf Monti (M); Kamilla (F); Kisbíró (M); Kar (Unk); Roberto (M); Róza (F); Saint Geran (M); Völgyi (M); Gr. Tengeri (M); Báró Parti (M); Festő (M); Költő (M); Miska (M); Első káplár (M); Második káplár (M); Egy közlegény (M); Komorna (F); Völgyi inasa (M); Első közlegény (M); Közlegények (M); Völgyi segéde (M); Álarcosbál vendégei (M); Első hegedűs (M); Jean (M); A legrongyosabb ember (M); Első játékos (M); Második játékos (M); Játékosok (M); Pestvárosi (M)";;29;false;https://www.wikidata.org/wiki/Q897099;DraCor: https://dracor.org/;texts/szigligeti-szokott-katona.xml
hun000074;;Szigligeti, Ede;0;II. Rákóczi Ferenc fogsága;Történelmi dráma;;;1848;Szépirodalmi Könyvkiadó;Budapest;1960;;35;false;1848;1875;35;2;35;0;3;1;111;1848;42;5;14387;13942;840;890;0;szigligeti-ii-rakoczi-ferenc;hun000074;HunDraCor;1848;;male;1814;1878;"Rákóczi Ferenc (M); Lehmann Godofréd (M); Knittelius (M); Kolonits (M); Növendék (M); Zrínyi Ilona (F); Első inas Rákóczinál (M); Első udvaronc (M); Második udvaronc (M); Longuevall (M); Komornyik (M); Második inas Rákóczinál (M); Gróf Bercsényi Miklós (M); Amália (F); Károly (M); Kamarás (M); Gróf Buccellini (M); Bálint (M); Kristóf (M); Solári (M); Vay (M); Börtönőr (M); Zrínyi Boldizsár (M); Tiszt (M); Gróf Oetting (M); Gróf Traun (M); Jörger (M); Jakab (M); Első őr (M); Oliver (M); Őrmester (M); Második őr (M); Nótárius (M); Magyar úr (M); Lengyel követ (M)";;34;false;https://www.wikidata.org/wiki/Q897099;DraCor: https://dracor.org/;texts/szigligeti-ii-rakoczi-ferenc.xml
hun000073;;Szigligeti, Ede;0;Fenn az ernyő, nincsen kas;Társadalmi vígjáték, 1858;;;1843;Szépirodalmi Könyvkiadó;Budapest;1960;;9;false;1847;1843;9;5;4;0;0;1;25;1843;26;3;15484;15310;539;0;2760;szigligeti-fenn-az-ernyo;hun000073;HunDraCor;1843;;male;1814;1878;"Borsosné (F); Rejtei (M); Báró Várkövi (M); Etelka (F); Gizella (F); Donátfi (M); Klára (F); Szobaleány (F); Inas (M)";;29;false;https://www.wikidata.org/wiki/Q897099;DraCor: https://dracor.org/;texts/szigligeti-fenn-az-ernyo.xml
hun000072;;Szigligeti, Ede;0;Csikós;Népszínmű;;;1847;Szépirodalmi Könyvkiadó;Budapest;1960;;24;false;1847;1848;24;6;21;1;7;1;103;1847;41;3;12783;12362;906;949;159;szigligeti-csikos;hun000072;HunDraCor;1847;;male;1814;1878;"Ormódi Bence (M); Kis Bálint (M); Karvasiné (F); Szárnyai (M); Torkosi (M); Vámosi (M); Ormódi Asztolf (M); Andris (M); Rózsi (F); Paraszt (M); Leányok (F); Legények (M); Márton (M); Ferke (M); Erzsók (F); Peti (M); Georges (M); Korcsmáros (M); parasztnők (F); Első zenész (M); Hajdú (M); Első vasvillás (M); Főbíró (M); Labdacsné (F)";;33;false;https://www.wikidata.org/wiki/Q897099;DraCor: https://dracor.org/;texts/szigligeti-csikos.xml
hun000071;;Szász, Károly;0;Attila halála;Történeti tragédia öt fölvonásban;;;1893;M. Tud. Akadémia, Franklin Ny.;Budapest;1893;;22;false;;1893;22;4;19;0;3;1;213;1893;5;5;17069;16454;1247;0;3279;szasz-attila-halala;hun000071;HunDraCor;1893;;male;1829;1905;"CSÁT (M); BERE (M); ATTILA (M); Udvari tiszt. (M); VERONAI DETRE (M); HAGEN (M); ALADÁR (M); WALTER (M); CSABA (M); MIKOLT (F); VALAMIR (M); KRIMHILDA (F); HERKA (F); BUZÁT (M); I. ŐR (M); II. ŐR (M); ARDARIK (M); GENZERIK (M); Fő-Kádár (M); Ifjak (M); Leányok (F); EGY HÚN (M)";;64;false;https://www.wikidata.org/wiki/Q263430;DraCor: https://dracor.org/;texts/szasz-attila-halala.xml
hun000070;;Obernyik, Károly;0;Főúr és pór;Szomorújáték öt felvonásban;;;1844;Szépirodalmi;Budapest;1984;;14;false;1848;1844;14;3;9;2;4;2;29;1843;42;5;21584;21335;672;884;0;obernyik-four-es-por;hun000070;HunDraCor;1844;;male;1814;1855;"SZENKEY MÓRIC (M); TOLLASI (M); INAS (M); GRÓF ZALÁNFY KÁLMÁN (M); AMÁLIA (F); JULIA (F); KATI (F); HANGOK (Unk); ÉJŐR (M); csendőrök (M); EGY POLGÁR (Unk); HAJDÚK (M); MEGYEI TÁBLABÍRÁK (M); JEGYZŐ (M)";;30;false;https://www.wikidata.org/wiki/Q1222953;DraCor: https://dracor.org/;texts/obernyik-four-es-por.xml
hun000069;;Kovács, Pál;0;Nőtlen férj;Vígjáték egy fölvonásban;;;1843;Magyar Királyi Egyetem nyomdája;Buda;;;9;false;;1843;9;2;7;0;1;1;31;;16;1;4220;4089;335;220;0;kovacs-notlen-ferj;hun000069;HunDraCor;1843;;male;1808;1886;"Mogori (M); Andor (M); Ida (F); Gróf (M); Inas (M); Grófnő (F); Biró (M); Falu elöljárói (M); Kántor (M)";;35;false;https://www.wikidata.org/wiki/Q197614;DraCor: https://dracor.org/;texts/kovacs-notlen-ferj.xml
hun000068;;Kisfaludy, Károly;0;Stibor vajda;Eredeti hazai dráma négy felvonásban;;;1819;Unikornis Kiadó;Budapest;1999;;17;false;1819;1820;17;3;14;0;0;1;68;1819;30;4;14453;14081;1097;0;2823;kisfaludy-stibor-vajda;hun000068;HunDraCor;1819;;male;1788;1830;"GÁSPÁR (M); JÁNOS (M); MÁTÉ (M); STIBOR (M); BOLESZLÁV (M); BECKÓ (M); RAJNÁLD (M); DEZSŐ (M); GUNDA (F); MARGIT (F); DEMETER (M); KELEDY (M); DOBROCHNA (F); SZOLGA (M); SZILKOVSZKY (M); VALDIMIR (M); GERGELY (M)";;31;false;https://www.wikidata.org/wiki/Q927190;DraCor: https://dracor.org/;texts/kisfaludy-stibor-vajda.xml
hun000067;;Jókai, Mór;0;Könyves Kálmán;Eredeti történeti szomorújáték öt felvonásban;;;1855;Akadémiai Kiadó;Budapest;1971;;16;false;1855;1860;16;3;13;0;1;1;72;1855;19;5;9119;8782;734;0;1480;jokai-konyves-kalman;hun000067;HunDraCor;1855;;male;1825;1904;"Álmos (M); Ingoli (Ingolburga) (F); Börtönőr (M); Kálmán (M); Nádor (M); Both (M); Parajd (M); Tarnócz (M); Gálos (M); Gomor (M); Boszorkány (F); Tiszai halász (M); Első apród, Második apród (M); Perzila (Prezlava) (F); Kis Béla (M); Király orvosa (M)";;30;false;https://www.wikidata.org/wiki/Q379621;DraCor: https://dracor.org/;texts/jokai-konyves-kalman.xml
hun000066;;Jókai, Mór;0;Dózsa György;Eredeti történeti szomorujáték négy felvonásban;;;1860;Akadémiai Kiadó;Budapest;1971;;25;false;1868;1860;25;4;20;1;6;1;219;1856;20;4;12526;12028;1151;0;2002;jokai-dozsa-gyorgy;hun000066;HunDraCor;1860;;male;1825;1904;"KORDA (M); SZAPOLYAI (M); BORNEMISZA (M); PERÉNYI (M); BÁRODY (M); VIDAY (M); RÁNKI (M); DÓZSA GYÖRGY (M); II. ULÁSZLÓ (M); APRÓDOK (M); Többen, nép (Unk); CSÁKY LÓRA (F); HÖLGYEK (F); LOVAGOK (M); BARNABÁS (M); RÓZSA (F); HEGEDŐS (M); SZALERES AMBRRUS (M); DUDÓK (M); KECSKÉS (M); BAGOS (M); LŐRINC (M); PARASZTOK (M); JÓSNŐ (F); NEMESEK (M)";;35;false;https://www.wikidata.org/wiki/Q379621;DraCor: https://dracor.org/;texts/jokai-dozsa-gyorgy.xml
