Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
ita000139;Q84177540;Visconti, Gaspare Ambrogio;0;Pasitea;;;http://www.bibliotecaitaliana.it/testo/bibit001426;1498;UTET;Torino;1983;;12;false;;;12;3;9;0;0;1;17;1495/1498;25;0;9122;8447;84;0;1137;visconti-pasitea;ita000139;ItaDraCor;1498;Visconti, Gasparo;male;1461;1499;"Crisalo (M); Pseudolo (M); Promo (M); Comarco (M); Dioneo (M); Citta (F); Mastropa (F); Pasitea (F); Apistio (M); Eusebio (M); Apollo (M); Crifiologo (M)";;37;false;https://www.wikidata.org/wiki/Q19365875;DraCor: https://dracor.org/;texts/visconti-pasitea.xml
ita000138;Q1502106;Trissino, Gian;0;Sofonisba;;;http://www.bibliotecaitaliana.it/testo/bibit000465;1524;UTET;Torino;;;11;false;1554;1524;11;4;7;0;1;1;23;1514/1515;15;5;14582;14453;61;0;2102;trissino-sofonisba;ita000138;ItaDraCor;1524;Trissino, Gian Giorgio;male;1478;1550;"Sofonisba (F); Erminia (F); Coro di donne Cirtensi (F); Famiglio (M); Messo (M); Massinissa (M); Lelio (M); Catone (M); Scipione (M); Siface (M); Serva (F)";;46;false;https://www.wikidata.org/wiki/Q436738;DraCor: https://dracor.org/;texts/trissino-sofonisba.xml
ita000137;Q84176607;Torelli, Pomponio;0;La Merope;;Tragedy;http://www.bibliotecaitaliana.it/testo/bibit000311;1589;Bulzoni;Ravenna;1999;;8;false;;1589;8;3;5;0;1;1;28;;1;1;19171;18597;10;0;2699;torelli-la-merope;ita000137;ItaDraCor;1589;;male;1539;1608;"Merope (F); Nutrice (F); Gabria (M); Choro (F); Polifonte (M); Capitano (M); Nesso (M); Telefonte (M)";;50;false;https://www.wikidata.org/wiki/Q3907904;DraCor: https://dracor.org/;texts/torelli-la-merope.xml
ita000136;Q1658238;Tasso, Torquato;0;Re Torrismondo;;;http://www.bibliotecaitaliana.it/testo/bibit000057;1587;Garzanti;Milano;1995;;13;false;1618;1587;13;5;7;1;1;1;29;;34;5;25478;24763;68;0;3404;tasso-re-torrismondo;ita000136;ItaDraCor;1587;;male;1544;1595;"Nutrice (F); Alvida (F); Regina Madre (F); Torrismondo (M); Consigliero (M); Coro (Unk); Messaggiero (M); Rosmonda (F); Germondo, Re di Suezia (M); Cameriera (F); Indovino (M); Frontone (M); Cameriero (M)";;43;false;https://www.wikidata.org/wiki/Q168962;DraCor: https://dracor.org/;texts/tasso-re-torrismondo.xml
ita000135;Q84178663;Tasso, Torquato;0;Intrichi d'Amore;;Comedy;http://www.bibliotecaitaliana.it/testo/bibit001343;1598;Lexis Progetti Editoriali;Roma;1997;;15;false;1598;1603;15;6;9;0;0;1;90;;63;5;49229;48964;15;1861;0;tasso-intrichi-d-amore;ita000135;ItaDraCor;1598;;male;1544;1595;"Leandro (M); Cornelia (F); Ersilia (F); Camillo (M); Lavinia (F); Flaminio (M); Pasquina (F); Magagna (M); Franceschetto (M); Gialaise (M); Alberto (M); Manilio (M); Bianchetta (F); Alessandro (M); Leonora (F)";;;true;https://www.wikidata.org/wiki/Q168962;DraCor: https://dracor.org/;texts/tasso-intrichi-d-amore.xml
ita000134;Q84177861;Tasso, Torquato;0;Galealto;;;http://www.bibliotecaitaliana.it/testo/bibit001104;1574;Tipografia Editrice Secomandi;Bergamo;1952;;8;false;;;8;4;3;1;1;3;6;1573/1574;6;2;8751;8714;16;0;1211;tasso-galealto;ita000134;ItaDraCor;1574;;male;1544;1595;"Nutrice (F); Alvida (F); Galealto (M); Consigliere (M); Straniero (M); Coro (Unk); Rosmonda (F); Filena (F)";;30;false;https://www.wikidata.org/wiki/Q168962;DraCor: https://dracor.org/;texts/tasso-galealto.xml
ita000133;Q471831;Tasso, Torquato;0;Aminta;;;http://www.bibliotecaitaliana.it/testo/bibit000763;1573;L. S. Olschki;Firenze;1999;;10;false;1573;1580;10;3;6;1;1;3;15;;11;5;14066;13965;30;0;2091;tasso-aminta;ita000133;ItaDraCor;1573;;male;1544;1595;"Amore (Unk); Dafne (F); Silvia (F); Aminta (M); Tirsi (M); Coro De' Pastori (M); Satiro (M); Nirina (F); Nuntio (Ergasto) (M); Elpino (M)";;29;false;https://www.wikidata.org/wiki/Q168962;DraCor: https://dracor.org/;texts/tasso-aminta.xml
ita000132;;Tasso, Torquato;0;Aminta (ms. Campori 491);;;http://www.bibliotecaitaliana.it/testo/bibit000054;1579;;;;;10;false;;;10;3;6;1;1;3;17;1579;11;5;13537;13477;28;0;2029;tasso-aminta-ms-campori-491;ita000132;ItaDraCor;1579;;male;1544;1595;"Amore (Unk); Dafne (F); Silvia (F); Aminta (M); Tirsi (M); Choro (M); Satiro (M); Nirina (F); Nuntio (M); Elpino (M)";;35;false;https://www.wikidata.org/wiki/Q168962;DraCor: https://dracor.org/;texts/tasso-aminta-ms-campori-491.xml
ita000131;;Tasso, Torquato;0;Aminta (ms. 1197);;;http://www.bibliotecaitaliana.it/testo/bibit000352;1577;;;;;11;false;;;11;3;7;1;1;3;19;1577;11;5;13696;13563;52;0;2026;tasso-aminta-ms-1197;ita000131;ItaDraCor;1577;;male;1544;1595;"Amore (Unk); Dafne (F); Silvia (F); Aminta (M); Tirsi (M); Choro de Pastori (M); Satiro (M); Nirina (F); Nuntio (M); Ergasto (M); Elpino (M)";;33;false;https://www.wikidata.org/wiki/Q168962;DraCor: https://dracor.org/;texts/tasso-aminta-ms-1197.xml
ita000130;Q84175806;Taccone, Baldassare;0;Comedia di Danae;;;http://www.bibliotecaitaliana.it/testo/bibit001244;1496;UTET;Torino;1983;;10;false;1496;;10;2;7;1;0;1;21;;5;0;6313;4314;559;0;579;taccone-comedia-di-danae;ita000130;ItaDraCor;1496;;male;1461;1521;"Poeta (M); Acrisio (M); Siro (M); Danae (F); Giove (M); Mercurio (M); Servo (M); Famigli (Unk); Ebe (F); Apollo (M)";;35;false;https://www.wikidata.org/wiki/Q47044495;DraCor: https://dracor.org/;texts/taccone-comedia-di-danae.xml
