Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
pol000030;;Wielogłowski, Walery;0;Kucharki;Obrazek z obyczajów domownictwa miejskiego;;;1858;;;;;22;false;;1858;22;16;6;0;0;5;21;;22;0;11549;8188;115;230;0;wieloglowski_kucharki;pol000030;PolDraCor;1858;;male;1805;1865;"Anna (F); Apolonija (F); Franusia (F); Halka (F); Inspektor komissarza (M); Jadwiga (F); Katarzyna (F); Kunda (F); Maryanna (F); Mąż Reginy (M); Obywatel z miasta (F); Pan komissarz okręgowy (M); Pani K (F); Pani Z (F); Policyant (M); Przekupka (F); Regina (F); Róża (F); Salomea (F); Urzędnik z magistratu (M); Wdowa (F); Woźny (M)";;53;false;https://www.wikidata.org/wiki/Q9370511;DraCor: https://dracor.org/;texts/wieloglowski_kucharki.xml
pol000029;;Bałucki, Michał;0;Polowanie na męża;Komedia z życia mieszczańskiego w 2 aktach;Comedy;;1865;;;;;8;false;;1865;8;3;5;0;0;1;23;;18;2;8017;7753;1027;409;0;balucki_polowanie-na-meza;pol000029;PolDraCor;1865;;male;1837;1901;"Aniela (F); Babka (F); Błażej (M); Karol (M); Kasia (F); Leon (M); Lokaj (M); Walenty (M)";;28;false;https://www.wikidata.org/wiki/Q1894116;DraCor: https://dracor.org/;texts/balucki_polowanie-na-meza.xml
pol000028;;Anczyc, Władysław;0;Chłopi arystokraci;Szkic dramatyczny w jednej odsłonie ze śpiewkami;;;1849;;;;;10;false;1849;1850;10;3;7;0;0;1;37;;16;0;7515;7272;511;353;0;anczyc_chlopi-arystokraci;pol000028;PolDraCor;1849;;male;1823;1883;"Feldwebel (M); Jędrzejowa (F); Katarzyna (F); Marcin (M); Marysia (F); Mojsiek (M); Stanisław (M); Szczepan (M); Wojciech (M); Żydek (M)";;26;false;https://www.wikidata.org/wiki/Q713375;DraCor: https://dracor.org/;texts/anczyc_chlopi-arystokraci.xml
pol000027;;Rajszel, Ludwik;0;Dymisjonowany kawaler;Komedioopera w jedym akcie oryginalnie napisana;Comedy;;1823;;;;;7;false;;1823;7;2;5;0;0;1;21;;13;0;6797;6517;953;286;0;rajszel_dymissyowany-kawaler;pol000027;PolDraCor;1823;;male;1805;1871;"Flankier (M); Floransowicz (M); Helena (F); Madam de Tul (F); Piotruś (M); Zdzisław (M); Łukasz (M)";;18;false;;DraCor: https://dracor.org/;texts/rajszel_dymissyowany-kawaler.xml
pol000026;;Siemoński, Adam;0;Panna Intrygalska, czyli Chytrość uniewinniona;Komedia oryginalna w trzech aktach;Comedy;;1828;;;;;15;false;;1828;15;4;11;0;0;1;58;;37;3;15436;13249;728;388;0;siemonski_panna-intrygalska;pol000026;PolDraCor;1828;;male;;;"Administrator (M); Adolf (M); Emilia (F); Hrabia (M); Hrabina (F); Licytant I (M); Licytant II (M); Lokay (M); Mośkowicz (M); Niewiadoma (F); Pachołcy (M); Skąpicka (F); Skąpicki (M); Woźny (M); Zawiło (M)";;;;;DraCor: https://dracor.org/;texts/siemonski_panna-intrygalska.xml
pol000025;Q78156643;Fredro, Aleksander;0;Damy i huzary;Komedia we trzech aktach, prozą;Comedy;;1825;;;;;13;false;1825;1826;13;7;6;0;0;1;70;;54;3;13222;12218;1746;1243;0;fredro_damy-i-huzary;pol000025;PolDraCor;1825;;male;1793;1876;"Aniela (F); Dyndalska (F); Fruzia (F); Grzegorz (M); Juzia (F); Kapelan (M); Major (M); Orgonowa (F); Porucznik (M); Rembo (M); Rotmistrz (M); Zofija (F); Zuzia (F)";;32;false;https://www.wikidata.org/wiki/Q380506;DraCor: https://dracor.org/;texts/fredro_damy-i-huzary.xml
pol000024;;Dmuszewski, Ludwik;0;Siedem razy jeden;Komedioopera w jednym akcie;Comedy;;1804;;;;;10;false;1804;1805;10;2;8;0;0;1;21;;10;0;5463;5332;176;262;0;dmuszewski_siedem-razy-jeden;pol000024;PolDraCor;1804;;male;1777;1847;"Angelika (F); Cześnikowicz (M); Emilia (F); Gawronek (M); Hrabia (M); Księgarz (M); Lokay (M); Staruszek (M); Walery (M); Złotołów (M)";;27;false;https://www.wikidata.org/wiki/Q8861068;DraCor: https://dracor.org/;texts/dmuszewski_siedem-razy-jeden.xml
pol000023;;Bohomolec, Franciszek;0;Podejrzliwi;Komedia we trzech aktach;Comedy;;1781;;;;;9;false;;1781;9;3;6;0;0;1;21;;24;3;6482;6305;300;249;0;bohomolec_podeyrzliwi;pol000023;PolDraCor;1781;;male;1720;1784;"Agatka (F); Biedak (M); Bogacki (M); Gaszkiewicz (M); Krewny Prostakiewicza Żony (M); Prostakiewicz (M); Rozalia (F); Staruszkiewicz (M); Żona Prostakiewicza (F)";;61;false;https://www.wikidata.org/wiki/Q609575;DraCor: https://dracor.org/;texts/bohomolec_podeyrzliwi.xml
pol000022;;Bończa-Tomaszewski, Michał;0;Uszczęśliwienie narodu czyli miłość i wdzięczność w poddanych;Drama we dwóch aktach;;;1802;;;;;11;false;;1802;11;3;7;0;0;1;55;;22;2;15365;14417;916;613;0;boncza_uszczesliwienie-narodu;pol000022;PolDraCor;1802;;male;;1813;"Anielika (F); Błażey (M); Chór (Unk); Dalbor (M); Elżbieta (F); Kampler (M); Karol (M); Pani Dalbor (F); Reinhard (M); Wanewille (M); Wieśniak (M)";;;false;https://www.wikidata.org/wiki/Q104181175;DraCor: https://dracor.org/;texts/boncza_uszczesliwienie-narodu.xml
pol000021;;Bohomolec, Franciszek;0;Czary;Komedia we trzech aktach;Comedy;;1773;;;;;9;false;;1773;9;3;6;0;0;1;26;;27;3;11464;11252;175;633;0;bohomolec_czary;pol000021;PolDraCor;1773;;male;1720;1784;"Drągayło (M); Dziwomir (M); Gwarzyło (M); Konstancya (F); Kręciwąs (M); Lubisław (M); Miłogost (M); Nastka (F); Olechna (F)";;53;false;https://www.wikidata.org/wiki/Q609575;DraCor: https://dracor.org/;texts/bohomolec_czary.xml
