Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
rus000212;Q4114270;Островский, Александр;0;Воевода (Сон на Волге);Картины из народной жизни XVII века, в пяти действиях, с прологом;Comedy;http://az.lib.ru/o/ostrowskij_a_n/text_0224.shtml;1865;;;;;60;false;1865;1865;60;10;50;0;7;1;338;1864;55;5;20359;18600;2152;1;3355;ostrovsky-voevoda-son-na-volge;rus000212;RusDraCor;1865;Ostrovsky, Alexander;male;1823;1886;"Слепые (M); Голоса (M); Бирюч (M); Тыра (M); Брусенин (M); Цаплин (M); Heждан (M); Смирной (M); Дружина (M); Староста (M); Неустройко (M); Один из слуг (Пролог/2) (M); Несмеянов (M); Шут (M); Воевода (M); Сотник (M); Облезлов (M); Жилка (M); Бастрюков Семен (M); Бастрюков Степан (M); Баим (M); Настасья (F); Влас (M); Дубровин (M); Резвый (M); Кубас (M); Марья Власьевна (F); Недвига (M); Прасковья Власьевна (M); Один из слуг (I/9) (M); Слуги (I/10) (M); Первая девушка (F); Вторая девушка (F); Одна из девушек (F); Другая девушка (F); Ульяна (F); Олена (F); Женщины (F); Домовой (M); Гаврило (M); Старуха (F); Клим (M); Иван (M); Сидор (M); Курчай (M); Кулик (M); Гребцы (M); Слуга (III/4) (M); Щербак (M); Служка (M); Каурый (M); Заяц (M); Вотря (M); Калга (M); Ерголь (M); Пустынник (M); Сторож (M); Слуга (V/10) (M); Дюжой (M); Посадские (M)";;42;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-voevoda-son-na-volge.xml
rus000211;Q99391305;Арцыбашев, Михаил;0;Ревность;Драма въ 5-ти дѣйствіяхъ;;http://az.lib.ru/a/arcybashew_m_p/text_1913_revnost_oldorfo.shtml;1913;;;;;11;false;1914;1913;11;3;8;0;0;1;48;;5;5;21625;20958;4198;1182;0;artsybashev-revnost;rus000211;RusDraCor;1913;Artsybashev, Mikhail;male;1878;1927;"Сергѣй Петровичъ (M); Докторъ (M); Андрей Ивановичъ (M); Сережа (M); Поручикъ (M); Соня (F); Князь (M); Елена Николаевна (F); Клавдія Михайловна (F); Семенъ Семеновичъ (M); Лакей (M)";;35;false;https://www.wikidata.org/wiki/Q448143;DraCor: https://dracor.org/;texts/artsybashev-revnost.xml
rus000210;Q75170266;Херасков, Михаил;0;Пламена;Трагедия;Tragedy;http://az.lib.ru/h/heraskow_m_m/text_1765_plamena_oldorfo.shtml;1765;;;;;14;false;;1765;14;2;12;0;0;2;32;1762;34;5;10954;10692;260;0;1587;kheraskov-plamena;rus000210;RusDraCor;1765;Kheraskov, Mikhail;male;1733;1807;"Пламена (F); Остана (F); Превзыд (M); Комнатной (M); Мстислав (M); Позвезд (M); Страж (M); Один из Печенегов (M); Один из Киевлян (M); Вирсан (M); Печенег (M); Киевлянин (M); Военачальник (M); Вестник (M)";;32;false;https://www.wikidata.org/wiki/Q1930316;DraCor: https://dracor.org/;texts/kheraskov-plamena.xml
rus000209;Q74548615;Ангальт-Цербстская, Екатерина;0;Расстроенная семья острожками и подозрениями;Комедия в 5-ти действиях;Comedy;http://az.lib.ru/e/ekaterina_w/text_0190oldorfo.shtml;1786;;;;;10;false;;1786;10;3;7;0;0;1;38;;40;4;11634;11259;658;881;0;ekaterina-vtoraja-rasstroennaja-semja;rus000209;RusDraCor;1786;Russia, Catherine II of;female;1729;1796;"Трофим (M); Мавра (F); Собрина (F); Собрин (M); Прелеста (F); Иван Собрин (M); Такков (M); Предын (M); Двораброд (M); Добрин (M)";;57;false;https://www.wikidata.org/wiki/Q36450;DraCor: https://dracor.org/;texts/ekaterina-vtoraja-rasstroennaja-semja.xml
rus000208;Q74544691;Ангальт-Цербстская, Екатерина;0;Из жизни Рюрика;Подражание Шакеспиру, без сохранения театральных обыкновенных правил;;http://az.lib.ru/e/ekaterina_w/text_0250oldorfo.shtml;1786;;;;;23;false;;1786;23;2;21;0;0;1;99;1786;31;5;5601;5091;461;243;0;ekaterina-vtoraja-iz-zhizni-rjurika;rus000208;RusDraCor;1786;Russia, Catherine II of;female;1729;1796;"Гостомысл (M); Вадим (M); Рулав (M); Триян (M); Рагуил (M); Добрынин (M); 1-й старейшина (M); 2-й старейшина (M); 3-й старейшина (M); Умила (F); Людбрат (M); Едвинда (F); Горлом (M); Радбрат (M); Рюрик (M); Синеус (M); Трувор (M); Олег (M); Оскольд (M); Рохволд (M); Вестник (IV/5) (M); Дан (M); Вестник (V/3) (M)";;57;false;https://www.wikidata.org/wiki/Q36450;DraCor: https://dracor.org/;texts/ekaterina-vtoraja-iz-zhizni-rjurika.xml
rus000207;Q74536925;Ангальт-Цербстская, Екатерина;0;О время!;Комедия в трех действиях;Comedy;http://az.lib.ru/e/ekaterina_w/text_0110oldorfo.shtml;1772;;;;;7;false;1772;1772;7;5;2;0;0;1;19;1771;25;3;9136;8957;247;281;0;ekaterina-vtoraja-o-vremja;rus000207;RusDraCor;1772;Russia, Catherine II of;female;1729;1796;"Мавра (F); Непустов (M); Ханжахина (F); Вестникова (F); Молокососов (M); Христина (F); Чудихина (F)";;43;false;https://www.wikidata.org/wiki/Q36450;DraCor: https://dracor.org/;texts/ekaterina-vtoraja-o-vremja.xml
rus000206;Q4162902;Островский, Александр;0;Дмитрий Самозванец и Василий Шуйский;Драматическая хроника в двух частях;;http://az.lib.ru/o/ostrowskij_a_n/text_0102.shtml;1867;;;;;93;false;1867;1867;93;5;70;18;18;1;1082;1866;13;0;20434;19744;1388;0;3479;ostrovsky-dmitrij-samozvanets-i-vasilij-shujskij;rus000206;RusDraCor;1867;Ostrovsky, Alexander;male;1823;1886;"1-й купец московский (M); 2-й купец московский (M); Подьячий (M); Конёв (M); 1-й крестьянин (M); 2-й крестьянин (M); 3-й крестьянин (M); Купец новгородский (M); Странник (I/1) (M); Поп (M); Калачник (M); Юродивый (Афоня) (M); Мелочной торговец (M); Осипов (M); Дворецкий (M); Василий Шуйский (M); Купцы (M); Купец (I/1) (M); Дмитрий Шуйский (M); Голоса в народе (Unk); 1-й голос из народа (Unk); 2-й голос из народа (Unk); Басманов (M); Десятский (I/2) (M); Мстиславский (M); Голицын (M); Куракин (M); Воротынский (M); Бельский (M); Масальский (M); Десятские (M); Весь народ (I/2) (Unk); Дмитрий (M); Маржерет (M); Куцька (M); Корела (F); Немцы (M); Иезуит (M); Бучинский (M); Запорожцы (Unk); Щелкалов (M); Голоса (I/4) (Unk); Один голос (Unk); Один голос (Unk); Царица Марфа (F); Скопин-Шуйский (M); Народ (I/5) (Unk); Татищев (M); Власьев (M); Марина (F); Мнишек (M); Камеристка (F); Голоса (II/3) (Unk); Один из толпы (M); Новгородские стрельцы (M); Псковские стрельцы (M); Сотник (II/3) (M); Купец (II/3) (M); 1-й купец (M); 2-й купец (M); 3-й купец (M); 4-й купец (M); Поляки (M); Голоса (II/4) (Unk); Мальчишки (M); 1-й посадский (M); 2-й посадский (M); 3-й посадский (M); 4-й посадский (M); 5-й посадский (M); Десятский (II/4) (M); Повар (M); Торговка (F); Странник (II/4) (M); Стрелец (M); Старик (M); Голос из толпы (II/4) (Unk); Голос из толпы (II/4) (Unk); Голос (II/4) (Unk); Купец (II/4) (M); Голос (II/4) (Unk); Иван (M); Капитан (M); Олесницкий (M); Вишневецкий (M); Голос (II/6) (Unk); Молчанов (M); Голоса/Толпа (II/6) (Unk); Стрельцы (M); Другие стрельцы (M); Сотник стрелецкий (M); Валуев (M); Несколько голосов (Unk)";;44;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-dmitrij-samozvanets-i-vasilij-shujskij.xml
rus000205;Q1038931;Бельский, Владимир;0;Сказание о невидимом граде Китеже и деве Февронии;;;http://az.lib.ru/b/belxskij_w_i/text_1903_skazanie_o_kitezhe.shtml;1907;;;;;17;false;1907;1907;17;1;11;5;4;1;86;1903;6;4;8600;7624;1752;0;1439;belsky-skazanie-o-nevidimom-grade-kitezhe;rus000205;RusDraCor;1907;Belsky, Vladimir Ivanovich;male;1866;1946;"Феврония (F); Княжич Всеволод (M); Хор (Unk); Поярок (M); Медведчик (M); Гусляр (M); Народ (Unk); Лучшие люди (Unk); Кутерьма (M); Татары (M); Бедяй (M); Бурундай (M); Князь Юрий (M); Отрок (M); Алконост (Unk); Призрак (M); Сирин (Unk)";;41;false;https://www.wikidata.org/wiki/Q1259652;DraCor: https://dracor.org/;texts/belsky-skazanie-o-nevidimom-grade-kitezhe.xml
rus000204;Q4368837;Островский, Александр;0;Поздняя любовь;Сцены из жизни захолустья в четырех действиях;;http://az.lib.ru/o/ostrowskij_a_n/text_0140.shtml;1873;;;;;7;false;1873;1874;7;3;4;0;0;1;17;1873;30;4;13215;12606;1023;860;1;ostrovsky-pozdnyaya-lyubov;rus000204;RusDraCor;1873;Ostrovsky, Alexander;male;1823;1886;"Шаблова (F); Людмила (F); Дормедонт (M); Маргаритов (M); Дороднов (M); Николай (M); Лебедкина (F)";;50;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-pozdnyaya-lyubov.xml
rus000203;Q4464385;Островский, Александр;0;Трудовой хлеб;Сцены из жизни захолустья, в четырех действиях;;http://az.lib.ru/o/ostrowskij_a_n/text_0150.shtml;1874;;;;;12;false;1874;1874;12;6;6;0;0;1;28;1874;35;4;13269;12396;1119;813;9;ostrovsky-trudovoj-hleb;rus000203;RusDraCor;1874;Ostrovsky, Alexander;male;1823;1886;"Корпелов (M); Маланья (F); Грунцов (M); Евгения (F); Чепурин (M); Наташа (F); Поликсена (F); Копров (M); Ариша (F); Потрохов (M); Сакердон (M); Ключница (F)";;51;false;https://www.wikidata.org/wiki/Q171976;DraCor: https://dracor.org/;texts/ostrovsky-trudovoj-hleb.xml
