Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
shake000037;Q584729;Shakespeare, William;0;Pericles;;;;1609;;;;;54;false;;1609;54;7;43;4;4;3;173;1608;28;5;20050;19229;973;203;2005;pericles;shake000037;ShakeDraCor;1609;;male;1564;1616;"Gower (M); Antiochus (M); Pericles (M); Daughter (F); Thaliard (M); Messenger (M); LORDS.TYRE.0.1_Per (M); LORDS.TYRE.0.2_Per (M); Helicanus (M); Cleon (M); Dionyza (F); Lord (M); FISHERMEN.1_Per (M); FISHERMEN.2_Per (M); FISHERMEN.3_Per (M); Simonides (M); LORDS.PENTAPOLIS.0.1_Per (M); Thaisa (F); LORDS.PENTAPOLIS.0.2_Per (M); LORDS.PENTAPOLIS.0.3_Per (M); Marshal (M); KNIGHTS.0.1_Per (M); Escanes (M); LORDS.TYRE.0.3_Per (M); KNIGHTS.0.2_Per (M); KNIGHTS.0.3_Per (M); Lychorida (F); SAILORS.1_Per (M); SAILORS.2_Per (M); Lord Cerimon (M); Philemon (M); SUPPLIANTS.1_Per (M); GENTLEMEN.EPHESUS.1_Per (M); GENTLEMEN.EPHESUS.2_Per (M); Leonine (M); Marina (F); PIRATES.0.1_Per (M); PIRATES.0.2_Per (M); PIRATES.0.3_Per (M); Pander (M); Bolt (M); Bawd (F); GENTLEMEN.MYTILENE.1_Per (M); GENTLEMEN.MYTILENE.2_Per (M); Lysimachus (M); Sailor (M); Gentleman (M); Sailor (M); Lord (M); Diana (F)";;45;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/pericles.xml
shake000036;Q730212;Shakespeare, William;0;Cymbeline;;;;1610;;;;;41;false;;1623;41;6;31;3;3;2;195;1610;27;5;30141;29093;1802;149;3237;cymbeline;shake000036;ShakeDraCor;1610;;male;1564;1616;"ATTENDANTS.1_Cym (M); ATTENDANTS.2_Cym (M); Queen (F); Posthumous Leonatus (M); Imogen (F); Cymbeline (M); Pisanio (M); ATTENDANTS.CLOTEN.1_Cym (M); Cloten (M); ATTENDANTS.CLOTEN.2_Cym (M); Lady (F); Iachimo (M); Philario (M); Frenchman (M); Lady (F); Cornelius (M); MESSENGERS.1_Cym (M); Caius Lucius (M); Belarius (M); Guiderius (M); Arviragus (M); SENATORS.1_Cym (M); TRIBUNES.0.1_Cym (M); SENATORS.2_Cym (M); SOLDIERS.ROMAN.0.1_Cym (M); Soothsayer (M); Lord (M); SOLDIERS.BRITON.0.1_Cym (M); SOLDIERS.BRITON.0.2_Cym (M); JAILERS.1_Cym (M); JAILERS.2_Cym (M); Sicilius Leonatus (M); Mother (F); GHOSTS.BROTHERS.1_Cym (M); GHOSTS.BROTHERS.2_Cym (M); Jupiter (Unk); MESSENGERS.2_Cym (M); LADIES.QUEEN_Cym (F)";;46;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/cymbeline.xml
shake000035;Q606830;Shakespeare, William;0;Antony and Cleopatra;;;;1606;;;;;74;false;;1623;74;1;33;22;22;2;398;1606;42;5;27119;25878;1407;149;3236;antony-and-cleopatra;shake000035;ShakeDraCor;1606;;male;1564;1616;"Philo (M); Cleopatra (Unk); Antony (Unk); MESSENGERS.X.1_Ant (M); Demetrius (M); Charmian (Unk); Alexas (M); A Soothsayer (M); Enobarbus Domitius (Unk); Iras (F); MESSENGERS.ANTONY.1_Ant (M); MESSENGERS.ANTONY.2_Ant (M); MESSENGERS.ANTONY.3_Ant (M); Octavius Caesar (Unk); Lepidus (Unk); MESSENGERS.CAESAR.1_Ant (M); MESSENGERS.CAESAR.2_Ant (M); Mardian (M); Sextus Pompeius Pompey (Unk); Menas (Unk); Varrius (M); Maecenas (Unk); Agrippa (Unk); Octavia (Unk); MESSENGERS.X.2_Ant (M); A Boy (M); CAPTAINS_Ant (M); Ventidius (Unk); Silius (M); Eros (M); Canidius (Unk); Taurus (Unk); Scarus (Unk); Dolabella (Unk); A Schoolmaster Ambassador (M); Thidias (M); A Captain (M); WATCHMEN.1_Ant (M); WATCHMEN.2_Ant (M); GUARDS.0.1_Ant (M); GUARDS.0.2_Ant (M); Dercetus (M); GUARDS.0.3_Ant (M); Diomedes (M); An Egyptian (M); Proculeius (Unk); Gallus (M); Seleucus (Unk); GUARDS.CAESAR.1_Ant (M); A Countryman (M); GUARDS.CAESAR.0.1_Ant (M); GUARDS.CAESAR.0.2_Ant (M)";;42;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/antony-and-cleopatra.xml
shake000034;Q26833;Shakespeare, William;0;Othello;;;;1604;;;;;28;false;;1622;28;3;16;9;9;2;163;1604;15;5;28452;27854;794;243;2905;othello;shake000034;ShakeDraCor;1604;;male;1564;1616;"Roderigo (M); Iago (M); Brabantio (M); Othello (M); Cassio (M); Duke_Oth (M); SENATORS.0.1_Oth (M); SENATORS.0.2_Oth (M); Sailors (M); Desdemona (F); Montano (M); GENTLEMEN.1_Oth (M); GENTLEMEN.2_Oth (M); GENTLEMEN.3_Oth (M); Emilia (F); Clown_Oth (M); Bianca (F); Lodovico (M); Gratiano (M)";;40;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/othello.xml
shake000033;Q181598;Shakespeare, William;0;King Lear;;;;1606;;;;;33;false;;;33;3;17;12;12;1;200;1606;26;6;28192;27331;1243;340;2625;king-lear;shake000033;ShakeDraCor;1606;;male;1564;1616;"Earl of Kent (M); Earl of Gloucester (M); Edmund (M); Lear (Unk); Goneril (F); Cordelia (F); Regan (F); Duke of Albany (M); Duke of Cornwall (M); Duke of Burgundy (M); King of France (M); Edgar (M); Oswald (M); Fool (M); Curan (M); SERVANTS.0.1_Lr (M); SERVANTS.0.2_Lr (M); SERVANTS.0.3_Lr (M); Old Man (M); Doctor (M); Herald (M)";;42;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/king-lear.xml
shake000032;Q41567;Shakespeare, William;0;Hamlet;;;;1603;;;;;38;false;;1603;38;0;15;17;17;1;220;1602;20;5;32539;31665;1133;488;2922;hamlet;shake000032;ShakeDraCor;1603;;male;1564;1616;"Barnardo (M); Francisco (M); Horatio (M); Marcellus (M); King Claudius (M); Cornelius (M); Voltemand (M); Laertes (M); Polonius (M); Hamlet (Unk); Queen Gertrude (Unk); Ophelia (Unk); The Ghost (Unk); Reynaldo (M); Rosencrantz (Unk); Guildenstern (Unk); Fortinbras (M); Gravedigger_Ham (M); GravediggersCompanion_Ham (M); Doctor_Ham (M); Osric (M)";;39;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/hamlet.xml
shake000031;Q130283;Shakespeare, William;0;Macbeth;;;;1606;;;;;45;false;;1623;45;2;13;21;21;1;178;1606;28;5;18667;17900;954;65;2203;macbeth;shake000031;ShakeDraCor;1606;;male;1564;1616;"Duncan (Unk); Malcolm (Unk); Lennox (M); Ross (M); Macbeth (Unk); Banquo (M); Angus (M); Lady Macbeth (Unk); Fleance (M); Porter_Mac (M); Macduff (M); Donalbain (Unk); OldMan_Mac (M); Hecate (F); Lady Macduff (F); MacduffsSon_Mac (M); Doctor1_Mac (M); both attending upon Lady Macbeth (Unk); both attending upon Lady Macbeth (Unk); Menteith (M); Caithness (M); Seyton (M); Siward (Unk); Young Siward (Unk)";;42;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/macbeth.xml
shake000030;Q215750;Shakespeare, William;0;Julius Caesar;;;;1599;;;;;51;false;;;51;2;38;3;3;2;302;1599;18;5;21164;20420;863;131;2364;julius-caesar;shake000030;ShakeDraCor;1599;;male;1564;1616;"Flavius (M); COMMONERS.Carpenter_JC (M); Marullus (M); COMMONERS.Cobbler_JC (M); Julius Caesar (Unk); Casca (M); Calphurnia (F); Mark Antony (Unk); Soothsayer_JC (M); Marcus Brutus (Unk); Caius Cassius (Unk); Cicero (M); Cinna (M); Lucius (M); Decius Brutus (M); Metellus Cimber (M); Trebonius (M); Portia (F); Caius Ligarius (M); SERVANTS.CAESAR.1_JC (M); Publius (Unk); Artemidorus (M); Popilius Lena (Unk); SERVANTS.ANTONY.1_JC (M); SERVANTS.OCTAVIUS.1_JC (M); PLEBEIANS.0.1_JC (M); PLEBEIANS.0.2_JC (M); PLEBEIANS.0.3_JC (M); PLEBEIANS.0.4_JC (M); Cinna (M); Octavius (Unk); Lepidus (M); Lucilius (M); Pindarus (M); SOLDIERS.BRUTUS.0.1_JC (M); SOLDIERS.BRUTUS.0.2_JC (M); SOLDIERS.BRUTUS.0.3_JC (M); Poet_JC (M); Messala (M); Titinius (M); Varro (M); Claudius (Unk); Messenger_JC (M); Young Cato (M); Clitus (M); Dardanus (M); Volumnius (M); Strato (M)";;35;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/julius-caesar.xml
shake000029;Q284641;Shakespeare, William;0;Timon of Athens;;;;1606;;;;;68;false;;1623;68;2;42;22;22;1;402;1606;17;5;20261;19486;930;276;1882;timon-of-athens;shake000029;ShakeDraCor;1606;;male;1564;1616;"Poet (M); Painter (M); Merchant (M); Jeweler (M); Timon (Unk); Old Athenian (M); Lucilius (M); Apemantus (M); Alcibiades (Unk); Ventidius (M); SERVANTS.TIMON.X.1_Tim (M); Lucius (M); Flavius (M); SERVANTS.TIMON.1_Tim (M); SERVANTS.TIMON.2_Tim (M); SERVANTS.TIMON.3_Tim (M); Caphis (M); Isidore’s Man (M); Fool (M); Page (M); Flaminius (M); Servilius (M); SERVANTS.TIMON.X.2_Tim (M); Lucullus (M); STRANGERS.1_Tim (M); STRANGERS.2_Tim (M); STRANGERS.3_Tim (M); Sempronius (M); Titus (M); Hortensius (M); Lucius’ Man (M); Philotus (M); FRIENDS.0.1_Tim (M); FRIENDS.0.2_Tim (M); FRIENDS.0.3_Tim (M); FRIENDS.0_Tim (M); FRIENDS.0.4_Tim (M); SERVANTS.TIMON.0.1_Tim (M); SERVANTS.TIMON.0.2_Tim (M); SERVANTS.TIMON.0.3_Tim (M); Phrynia (F); Timandra (F); BANDITS.1_Tim (M); BANDITS.2_Tim (M); BANDITS.3_Tim (M); Soldier (M)";;42;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/timon-of-athens.xml
shake000028;Q83186;Shakespeare, William;0;Romeo and Juliet;;;;1597;;;;;38;false;;1597;38;4;29;5;5;2;248;1595;26;5;26470;25700;899;211;2665;romeo-and-juliet;shake000028;ShakeDraCor;1597;;male;1564;1616;"Sampson (M); Gregory (M); Abram (M); Benvolio (M); Tybalt (M); Capulet (M); Lady Capulet (F); Montague (M); Lady Montague (F); Escalus (M); Romeo (M); Paris (M); Nurse (F); Juliet (F); Mercutio (M); SERVANTS.CAPULET.0.1_Rom (M); SERVANTS.CAPULET.0.2_Rom (M); SERVANTS.CAPULET.0.3_Rom (M); Cousin_Rom (M); SERVANTS.CAPULET.0_Rom (M); Friar Lawrence (M); Peter (M); Petruchio (M); CITIZENS.0.1_Rom (M); MUSICIANS.0.1_Rom (M); MUSICIANS.0.2_Rom (M); MUSICIANS.0.3_Rom (M); Balthasar (M); Apothecary (M); Friar John (M); WATCHMEN.0.1_Rom (M); WATCHMEN.0.2_Rom (M); WATCHMEN.0.3_Rom (M)";;33;false;https://www.wikidata.org/wiki/Q692;DraCor: https://dracor.org/;texts/romeo-and-juliet.xml
