Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
span000056;Q63200581;Unamuno, Miguel;0;La esfinge;;;;1898;;;;;12;false;;1898;12;3;9;0;0;1;43;;30;3;15012;14274;1993;814;0;unamuno-esfinge;span000056;SpanDraCor;1898;;male;1864;1936;"Ángel (M); Eufemia (F); Joaquín (M); Eusebio (M); La Tía Ramona (F); José (M); Teodoro (M); Nicolás (M); Martina (F); El Hijo mayor de Felipe (M); El Hijo menor de Felipe (M); Felipe (M)";;34;false;https://www.wikidata.org/wiki/Q185085;DraCor: https://dracor.org/;texts/unamuno-esfinge.xml
span000053;Q63200349;Muñoz, Pedro;0;¡Usted es Ortiz!;Caricatura superrealista, en tres actos;;;1927;;;;;16;false;1927;1927;16;7;9;1;1;2;99;;73;3;21837;21506;4777;1225;0;munoz-ortiz;span000053;SpanDraCor;1927;;male;1879;1936;"Casta (F); Prodosia (F); Valentina (F); Celcina (F); Everilda (F); Eulogia (F); Flora (F); Amaranto (M); Mariano (M); Juan (M); Ateneo (M); Pulido (M); Amílcar (M); Ceferino (M); Casado (M); Fraile (M)";;48;false;https://www.wikidata.org/wiki/Q3322907;DraCor: https://dracor.org/;texts/munoz-ortiz.xml
span000045;Q5748755;Valle, Ramón;0;Cara de Plata;Comedias bárbaras, 1;;;1922;;;;;45;false;1967;1922;45;13;31;3;5;1;248;;17;3;17995;12959;4866;1185;3;valle-cara;span000045;SpanDraCor;1922;Valle-Inclán, Ramón María del;male;1866;1936;"El Caballero, don Juan Manuel Montenegro (M); Cara de Plata (M); Don Pedrito (M); Don Rosendo (M); Don Mauro (M); Don Gonzalito (M); Don Farruquiño (M); Sabelita (F); El Abad de Lantañón (M); Doña Jeromita (F); El Sacristán (M); La Sacristana (F); Bigardona (F); Celonio (M); Gabino (M); Mingote (M); Fuso Negro (M); Don Galán (M); Pedro Abuín (M); Ramiro de Bealo (M); Manuel Tovío (M); Manuel Fonseca (F); Sebastián de Xogas (M); El viejo de Cures (M); Pastor (M); Pichona la Bisbisera (F); Ludovina la ventorrillera (F); La Coima de otro mesón (F); Un maragato (M); Un Penitente (M); El Ciego de Gondar (M); Un Indiano (M); El Diácono de Lesón (M); Una vieja cotillona (F); Un pregón (M); Otro pregón (M); Otro pregón (M); María (F); Un chalán (M); Confusión de voces (Unk); Voz lejana (Unk); El capellán (M)";;56;false;https://www.wikidata.org/wiki/Q311001;DraCor: https://dracor.org/;texts/valle-cara.xml
span000044;Q6111385;Valle, Ramón;0;Romance de lobos;Comedia bárbara;;;1908;;;;;47;false;1970;1908;47;16;28;4;2;1;446;;18;3;22953;14880;7853;950;0;valle-romance;span000044;SpanDraCor;1908;Valle-Inclán, Ramón María del;male;1866;1936;"EL CABALLERO, DON JUAN MANUEL DE MONTENEGRO (M); DON PEDRITO (M); DON ROSENDO (M); DON MAURO (M); DON GONZALITO (M); DON FARRUQUIÑO (M); DON GALÁN (M); LA ROJA (F); EL ZAGAL DE LAS VACAS (M); ANDREÍÑA (F); LA REBOLA (F); LA RECOGIDA (F); DON MANUELITO (M); ABELARDO (M); Marinero (M); Marinero (M); Marinero (M); EL RAPAZ (M); DOÑA MONCHA (F); BENITA LA COSTURERA (F); EL POBRE DE SAN LÁZARO, (M); DOMINGA DE GÓMEZ (F); EL MANCO LEONÉS (M); EL MANCO DE GONDAR (M); EL TULLIDO DE CELTIGOS (M); PAULA LA REINA (F); ANDREÍÑA LA SORDA, (F); EL MORCEGO (M); coima (F); ADEGA la inocente (F); ARTEMISA (F); Floriano (M); EL CIEGO DE GONDAR (M); FUSO NEGRO (M); MANUEL TOVÍO (M); MANUEL FONSECA (M); PEDRO ABUÍN (M); SEBASTIÁN DE XOGAS (M); RAMIRO DE BEALO (M); Oliveros (M); DOÑA SABELITA (F); Una Viuda (F); Una Voz (Unk); Otra Voz (Unk); Doña María (F); La Voz De Todos (Unk)";;42;false;https://www.wikidata.org/wiki/Q311001;DraCor: https://dracor.org/;texts/valle-romance.xml
span000043;Q6172602;Valle, Ramón;0;Águila de blasón;Comedias bárbaras - 2;;;1907;;;;;71;false;1907;1907;71;24;45;2;3;1;313;;32;5;29501;17567;11815;1208;0;valle-aguila;span000043;SpanDraCor;1907;Valle-Inclán, Ramón María del;male;1866;1936;"El Caballero don Juan Manuel Montenegro (M); Fray Jerónimo (M); Una vieja (F); Una moza (F); un monago (M); una voz en la sombra (F); Sabelita (F); Doña Rosita (F); Rosita María (F); otra vieja (F); Micaela La Roja (F); El zagal de las ovejas (M); Don Galán (M); El Capitán de los ladrones (M); Un vecino (M); Un ladrón (M); Otro ladrón (M); El Enmascarado (M); Pedro Rey (M); Liberata (F); Don Pedrito (M); La Curandera (F); Un mozo (M); Un viejo (M); Un Marinero (M); El Patrón (M); Otro marinero (M); Manuel Tovío (M); Pedro Abuín (M); Manuel Fonseca (M); Un Lañador (M); Una Cribera (F); Una Cintera (F); El Mendicante (M); Doña María (F); El Capellán (M); La Manchada (F); Rosalva (F); Bieito (M); Andreíña (F); El Alguacil (M); El Escribano (M); Don Mauro (M); Don Farruquiño (M); Don Rosendo (M); Cara de Plata (M); El señor Ginero (M); La voz de un borracho (M); una señora (F); la otra señora (F); Un criado (M); El chantre (M); El Deán (M); El abuelo (M); El Rapaz (M); La Preñada (F); El marido (M); La suegra (F); El niño Jesús (M); La Pichona (F); Juana la Gazula (F); Andrea la Visoja (F); El barquero (M); El peregrino (M); El Espolique (M); Una vieja ciega (F); Un eco (Unk); Don Gonzalito (M)";;41;false;https://www.wikidata.org/wiki/Q311001;DraCor: https://dracor.org/;texts/valle-aguila.xml
span000042;Q822850;Lorca, Federico García;0;La casa de Bernarda Alba;Drama de mujeres en los pueblos de España;;;1945;;;;;18;false;;1945;18;17;0;1;2;1;110;;39;3;12717;11918;1480;924;22;lorca-bernarda;span000042;SpanDraCor;1945;;male;1898;1936;"Bernarda (F); María Josefa (F); Angustias (F); Magdalena (F); Amelia (F); Martirio (F); Adela (F); La Poncia (F); Criada (F); Prudencia (F); Mendiga (F); Mujer 1ª (F); Mujer 2ª (F); Mujer 3ª (F); Mujer 4ª (F); Muchacha (F)";;;true;https://www.wikidata.org/wiki/Q41408;DraCor: https://dracor.org/;texts/lorca-bernarda.xml
span000041;Q886624;Lorca, Federico García;0;Bodas de sangre;Tragedia en tres actos y siete cuadros;;;1938;;;;;25;false;;1938;25;14;9;2;3;1;179;;7;3;11910;11300;1758;798;548;lorca-bodas;span000041;SpanDraCor;1938;;male;1898;1936;"Madre (F); Novia (F); Suegra (F); Mujer de Leonardo (F); Criada (F); Vecina (F); Leonardo (M); Novio (M); Padre de la novia (M); Luna (F); Muerte (como Mendiga) (F); Muchacha 1 (F); Muchacha 2 (F); Muchacha 3 (F); Convidado (M); Leñador 1 (M); Leñador 2 (M); Leñador 3 (M); Mozo 1 (M); Mozo 2 (M); Niña (F); Voz (Unk)";;;true;https://www.wikidata.org/wiki/Q41408;DraCor: https://dracor.org/;texts/lorca-bodas.xml
span000040;Q2600796;Lorca, Federico García;0;La zapatera prodigiosa;;;;1938;;;;;15;false;;1938;15;10;7;1;2;1;59;;23;2;10418;9777;2013;658;0;lorca-zapatera;span000040;SpanDraCor;1938;;male;1898;1936;"Zapatera (F); Vecina Roja (F); Vecina Morada (F); Vecina Verde (F); Vecina Amarilla (F); Vecina Negra (F); Beata Primera (F); Beata Segunda (F); Sacristana (F); El Autor (M); Zapatero (M); El Niño (M); Alcalde (M); Don Mirlo (M); Mozo de la Faja (M); Mozo del Sombrero (M)";;;true;https://www.wikidata.org/wiki/Q41408;DraCor: https://dracor.org/;texts/lorca-zapatera.xml
span000032;Q63200027;Muñoz, Pedro;0;La conferencia de Algeciras;;;;1916;;;;;10;false;1916;1916;10;0;9;1;1;1;31;;15;1;4664;4382;896;251;8;munoz-conferencia;span000032;SpanDraCor;1916;;male;1879;1936;"Algeciras (M); Canseco (M); Jorge (M); Membrives (M); Martínez (M); Gascón (M); Ramírez (M); Parrondo (M); Gómez (M)";;37;false;https://www.wikidata.org/wiki/Q3322907;DraCor: https://dracor.org/;texts/munoz-conferencia.xml
span000031;Q63199873;Muñoz, Pedro;0;El refugio;comedia en tres actos;;;1933;;;;;17;false;1933;1933;17;6;10;1;1;1;88;;95;3;23610;23092;3675;1362;59;munoz-refugio;span000031;SpanDraCor;1933;;male;1879;1936;"África (F); Maruja (F); Consuelo (F); Nieves (F); Benita (F); Condesa (F); Horacio (M); Luis (M); Ramón (M); Paco (M); Timoteo (M); Wistremundo (M); Victoriano (M); Eulogio (M); Jorge (M); Don Camilo (M)";;54;false;https://www.wikidata.org/wiki/Q3322907;DraCor: https://dracor.org/;texts/munoz-refugio.xml
