Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
swe000068;Q10468693;Leffler, Anne Charlotte;0;Den kärleken!;Komedi i två akter;;;1891;;;;;6;false;;1891;6;4;2;0;0;1;15;;2;2;8127;7817;1441;411;0;leffler-den-karleken;swe000068;SweDraCor;1891;;female;1849;1892;"Vendla Sundberg (F); Fru Sandström (F); Gunborg Edlén (F); Notarien Asp (M); Mina Johnson (F); Rudolf Wilson (M)";;42;false;https://www.wikidata.org/wiki/Q243068;DraCor: https://dracor.org/;texts/leffler-den-karleken.xml
swe000067;Q59618568;Indebetou, Hedvig;0;På fotvandring;Komedi i en akt;;;1897;;;;;7;false;;1897;7;4;3;0;0;1;15;;16;1;3311;3108;683;167;0;indebetou-pa-fotvandring;swe000067;SweDraCor;1897;;female;1844;1933;"Elsa (F); Gertrud (F); Lina (F); Helming (M); Hans Grön (M); Fru Klang (F); Grosshandlar Klang (M)";;53;false;https://www.wikidata.org/wiki/Q18242858;DraCor: https://dracor.org/;texts/indebetou-pa-fotvandring.xml
swe000066;Q59652303;Wahlenberg, Anna;0;Två valspråk;Komedi i tre akter;;;1882;;;;;11;false;;1882;11;7;4;0;0;1;55;;3;3;19545;18812;2411;1215;2;wahlenberg-tva-valsprak;swe000066;SweDraCor;1882;;female;1858;1933;"Konsulinnan Horner (F); Fru Hermens (F); Ada (F); Kammarrådinnan Kull (F); Friherrinnan Lejonskjöld (F); Fru Letström (F); Hanna (F); Ernst Bergenhjelm (M); Walter (M); Wilhelm Thorin (M); Hermens (M)";;24;false;https://www.wikidata.org/wiki/Q4990085;DraCor: https://dracor.org/;texts/wahlenberg-tva-valsprak.xml
swe000065;Q59652323;Wahlenberg, Anna;0;På vakt;Komedi i tre akter;;;1890;;;;;6;false;;1890;6;3;3;0;0;1;15;;31;3;20739;19923;1893;1291;0;wahlenberg-pa-vakt;swe000065;SweDraCor;1890;;female;1858;1933;"Fru Berg (F); Karolina (F); Kerstin (F); Dahlman (M); Mattsson (M); Max Sundin (M)";;32;false;https://www.wikidata.org/wiki/Q4990085;DraCor: https://dracor.org/;texts/wahlenberg-pa-vakt.xml
swe000064;Q59652118;Topelius, Zacharias;0;Tidernas spegel;;;;1896;;;;;5;false;;1896;5;5;0;0;0;1;10;;1;1;2578;2330;276;108;0;topelius-z-tidernas-spegel;swe000064;SweDraCor;1896;;male;1818;1898;"Lotta (F); Mormor (F); SPEGELBILD N:O 1 (F); BILDEN (F); BILD N:O 3 (F)";;78;false;https://www.wikidata.org/wiki/Q139549;DraCor: https://dracor.org/;texts/topelius-z-tidernas-spegel.xml
swe000063;Q59652187;Topelius, Zacharias;0;Station Sylvester;En nyårslek;;;1889;;;;;34;false;;1889;34;11;11;8;2;1;561;;1;1;3313;2656;520;136;65;topelius-z-station-sylvester;swe000063;SweDraCor;1889;;male;1818;1898;"Fru Mab Äppelkärna (F); Jungfru Sibb Smultronblomma (F); Far (M); Mor (F); Kalle Perfekt (M); Lotta (F); Palt N:o 1 (Unk); Palt N:o 2 (Unk); Vingflax (M); Röst utanför (Unk); passagerare (Unk); En herre (M); en gumma (F); hurrabasar (Unk); Fono­graf (M); Fugax den 1889:de (M); Stenograf (M); Bajonett (M); Almanacka (F); Den okända (F); Telegraf (M); Januari (M); Februari (M); Mars (Unk); April (Unk); Maja (F); Junia (F); Julia (F); Augusta (F); September (Unk); Oktober (Unk); November (Unk); December (Unk); Söndagen med veckodagarna (Unk)";;71;false;https://www.wikidata.org/wiki/Q139549;DraCor: https://dracor.org/;texts/topelius-z-station-sylvester.xml
swe000062;Q59652151;Topelius, Zacharias;0;Snurran;Skämtsaga i fyra äfventyr;;;1896;;;;;25;false;;1896;25;9;11;4;4;1;264;;4;4;7665;6687;1359;250;53;topelius-z-snurran;swe000062;SweDraCor;1896;;male;1818;1898;"Lustiga Petter (M); Mäster Hans (M); Lisa (F); Kloka Matts (M); Pytt (M); Illflaxa (F); Dumma Olle (M); Prinsessan Munviga (F); Kapten Puff (M); Rosenkind (F); Guvernör Spindelben (M); Kungen (M); Guvernörskan Eau de Cologne (F); Kungens Härold (M); Rådman Orre (M); FLERA RÖSTER (Unk); MÅNGA RÖSTER (Unk); Drottningen (F); Hofdamer (Unk); Gumman Hans (F); FÖRSTA RÖSTEN (Unk); ANDRA RÖSTEN (Unk); Thordön (F); Snöflinga (F)";;78;false;https://www.wikidata.org/wiki/Q139549;DraCor: https://dracor.org/;texts/topelius-z-snurran.xml
swe000061;Q59652164;Topelius, Zacharias;0;Skogskonungen;;;;1896;;;;;10;false;;1896;10;4;3;3;0;1;45;;1;1;1377;1168;99;3;205;topelius-z-skogskonungen;swe000061;SweDraCor;1896;;male;1818;1898;"Metsän piika (F); Tapio (M); Första (Unk); andra (Unk); tredje (Unk); Tellervo (F); Nyyrikki (M); Tuulikki (F); En jägare (M); Mielikki (F)";;78;false;https://www.wikidata.org/wiki/Q139549;DraCor: https://dracor.org/;texts/topelius-z-skogskonungen.xml
swe000060;Q59652213;Topelius, Zacharias;0;Perdita eller Den förlorade våren;;;;1896;;;;;9;false;;1896;9;2;5;0;2;1;36;;1;1;2147;1818;325;48;24;topelius-z-perdita;swe000060;SweDraCor;1896;;male;1818;1898;"Maja (F); Svante April (M); Ekoröster (Unk); Eko (M); Prins Florio (M); En fjäril (M); En slända (F); Göken (M); Skolbarnen, gossar och flickor (Unk)";;78;false;https://www.wikidata.org/wiki/Q139549;DraCor: https://dracor.org/;texts/topelius-z-perdita.xml
swe000059;Q59652099;Topelius, Zacharias;0;Lucias ziffror;En jul-lek;;;1887;;;;;14;false;;1887;14;10;3;0;1;1;91;;2;1;2707;2411;396;94;65;topelius-z-lucias-ziffror;swe000059;SweDraCor;1887;;male;1818;1898;"Magister Facit (M); Flora (F); Anna (F); Bertha (F); Dora (F); Hanna (F); Melicerta (F); Märtha (F); Nanna (F); Nora (F); Thomas (M); Skolvaktmästaren (M); Röster utanför (Unk); Lucia (F)";;69;false;https://www.wikidata.org/wiki/Q139549;DraCor: https://dracor.org/;texts/topelius-z-lucias-ziffror.xml
swe000058;Q59651602;Topelius, Zacharias;0;Krypskyttarne;Sommarlek;;;1886;;;;;3;false;;1886;3;0;3;0;0;1;3;;1;1;538;482;63;42;0;topelius-z-krypskyttarne;swe000058;SweDraCor;1886;;male;1818;1898;"Palte (M); Malte (M); Jösse (M)";;68;false;https://www.wikidata.org/wiki/Q139549;DraCor: https://dracor.org/;texts/topelius-z-krypskyttarne.xml
swe000057;Q59652174;Topelius, Zacharias;0;Jennys förmaningar;Kammarlek;;;1887;;;;;3;false;;1887;3;1;1;0;0;1;3;;1;1;1327;1262;106;17;0;topelius-z-jennys-formaningar;swe000057;SweDraCor;1887;;male;1818;1898;"Jenny (F); Gårdshunden Vakt (M)";;69;false;https://www.wikidata.org/wiki/Q139549;DraCor: https://dracor.org/;texts/topelius-z-jennys-formaningar.xml
swe000056;Q59651619;Topelius, Zacharias;0;Askungen;(Sagolek i tre äfventyr.);;;1890;;;;;13;false;;1890;13;8;4;1;0;1;73;;3;3;5917;5189;779;81;594;topelius-z-askungen;swe000056;SweDraCor;1890;;male;1818;1898;"Thora (F); Trilla (F); Superba (F); Dina (F); Barbra (F); Grim (M); Mumma (F); Pimpe (M); Pumpa (F); Lothar (M); Brunhilda (F); Prins Childebert (M); En Trubadur (Unk)";;72;false;https://www.wikidata.org/wiki/Q139549;DraCor: https://dracor.org/;texts/topelius-z-askungen.xml
swe000055;Q59645707;Topelius, Toino;0;Jeppe och Murra;Ett uppträde på morgonkvisten i Björkuddens matsal.;;;1897;;;;;2;false;;1897;2;1;1;0;0;1;1;;2;1;957;877;135;19;0;topelius-t-jeppe-och-murra;swe000055;SweDraCor;1897;;female;1854;1910;"Jeppe (M); Murra (F)";;43;false;https://www.wikidata.org/wiki/Q15042696;DraCor: https://dracor.org/;texts/topelius-t-jeppe-och-murra.xml
swe000054;Q59645587;Topelius, Toino;0;I små maffarnas land;;;;1897;;;;;4;false;;1897;4;1;0;3;0;1;6;;2;1;1178;1020;264;29;0;topelius-t-isma-maffarnas-land;swe000054;SweDraCor;1897;;female;1854;1910;"Elsa (F); MAFFE N:O 1 (Unk); MAFFE N:O 2 (Unk); MAFFE N:O 3 (Unk)";;43;false;https://www.wikidata.org/wiki/Q15042696;DraCor: https://dracor.org/;texts/topelius-t-isma-maffarnas-land.xml
swe000053;Q931843;Strindberg, August;0;Till Damaskus;;;;1898;;;;;47;false;;1898;47;15;23;5;7;1;273;;26;9;37253;34125;4374;1906;19;strindberg-till-damaskus;swe000053;SweDraCor;1898;;male;1849;1912;"Den Okände (M); Damen (F); Tiggaren (M); GÄST I (Unk); GÄST II (Unk); GÄST III (Unk); VÄRDEN (M); Systern (F); Läkaren (M); Cæsar (M); KYPAREN (M); Den Gamle (M); Modern (F); PIGAN (F); Abbedissan (F); Confessorn (M); MJÖLNERSKAN (F); SMEDEN (M); Dominikanern (M); BARMHERTIGHETSSYSTRARNE (F); PROFESSORN (M); Fadren (M); EN SLUSK (M); EN ANNAN SLUSK (M); QVINNAN I (F); QVINNAN II (F); KRÖGERSKAN (F); POLISEN (M); BARNMORSKAN (F); BARNEN (MIXED);";;49;false;https://www.wikidata.org/wiki/Q7724;DraCor: https://dracor.org/;texts/strindberg-till-damaskus.xml
swe000052;Q10661034;Strindberg, August;0;Samum;;;;1890;;;;;3;false;;1890;3;1;2;0;0;1;3;;3;1;2202;2017;403;141;0;strindberg-samum;swe000052;SweDraCor;1890;;male;1849;1912;"Biskra (F); Youssef (M); Guimard (M)";;41;false;https://www.wikidata.org/wiki/Q7724;DraCor: https://dracor.org/;texts/strindberg-samum.xml
swe000051;Q10620375;Strindberg, August;0;Paria;En akt.;;;1890;;;;;2;false;;1890;2;0;2;0;0;1;1;;1;1;5141;5009;351;184;0;strindberg-paria;swe000051;SweDraCor;1890;;male;1849;1912;"HERR Y. (M); HERR X. (M)";;41;false;https://www.wikidata.org/wiki/Q7724;DraCor: https://dracor.org/;texts/strindberg-paria.xml
swe000050;Q10587278;Strindberg, August;0;Moderskärlek;En akt;;;1893;;;;;4;false;;1893;4;4;0;0;0;1;5;;6;1;4451;4302;147;191;0;strindberg-moderskarlek;swe000050;SweDraCor;1893;;male;1849;1912;"Modern (F); Dottern (F); En Kläderska (F); Lisen (F)";;44;false;https://www.wikidata.org/wiki/Q7724;DraCor: https://dracor.org/;texts/strindberg-moderskarlek.xml
swe000049;Q1765367;Strindberg, August;0;Mäster Olof;Skådespel i fem akter;;;1881;;;;;35;false;;1881;35;6;26;0;0;1;347;;9;5;28441;26257;2998;1609;18;strindberg-master-olof;swe000049;SweDraCor;1881;;male;1849;1912;"SCHOLARIS 1 (M); SCHOLARIS 2 (M); Laurentius Andreæ (M); Mäster Olof (M); Gerdt Bokprentare (M); Borgaren (M); Borgarqvinnan (F); Secretarius (M); Folket (Unk); En Annan Borgare (M); Måns Sommar (M); Hans Brask (M); Gustaf Eriksson Vasa (M); Tysk (M); Dansk (M); Hans Windrank (M); Småländing (M); Skökan (F); Mårten (M); Nils (M); Värdshusvärd (M); Knipperdollink (M); Fru Christina (F); Christina (F); Kyrkvaktaren (M); Kyrkvaktarens Hustru (F); Betjenten (M); Lars Siggeson (M); Adelsman (M); Laurentius Petri (M); Likdräng (M); Abbedissan (F); Arbetsfogden (M)";;32;false;https://www.wikidata.org/wiki/Q7724;DraCor: https://dracor.org/;texts/strindberg-master-olof.xml
