Key;WikidataId;Author;No of co-authors;Title;Subtitle;Normalized genre;Archive;Normalized year;Publisher;Publication place;First edition;Num Pages;Size;Libretto;Premier year;Print edition;No of speakers;No of speakers (female);No of speakers (male);No of speakers (unknown);No of person groups;No of connected components;No of edges;Year written;No of segments;No of acts;No of words;No of words (speakers);No of words (stage directions);No of paragraphs;No of lines;Filename;Xmlid;Corpus;Date;Notes;Author gender (manual);Author birth;Author death;Characters;Co-authors;Author age (time of writing);Posthumous;Authorid;Publication statement;files
u000019;Q298033;Українка, Леся;0;Осіння казка;;;https://www.l-ukrainka.name/uk/Dramas/OsinKazka.html;1905;;;;;22;false;;;22;3;15;3;2;2;159;1905;4;4;5480;4342;1193;0;739;lesya-ukrainka-osin-kazka;u000019;UDraCor;1905;;female;1871;1913;"Голос (Unk); Лицар-в’язень (M); Жінка (FFEMALE); Служебка (M); Пряха (F); Ткаля (F); Швачка (M); Принцеса (F); Пастух (M); Будівничий (M); Вся юрба (Unk); 1-й робітник (M); 2-й робітник (M); 3-й робітник (M); 4-й робітник (M); 5-й робітник (M); 1-й майстер (M); 2-й майстер (M); 3-й майстер (M); Скілька голосів (Unk); Молодий хлопець (M)";;34;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-osin-kazka.xml
u000009;Q298033;Українка, Леся;0;Триптих. 2. Орфеєве чудо;(Легенда);;https://www.l-ukrainka.name/uk/Poems/OrpheusMiracle.html;1913;;;;;10;false;;;10;0;0;0;0;1;45;;1;1;1868;1634;436;0;267;lesya-ukrainka-orpheus-miracle;u000009;UDraCor;1913;Death of the author (1913) added manually;female;1871;1913;"Амфіон (Unk); Орфей (Unk); Зет (Unk); Перший чоловік (Unk); Другий (Unk); Третій (Unk); Четвертий (Unk); П’ятий (Unk); Шостий (Unk); Перший (Unk)";;42;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-orpheus-miracle.xml
u000008;Q298033;Українка, Леся;0;Оргія;;;https://www.l-ukrainka.name/uk/Dramas/Orgija.html;1913;;;;;13;false;;;13;3;7;3;1;1;60;1913;2;2;8321;7270;1347;0;1240;lesya-ukrainka-orgija;u000008;UDraCor;1913;;female;1871;1913;"Герміона (F); Голос (Unk); Антей (M); Хілон (M); Евфрозіна (F); Неріса (F); Федон (M); Хор панегіристів (Unk); Меценат (M); Префект (M); Прокуратор (M); Раб-атрієнзій (M); Голос з хору панегіристів (Unk)";;42;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-orgija.xml
u000007;Q298033;Українка, Леся;0;Руфін і Прісцілла;;;https://www.l-ukrainka.name/uk/Dramas/RufinPriscilla.html;1910;;;;;147;false;;;147;26;93;29;12;1;5618;1910;5;5;31139;26964;5711;0;4486;lesya-ukrainka-rufin-priscilla;u000007;UDraCor;1910;;female;1871;1913;"Руфін (M); Прісцілла (F); Раб (M); Парвус (M); Аецій Панса (M); Кай Летіцій (M); Сервілія (F); Круста (F); Голоси за хвірткою (Unk); Фортунат (M); Невідомий (Unk); Теофіл (M); Урбан (M); Аквіла (M); Люцій (M); Нартал (M); Диякон (M); Дехто з новоприбулих (Unk); Дехто з присутніх (Unk); Голос за хвірткою (Unk); Єпископ (M); Громада (Unk); Голос (Unk); Центуріон (M); Темничний вартовий (M); Рената (F); Дехто з християн (Unk); Флегон (M); Начальник сторожі (M); Редівівус-Фавстін (M); Рената-Негріна (F); Голоси з громади (M); Нофретіс (M); 1-й вартовий (M); Ключар (M); Семпроній (M); Голос з громади (Unk); Чоловік (M); Помічник (M); Дівчина (F); Сестра Ренати (F); Редівівус (M); Жінка (F); Друга жінка (F); Молода дівчина (F); 1-й (M); 2-й (M); Старий християнин (M); Свояк Фортунатовий (M); Свояк (M); Хлопець (M); Ремісник (M); Троє (Unk); Громадка людей (Unk); Один з громадки (M); 2-й з громадки (M); 3-й (M); Клієнт (M); 1-й з прохачів (M); 2-й з прохачів (M); 3-й з прохачів (M); Громадка прохачів (Unk); Один з прибулих (Unk); Молода матрона (F); Молодий комонник (M); Матрона (F); Комонник (M); Поет (M); Гетера (F); Юрист (M); Молодий вояк (M); Вояк (M); Старий юрист (M); Старкуватий дідич-провінціал (M); Другий дідич (M); 2-й дідич (M); Лихвар (M); Молодий римлянин у далматиці (M); Молодий римлянин (M); Багатий плебей (M); 1-й табулярій (Unk); 2-й табулярій (M); Провінціалка (F); Римлянка (F); Відпущеник (M); Другий відпущеник (M); 1-й відпущеник (M); 2-й відпущеник (M); Вігіл (M); Стара селянка (F); Старий селянин (M); Хлопець-пролетарій (M); Пролетарій (M); Стара жінка (F); Вуличний філософ (M); Дуже вбогий чоловік (M); Жрець Цібели (M); Жрець (M); Грек (M); Молодий грек (M); Скульптор з передмістя (M); Жрець Ескулапів (M); Наглядач з крематорію (M); Дрібний крамар (M); Багатий крамар (M); Хлоп’я (F); Бабуся (F); Голоси звідусіль (Unk); Покликач (M); Дідич (M); Підліток (M); Фортунатова жінка (F); Голоси з публіки (Unk); Голос з найгустіших рядів (Unk); Римлянин у далматиці (M); Філософ (M); Голос з публіки (Unk); Старий вояк (M); Голоси з гурту молодих вояків (M); З гурту табуляріїв (Unk); Ремісник і двоє його сусідів (Unk); Інші голоси (Unk); Тихший голос (Unk); Спільний крик (Unk); Голоси (Unk); Табулярій (M); Перший дідич (M); Міщанка (F); Сусідка (F); Високий істеричний голос жінки (F); Молодий хлопець (M); Голос з народу (Unk); Другий голос (Unk); Третій голос (Unk); Рабиня (F); З гурту вояків (M); Вояки (M); Багато голосів (Unk); Жерці (M); Патрицій (M); Жрець Ескулапа (M); Сусід (M); Вулична жінка (F); Голос Нарталовий (M); Вояки і частина люду (Unk); Патрон (M)";;39;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-rufin-priscilla.xml
u000006;Q298033;Українка, Леся;0;Камінний господар;;;https://www.l-ukrainka.name/uk/Dramas/KaminnyjGospodar.html;1912;;;;;36;false;;;36;16;16;4;2;1;305;1912;6;6;12511;10808;2473;0;1810;lesya-ukrainka-kaminnyj-gospodar;u000006;UDraCor;1912;;female;1871;1913;"Долорес (F); Анна (F); Дон Жуан (M); Командор (M); Сганарель (M); Донна Мерседес (F); Дон Пабло (M); Голоси в юрбі гостей (Unk); Підстаркувата гостя (F); Гостя друга (F); Гостя-панночка (F); Панночка (F); Молода пані (F); Друга молода пані (F); Старий гість (M); Голоси з гурту (Unk); Один лицар (M); Другий лицар (M); Третій лицар (M); Панич (M); Один з гурту (Unk); Маска-соняшник (M); Донна Соль (F); «Чорне доміно» (Unk); Маріквіта (F); Дуенья (F); Дівчинка (F); Донна Консепсьйон (F); Найстаріший гість (M); Донна Клара (F); Слуга (M); Один гість (M); Стара грандеса (F); Старий гранд (M); Молодший гранд (M); Лицарі (M)";;41;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-kaminnyj-gospodar.xml
u000005;Q298033;Українка, Леся;0;Кассандра;;;https://www.l-ukrainka.name/uk/Dramas/Kassandra.html;1907;;;;;47;false;;;47;12;23;12;7;1;418;1907;9;9;13452;11851;2330;0;2034;lesya-ukrainka-kassandra;u000005;UDraCor;1907;;female;1871;1913;"Гелена (F); Кассандра (F); Поліксена (M); Андромаха (F); Клімена (F); Креуза (F); Айтра (F); Левке (M); Хрізе (M); Долон (M); Деїфоб (M); Гелен (M); Рабиня (F); Стара рабиня (F); Ономай (M); Голоси в народі (Unk); Люди (Unk); Голос з юрби (Unk); Другий голос (Unk); Перший голос (Unk); Третій голос (M); Голоси з люду (Unk); Голоси з гурту (Unk); Один голос (Unk); Четвертий голос (Unk); Сінон (M); Паріс (M); Хор вартових (Unk); Хор (Unk); Кітарист (M); Флейтист (F); Аякс (M); Одіссей (M); Агамемнон (M); Діомед (M); Інші жінки з царської родини (F); Менелай (M); Вояки-спартанці (Unk); Одна з троянок (F); Клітемнестра (F); Егіст (M); Вісник (M)";;36;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-kassandra.xml
u0000040;Q4439957;Старицький, Михайло;0;Утоплена, або Русалчина ніч;Оперета в 3-х діях, 4-х картинах;;https://www.myslenedrevo.com.ua/uk/Lit/S/Starycky/Dramas/UtoplenaAboRusalchynaNich.html;1881;;;;;36;false;;;36;13;19;4;8;1;180;1881;28;3;12056;11108;1073;472;927;starytsky-utoplena-abo-rusalchyna-nich;u0000040;UDraCor;1881;;male;1840;1904;"Парубки (M); Дівчата (F); Левко (M); Галя (F); Гурт (Unk); Гурт парубків (M); Перший парубок (M); Другий парубок (M); Третій парубок (M); Дехто (M); Другі (Unk); Микола (F); Четвертий парубки (M); Горпина (F); Перша дівчина (F); Друга дівчина (F); Третя дівчина (F); Деякі (Unk); Каленик (M); Деякі дівчата (F); Голова (M); Деякі парубки (M); Дехто з парубків (M); Баси (M); Писар (M); Винник (M); Соцькі (M); Панночка (F); Русалки (M); Перша русалка (F); Друга русалка (F); Третя русалка (F); Писар і Голова (F); Перший соцький (M); Прославний хор (Unk)";;41;false;https://www.wikidata.org/wiki/Q4439957;DraCor: https://dracor.org/;texts/starytsky-utoplena-abo-rusalchyna-nich.xml
u000004;Q298033;Українка, Леся;0;Бояриня;;;https://www.l-ukrainka.name/uk/Dramas/Bojarynja.html;1910;;;;;9;false;;;9;4;5;0;0;1;26;1910;5;5;8150;7907;1157;0;1318;lesya-ukrainka-bojarynja;u000004;UDraCor;1910;;female;1871;1913;"Перебійний (M); Перебійниха (F); Степан (M); Оксана (F); Іван (M); Джура (M); Мати (F); Ганна (F); Гість (M)";;39;false;https://www.wikidata.org/wiki/Q298033;DraCor: https://dracor.org/;texts/lesya-ukrainka-bojarynja.xml
u0000039;Q4439957;Старицький, Михайло;0;Чорноморці;Оперета в 3-х картинах;;https://www.myslenedrevo.com.ua/uk/Lit/S/Starycky/Dramas/Chornomorci.html;1872;;;;;16;false;;;16;7;7;1;2;1;69;1872;32;3;11415;10694;1234;514;401;starytsky-chornomortsi;u0000039;UDraCor;1872;;male;1840;1904;"Маруся (F); Наталка (F); Голос (Unk); Іван (M); Тупиця (M); Iлько (M); Ївга (F); Кабиця (M); Очкурня (M); Кулина (F); Явдоха (F); Цвіркун (M); Дівчата (F); Цвіркунка (F); Хлопці (M)";;32;false;https://www.wikidata.org/wiki/Q4439957;DraCor: https://dracor.org/;texts/starytsky-chornomortsi.xml
u0000038;Q4439957;Старицький, Михайло;0;Як ковбаса та чарка, то минеться й сварка;Комедія з співами в одну дію (З старої події);;https://www.myslenedrevo.com.ua/uk/Lit/S/Starycky/Dramas/JakKovbasaTaCharka.html;1872;;;;;9;false;;;9;2;6;0;0;1;18;1872;15;0;5476;5061;823;344;58;starytsky-jak-kovbasa-ta-charka-to-mynetsja-j-svarka;u0000038;UDraCor;1872;;male;1840;1904;"Горпина (F); Степан (M); Потап (M); Шпонька (M); Гаврило (M); Шило (M); Андрій (M); Пріська (F)";;32;false;https://www.wikidata.org/wiki/Q4439957;DraCor: https://dracor.org/;texts/starytsky-jak-kovbasa-ta-charka-to-mynetsja-j-svarka.xml
