Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
ENG18400;Trollope, Frances Milton;The Life and Adventures of Michael Armstrong;1840;1840;;texts/ENG18400_Trollope.xml;207300;English;https://viaf.org/viaf/34551336;female;1780;1863;long;1840-1859;ELTeC-eng;;;1840;;;;;low;ENG18400;60;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18410;Sinclair, Catherine;Modern Flirtations: or, A Month at Harrowgate;1841;1841;;texts/ENG18410_Sinclair.xml;188876;English;https://viaf.org/viaf/37692813/;female;1800;1864;long;1840-1859;ELTeC-eng;1841;;;;;;;low;ENG18410;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18411;Tupper, Martin Farquhar;The Twins: A Domestic Novel;1844;1844;;texts/ENG18411_Tupper.xml;34573;English;https://viaf.org/viaf/44385259/;male;1810;1889;short;1840-1859;ELTeC-eng;1844;;;;;;;low;ENG18411;34;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18440;Disraeli, Benjamin;Coningsby: or, The New Generation;1844;1844;;texts/ENG18440_Disraeli.xml;159046;English;https://viaf.org/viaf/49233448/;male;1804;1881;long;1840-1859;ELTeC-eng;1844;2000;;Chadwyck-Healey Ltd (A Bell & Howell Information and Learning company);;;;low;ENG18440;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18450;Disraeli, Benjamin;Sybil, Or the Two Nations;1845;1845;;texts/ENG18450_Disraeli.xml;158160;English;https://viaf.org/viaf/49233448/;male;1804;1881;long;1840-1859;ELTeC-eng;1845;;;;;;;low;ENG18450;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18460;Reynolds, George William McArthur;The mysteries of London;1846;1846;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/ENG18460_Reynolds.xml;839895;English;https://viaf.org/viaf/72764995/;male;1814;1879;long;1840-1859;ELTeC-eng;1846;;;;;;;low;ENG18460;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18470;Aguilar, Grace;Home Influence: A Tale for Mothers and Daughters;1847;1847;;texts/ENG18470_Aguilar.xml;171250;English;https://viaf.org/viaf/7628015/;female;1816;1847;long;1840-1859;ELTeC-eng;1847;;;;;;;low;ENG18470;31;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18471;Brontë, Emily;Wuthering Heights;1847;1847;;texts/ENG18471_Bronte.xml;115398;English;https://viaf.org/viaf/97097302/;female;1818;1848;long;1840-1859;ELTeC-eng;1847;;;;;;;high;ENG18471;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18480;Thackeray, William Makepeace;Vanity Fair: A Novel without a Hero;1848;1848;;texts/ENG18480_Thackeray.xml;298740;English;https://viaf.org/viaf/95208604/;male;1811;1863;long;1840-1859;ELTeC-eng;1848;;;New York: P.F. Collier & Son, 1917;;;;high;ENG18480;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18481;Dickens, Charles;Dombey and Son;1848;1848;;texts/ENG18481_Dickens.xml;348793;English;https://viaf.org/viaf/88666393/;male;1812;1870;long;1840-1859;ELTeC-eng;1848;;;Oxford Text Archive;;;;high;ENG18481;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
