Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
ENG18750_Trollope;Trollope, Anthony;The Way We Live Now;1875;1875;;texts/ENG18750_Trollope.xml;349876;English;https://viaf.org/viaf/61683295;male;1815;1882;long;1860-1880;ELTeC: English-Extension;1875;2019-11-09;1875;ELTeC conversionLou Burnard;;;;;ENG18750_Trollope;60;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG19000_Conrad;Conrad, Joseph;Lord Jim;1900;1900;;texts/ENG19000_Conrad.xml;130004;English;;male;1857;1924;long;1900-1920;ELTeC: English-Extension;1900;2019-11-09;;"ELTeC conversion; TranscriptionLou Burnard; Forrest Wasserman and David Widger";;;;;ENG19000_Conrad;43;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG19002_Magnay;Magnay, Sir William;The Red Chancellor;1900;1900;2nd baronet;texts/ENG19002_Magnay.xml;68902;English;https://viaf.org/viaf/55771515;male;1855;1917;medium;1900-1920;ELTeC: English-Extension;1900;;;ELTeC conversionLou Burnard;;;;;ENG19002_Magnay;45;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG19011_Shiel;Shiel, Matthew Phipps;The purple cloud;1901;1901;;texts/ENG19011_Shiel.xml;101612;English;https://viaf.org/viaf/54194618;male;1865;1947;long;1900-1920;ELTeC: English-Extension;1901;2019-11-09;1901;;;;;;ENG19011_Shiel;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG19110_Conrad;Conrad, Joseph;Under Western Eyes;1911;1911;;texts/ENG19110_Conrad.xml;114360;English;https://viaf.org/viaf/73862853;male;1857;1924;long;1900-1920;ELTeC: English-Extension;1911;2019-11-09;1911;ELTeC conversionLou Burnard;;;;;ENG19110_Conrad;54;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG19130_Hichens;Hichens, Robert;The Way Of Ambition;1913;1913;;texts/ENG19130_Hichens.xml;156642;English;;male;1864;1950;long;1900-1920;ELTeC: English-Extension;1913;;1913;ELTeC conversionLou Burnard;;;;;ENG19130_Hichens;49;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG19151_Conrad;Conrad, Joseph;Victory;1915;1915;;texts/ENG19151_Conrad.xml;117404;English;https://viaf.org/viaf/73862853;male;1857;1924;long;1900-1920;ELTeC: English-Extension;1915;2019-11-09;1915;"ELTeC conversion; Original data captureLou Burnard; Tracy Camp; David Widger";;;;;ENG19151_Conrad;58;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18511_Skene;Skene, Felicia;The Tutor’s Ward;1851;1851;;texts/ENG18511_Skene.xml;99479;English;https://viaf.org/viaf/26018946/;female;1821;1899;medium;1840-1860;ELTeC: English-Extension;1851;2019-11-09;;"Optically scanned, proofed and encoded by ; Edited by ; E-text Editor; Corrected BySarah Boehm; Perry Willett; Brian Norberg; Elizabeth Munson";;;;;ENG18511_Skene;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18611_Wood;Wood, Ellen;East Lynne;1861;1861;;texts/ENG18611_Wood.xml;250380;English;https://viaf.org/viaf/14898332;female;1814;1887;long;1860-1880;ELTeC: English-Extension;1861;2019-11-09;1861;ELTeC conversionLou Burnard;;;;;ENG18611_Wood;47;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ENG18620_Wood;Wood, Ellen;The Channings;1862;1862;;texts/ENG18620_Wood.xml;199639;English;https://viaf.org/viaf/14898332;female;1814;1887;long;1860-1880;ELTeC: English-Extension;1862;2019-11-09;1862;"Text file produced by ; HTML file produced by; ELTeC conversionJonathan Ingram; Charlie Kirschner; Distributed Proofreading Team; David Widger ; Lou Burnard";;;;;ENG18620_Wood;48;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
