Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
FRA00101;Adam, Juliette;Mon Village;1860;1860;authorid: https://www.wikidata.org/wiki/Q270617;texts/FRA00101_Adam.xml;21636;French;https://viaf.org/viaf/64000638;female;1836;1936;short;1860-1879;ELTeC-fra;1860;2019;1868;Wikisource;;;homodiegetic;low;FRA00101;24;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00102;Adam, Juliette;Païenne;1883;1883;authorid: https://www.wikidata.org/wiki/Q270617;texts/FRA00102_Adam.xml;29593;French;https://viaf.org/viaf/64000638;female;1836;1936;short;1880-1899;ELTeC-fra;1883;2017;1883;Wikisource;;;epistolary;low;FRA00102;47;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00201;Audoux, Marguerite;Marie-Claire;1910;1910;authorid: https://www.wikidata.org/wiki/Q466650;texts/FRA00201_Audoux.xml;37171;French;https://viaf.org/viaf/71386673;female;1863;1937;short;1900-1920;ELTeC-fra;1910;;1925;Bibliothèque électronique du Québec (BEQ);;;autodiegetic;high;FRA00201;47;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00301;Aimard, Gustave;Les Trappeurs de l'Arkansas;1858;1858;"authorid: https://www.wikidata.org/wiki/Q472068; titleid: https://www.wikidata.org/wiki/Q19214045";texts/FRA00301_Aimard.xml;90276;French;https://viaf.org/viaf/9841962;male;1818;1883;medium;1840-1859;ELTeC-fra;1858;2005;;Bibliothèque électronique du Québec (BEQ);https://viaf.org/viaf/309322317 ;;heterodiegetic;low;FRA00301;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00302;Aimard, Gustave;Belle rivière;1894;1894;authorid: https://www.wikidata.org/wiki/Q472068;texts/FRA00302_Aimard.xml;139314;French;https://viaf.org/viaf/9841962;male;1818;1883;long;1860-1879;ELTeC-fra;1894;;;Bibliothèque électronique du Québec (BEQ);;;heterodiegetic;low;FRA00302;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00401;Allais, Alphonse;Le Captain Cap;1902;1902;authorid: https://www.wikidata.org/wiki/missing;texts/FRA00401_Allais.xml;41424;French;https://viaf.org/viaf/302147306;male;1829;1871;short;1900-1920;ELTeC-fra;1902;2011;1902;BnF;;;homodiegetic;high;FRA00401;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00501;Balzac, Honoré de;Albert Savarus;1853;1853;"authorid: https://www.wikidata.org/wiki/Q9711; titleid: https://www.wikidata.org/wiki/Q2740921";texts/FRA00501_Balzac.xml;42274;French;https://viaf.org/viaf/29529595;male;1799;1850;short;1840-1859;ELTeC-fra;1853;2014;1842;Éfélé;https://viaf.org/viaf/174178728 ;;heterodiegetic;high;FRA00501;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00502;Balzac, Honoré de;Le cousin Pons;1853;1853;"authorid: https://www.wikidata.org/wiki/Q9711; titleid: https://www.wikidata.org/wiki/Q2699195; first edition: 1851-1853; print edition: 1842-1848";texts/FRA00502_Balzac.xml;111052;French;https://viaf.org/viaf/29529595;male;1799;1850;long;1840-1859;ELTeC-fra;1853;2014;1848;Éfélé;https://viaf.org/viaf/305992935 ;;heterodiegetic;high;FRA00502;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00503;Balzac, Honoré de;Le curé de village;1854;1854;"print edition: 1842-1848; authorid: https://www.wikidata.org/wiki/Q9711; titleid: https://www.wikidata.org/wiki/Q2718088";texts/FRA00503_Balzac.xml;93205;French;https://viaf.org/viaf/29529595;male;1799;1850;medium;1840-1859;ELTeC-fra;1854;2014;1848;Éfélé;https://viaf.org/viaf/177407570 ;;heterodiegetic;high;FRA00503;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00601;Boisgobey, Fortuné du;Le crime de l'omnibus;1881;1881;authorid: https://www.wikidata.org/wiki/Q969321;texts/FRA00601_Boisgobey.xml;93658;French;https://viaf.org/viaf/19720225;male;1821;1891;medium;1880-1899;ELTeC-fra;1881;2006;;Ebooks libres et gratuits;https://viaf.org/viaf/1765151656351208400006;crime fiction;heterodiegetic;low;FRA00601;60;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00602;Boisgobey, Fortuné du;Rubis sur l'ongle;1886;1886;authorid: https://www.wikidata.org/wiki/Q969321;texts/FRA00602_Boisgobey.xml;104131;French;https://viaf.org/viaf/19720225;male;1821;1891;long;1880-1899;ELTeC-fra;1886;2014;;(unspecified);;;heterodiegetic;low;FRA00602;65;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00701;Carraud, Zulma;La petite Jeanne;1852;1852;authorid: https://www.wikidata.org/wiki/Q2030046;texts/FRA00701_Carraud.xml;53860;French;https://viaf.org/viaf/66529196;female;1796;1889;medium;1840-1859;ELTeC-fra;1852;2006;1884;Project Gutenberg;;;heterodiegetic;high;FRA00701;56;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA00801;Dash, Comtesse;Le château de Pinon I;1843;1843;"Dash, Comtesse [Gabrielle Anna de Cisternes de Courtiras, vicomtesse de Saint-Mars]; authorid: https://www.wikidata.org/wiki/missing";texts/FRA00801_Dash.xml;45263;French;https://viaf.org/viaf/102278;female;1804;1872;short;1840-1859;ELTeC-fra;1843;2009;1843;Gallica (BnF);;;heterodiegetic;low;FRA00801;39;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
