Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
FRA40017;Anonymous;Jack;1875;1875;;texts/FRA40017.xml;171531;French;;unknown;;;long;1860-1880;ELTeC-French-Extension;1875;;;;;;;unspecified;FRA40017;;;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA40319;"Aimard, Gustave; Auriac, Jean-Baptiste";Les Pieds fourchus;1866;1866;"Authors: Aimard, Gustave (1818-1883); Auriac, Jean-Baptiste (1816-1898)";texts/FRA40319.xml;35790;French;https://viaf.org/viaf/61641578;male;;;short;1860-1880;ELTeC-French-Extension;1866;;;;;;;unspecified;FRA40319;;;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA20093_Constant_Laure;Constant Rebecque, Samuel de;Laure, ou Lettres de quelques personnes de Suisse;1787;1787;"author not anonym based upon the tei xml; details of the author added based upon the tei xml; https://viaf.org/viaf/95173854";texts/FRA20093_Constant_Laure.xml;259602;French;https://www.wikidata.org/wiki/Q55229494;male;1729;1800;long;-1840;ELTeC-French-Extension;1787;;1787;;bgrf:86.27;;;unspecified;FRA20093_Constant_Laure;58;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA40475;Stolz, Madame de;;1888;1888;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/FRA40475.xml;45376;French;https://viaf.org/viaf/79158042;female;1820;1892;short;1880-1900;ELTeC-French-Extension;1888;;;;;;;unspecified;FRA40475;68;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA40477;Stolz, Madame de;;1881;1881;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/FRA40477.xml;38731;French;https://viaf.org/viaf/79158042;female;1820;1892;short;1880-1900;ELTeC-French-Extension;1881;;;;;;;unspecified;FRA40477;61;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA40478;Stolz, Madame de;;1874;1874;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/FRA40478.xml;43877;French;https://viaf.org/viaf/79158042;female;1820;1892;short;1860-1880;ELTeC-French-Extension;1874;;;;;;;unspecified;FRA40478;54;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA40479;Stolz, Madame de;;1872;1872;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/FRA40479.xml;45825;French;https://viaf.org/viaf/79158042;female;1820;1892;short;1860-1880;ELTeC-French-Extension;1872;;;;;;;unspecified;FRA40479;52;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA40480;Stolz, Madame de;;1884;1884;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/FRA40480.xml;48728;French;https://viaf.org/viaf/79158042;female;1820;1892;short;1880-1900;ELTeC-French-Extension;1884;;;;;;;unspecified;FRA40480;64;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA40481;Stolz, Madame de;;1881;1881;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/FRA40481.xml;49413;French;https://viaf.org/viaf/79158042;female;1820;1892;short;1880-1900;ELTeC-French-Extension;1881;;;;;;;unspecified;FRA40481;61;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
FRA40482;Stolz, Madame de;;1878;1878;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/FRA40482.xml;45634;French;https://viaf.org/viaf/79158042;female;1820;1892;short;1860-1880;ELTeC-French-Extension;1878;;;;;;;unspecified;FRA40482;58;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
