Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
HU00011;Vachott, Sándorné;Derű és ború;1854;1854;;texts/HU00011.xml;65112;Hungarian;;female;1828;1896;medium;1840-1859;ELTeC-hun;1854;2000-01-15;1854;The Google Books Digital Content Store;;;;low;HU00011;26;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00012;Vachott, Sándorné;Irma hagyományai;1859;1859;;texts/HU00012.xml;47321;Hungarian;;female;1828;1896;short;1840-1859;ELTeC-hun;1859;2000-01-15;1859;The Google Books Digital Content Store;;;;low;HU00012;31;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00600;Babits, Mihály;A gólyakalifa;1916;1916;;texts/HU00600.xml;38365;Hungarian;https://viaf.org/viaf/49221125;male;1883;1941;short;1900-1920;ELTeC-hun;1916;2002-07-14;1996;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00600;33;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00628;Bródy, Sándor;Az ezüst kecske;1898;1898;;texts/HU00628.xml;47696;Hungarian;https://viaf.org/viaf/49267921;male;1863;1924;short;1880-1899;ELTeC-hun;1898;2002-04-17;1969;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00628;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00642;Eötvös, József;A falu jegyzője;1845;1845;;texts/HU00642.xml;206761;Hungarian;https://viaf.org/viaf/64044769;male;1813;1871;long;1840-1859;ELTeC-hun;1845;2000-01-15;1971;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00642;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00662;Gárdonyi, Géza;A láthatatlan ember;1901;1901;;texts/HU00662.xml;76646;Hungarian;https://viaf.org/viaf/24643507;male;1863;1922;medium;1900-1920;ELTeC-hun;1901;1998-10-06;1967;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00662;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00666;Gyulai, Pál;Egy régi udvarház utolsó gazdája;1857;1857;;texts/HU00666.xml;22682;Hungarian;https://viaf.org/viaf/59092543;male;1826;1909;short;1840-1859;ELTeC-hun;1857;1998-08-03;1995;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00666;31;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00719;Karinthy, Frigyes;Tanár úr kérem;1916;1916;;texts/HU00719.xml;17484;Hungarian;https://viaf.org/viaf/46762994;male;1887;1938;short;1900-1920;ELTeC-hun;1916;1997-09-21;;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00719;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00726;Kazinczy, Ferenc;Bácsmegyeinek gyötrelmei;1878;1878;;texts/HU00726.xml;20772;Hungarian;https://viaf.org/viaf/9867747;male;1759;1831;short;1860-1879;ELTeC-hun;1878;2000-11-15;1878;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU00726;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00730;Kemény, Zsigmond;Özvegy és leánya;1855;1855;;texts/HU00730.xml;88579;Hungarian;https://viaf.org/viaf/54141095;male;1814;1875;medium;1840-1859;ELTeC-hun;1855;2001-08-06;2000;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00730;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00731;Kemény, Zsigmond;Szerelem és hiúság;1876;1876;;texts/HU00731.xml;22783;Hungarian;https://viaf.org/viaf/54141095;male;1814;1875;short;1860-1879;ELTeC-hun;1876;2002-04-30;1995;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00731;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00763;Krúdy, Gyula;Az útitárs;1919;1919;;texts/HU00763.xml;15800;Hungarian;https://viaf.org/viaf/22810;male;1878;1933;short;1900-1920;ELTeC-hun;1919;1999-11-01;1959;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU00763;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00879;Mikes, Kelemen;Törökországi levelek : Válogatás;1880;1880;;texts/HU00879.xml;11346;Hungarian;https://viaf.org/viaf/7410168;male;1690;1761;short;1880-1899;ELTeC-hun;1880;1998-03-10;1995;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00879;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00898;Mikszáth, Kálmán;A beszélő köntös;1889;1889;;texts/HU00898.xml;23646;Hungarian;https://viaf.org/viaf/46774986;male;1847;1910;short;1880-1899;ELTeC-hun;1889;1999-01-11;1998;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00898;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00949;Mikszáth, Kálmán;A Noszty fiú esete Tóth Marival;1908;1908;;texts/HU00949.xml;133267;Hungarian;https://viaf.org/viaf/46774986;male;1847;1910;long;1900-1920;ELTeC-hun;1908;1999-01-11;1960;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00949;61;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00954;Mikszáth, Kálmán;Szent Péter esernyője;1895;1895;;texts/HU00954.xml;53010;Hungarian;https://viaf.org/viaf/46774986;male;1847;1910;medium;1880-1899;ELTeC-hun;1895;1999-01-08;1957;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00954;48;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU00977;Móra, Ferenc;Rab ember fiai;1910;1910;;texts/HU00977.xml;21678;Hungarian;https://viaf.org/viaf/73857588;male;1879;1934;short;1900-1920;ELTeC-hun;1910;1999-08-02;1974;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU00977;31;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU01009;Petőfi, Sándor;A hóhér kötele;1846;1846;;texts/HU01009.xml;25762;Hungarian;https://viaf.org/viaf/59087691;male;1823;1849;short;1840-1859;ELTeC-hun;1846;1998-08-31;1993;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU01009;23;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU01115;Vas, Gereben;Egy alispán : Magyar korrajz;1858;1858;;texts/HU01115.xml;90713;Hungarian;https://viaf.org/viaf/36952007;male;1823;1868;medium;1840-1859;ELTeC-hun;1858;2003-05-24;1886;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU01115;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU01116;Vas, Gereben;Nagy idők, nagy emberek;1856;1856;;texts/HU01116.xml;109239;Hungarian;https://viaf.org/viaf/36952007;male;1823;1868;long;1840-1859;ELTeC-hun;1856;2003-03-01;1886;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU01116;33;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU02028;Kaffka, Margit;Színek és évek;1911;1911;;texts/HU02028.xml;62913;Hungarian;https://viaf.org/viaf/19708135;female;1880;1918;medium;1900-1920;ELTeC-hun;1911;2004-08-19;1999;Magyar Elektronikus Könyvtárért Egyesület;;;;high;HU02028;31;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
HU02143;Vas, Gereben;A pörös atyafiak;1860;1860;;texts/HU02143.xml;70428;Hungarian;https://viaf.org/viaf/36952007;male;1823;1868;medium;1860-1879;ELTeC-hun;1860;2004-10-18;1891;Magyar Elektronikus Könyvtárért Egyesület;;;;low;HU02143;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
