Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
IT18370;Tommaseo, Niccoló;Il Duca D'Atene;1858;1858;;texts/IT18370_Tommaseo_Il-Duca-D-Atene.xml;59561;Italian;https://viaf.org/viaf/24639861;male;1802;1874;medium;1840-1859;ELTeC-ita;;;1858;;;;;high;IT18370;56;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18420;Manzoni, Alessandro;Promessi Sposi;1842;1842;;texts/IT18420_Manzoni_Promessi-Sposi.xml;215495;Italian;;male;1785;1873;long;1840-1859;ELTeC-ita;1842;;1954;;;;;high;IT18420;57;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18500;Carcano, Giulio;Damiano, storia di una famiglia povera;1850;1850;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/IT18500_Carcano_Damiano-storia-di-una-famiglia-povera.xml;127099;Italian;;male;1812;1884;long;1840-1859;ELTeC-ita;;;1850;;;;;low;IT18500;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18520;Tommaseo, Niccolò;Fede e bellezza;1852;1852;;texts/IT18520_Tommaseo_Fede-e-bellezza.xml;46720;Italian;;male;1802;1874;short;1840-1859;ELTeC-ita;1852;;;;;;;high;IT18520;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18530;Ruffini, Giovanni;Lorenzo Benoni, ovvero scene della vita di un italiano;1853;1853;;texts/IT18530_Ruffini_Lorenzo-Benoni-ovvero-scene-della-vita-di-un-italiano.xml;126277;Italian;https://viaf.org/viaf/49384032;male;1807;1881;long;1840-1859;ELTeC-ita;1853;;2005;;;;;unspecified;IT18530;46;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18590;Rovani, Giuseppe;Cent'anni;1859;1859;;texts/IT18590_Rovani_Cent-anni.xml;420104;Italian;https://viaf.org/viaf/2579508;male;1818;1874;long;1840-1859;ELTeC-ita;1859;;1975;;;;;unspecified;IT18590;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18600;Guerrazzi, Francesco Domenico;Pasquale Paoli, ossia La rotta di Ponte Nuovo;1860;1860;;texts/IT18600_Guerrazzi_Pasquale-Paoli-ossia-La-rotta-di-Ponte-Nuovo.xml;202286;Italian;https://viaf.org/viaf/66538608;male;1804;1873;long;1860-1879;ELTeC-ita;1860;;1883;;;;;unspecified;IT18600;56;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18610;Righetti, Carlo;La scapigliatura e il 6 febbrajo;1861;1861;Righetti, Carlo [Cletto Arrighi] ;texts/IT18610_Righetti_La-scapigliatura-e-il-6-febbrajo.xml;65883;Italian;https://viaf.org/viaf/66678990;male;1828;1906;medium;1860-1879;ELTeC-ita;1861;;1988;;;;;unspecified;IT18610;33;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18620;Petruccelli della Gattina, Ferdinando;I moribondi del Palazzo Carignano;1862;1862;;texts/IT18620_Petruccelli-della-Gattina_I-moribondi-del-Palazzo-Carignano.xml;44091;Italian;https://viaf.org/viaf/17255247;male;1815;1890;short;1860-1879;ELTeC-ita;;;1862;;;;;unspecified;IT18620;47;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18660;Verga, Giovanni;Una peccatrice;1866;1866;;texts/IT18660_Verga_Una-peccatrice.xml;37113;Italian;https://viaf.org/viaf/18647;male;1840;1922;short;1860-1879;ELTeC-ita;1866;;1995;;;;;unspecified;IT18660;26;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18670;Nievo, Ippolito;Le confessioni d'un Italiano;1867;1867;;texts/IT18670_Nievo_Le-confessioni-d-un-Italiano.xml;338962;Italian;https://viaf.org/viaf/68995581;male;1831;1861;long;1860-1879;ELTeC-ita;1867;;1964;;;;;unspecified;IT18670;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
IT18671;Ferdinando;Memorie di Giuda;1867;1867;;texts/IT18671_Petruccelli-della-Gattina_Memorie-di-Giuda.xml;142255;Italian;https://viaf.org/viaf/17255247;male;1815;1890;long;1860-1879;ELTeC-ita;1867;;1883;;;;;unspecified;IT18671;52;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
