Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
LIT00001;Šeinius, Ignas;Kuprelis;1913;1913;Publisher and publishing place: Vienybė Lietuvininkų, New York;texts/LIT00001_seinius_kuprelis.xml;39517;Lithuanian;;male;1889;1959;long;1900-1920;ELTeC-lith;1913;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00001;24;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00002;Pietaris, Vincas;Algimantas arba lietuviai XIII šimtmetyje;1904;1904;Publisher and publishing place: Lietuvių katalikų spaudos bendrijos spaustuvė, Shenandoah;texts/LIT00002_pietaris_algimantas.xml;125389;Lithuanian;;male;1850;1902;long;1900-1920;ELTeC-lith;1904;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00002;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00004;Dobilas, Julijonas Lindė;Bludas;1912;1912;Publisher and publishing place: J. Dobilas, Tilžė;texts/LIT00004_dobilas_bludas.xml;104840;Lithuanian;;male;1872;1934;long;1900-1920;ELTeC-lith;1912;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00004;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00005;Daukantas, Simonas;Žemaičių pasakos;1941;1941;Publisher and publishing place: LTSR valstybinė leidykla, Kaunas;texts/LIT00005_daukantas_zemaiciu_pasakos.xml;20455;Lithuanian;;male;1793;1864;short;1840-1859;ELTeC-lith;1941;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00005;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00006;Kudirka, Vincas;Viršininkai. Margas paveikslēlis.;1895;1895;Publisher and publishing place: E. Jagomasto sp., Vilnius;texts/LIT00006_kudirka_virsininkai.xml;15671;Lithuanian;;male;1858;1999;short;1880-1899;ELTeC-lith;1895;;;Lietuvos Nacionalinė M. Mažvydo biblioteka;;;;;LIT00006;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00007;Valančius, Motiejus;Wajku kningiele;1868;1868;Publisher and publishing place: Johann Zabermann lėšos, Tilžė;texts/LIT00007_valancius_vaiku_knygele.xml;17940;Lithuanian;;male;1801;1875;short;1860-1879;ELTeC-lith;1868;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00007;67;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00008;Pietaris, Vincas;Keidoszių Onutė;1899;1899;Publisher and publishing place: Tėvynės sargas, Tilžė;texts/LIT00008_pietaris_keidosiu_onute.xml;21735;Lithuanian;;male;1850;1902;short;1900-1920;ELTeC-lith;1899;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00008;49;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00009;Valančius, Motiejus;Pasakojimas Antano Tretininko;1891;1891;Publisher and publishing place: Kasztu ir spaustuvėje Jůzapo Paukszczio, Plymouth, Pa.;texts/LIT00009_valancius_pasakojimas_antano_tretininko.xml;18722;Lithuanian;;male;1801;1875;long;1860-1879;ELTeC-lith;1891;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00009;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00010;Pšibiliauskienė, Sofija;Klaida;1909;1909;Publisher and publishing place: M. Kuktos spaustuvė, Vilnius;texts/LIT00010_peleda_klaida.xml;65961;Lithuanian;;female;1867;1926;medium;1900-1920;ELTeC-lith;1909;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00010;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
LIT00011;Žemaitė;Paveikslai;1899;1899;Publisher and publishing place: Kasztai ir spauda \Vienybė, Lietuvininkų\Plymouth;texts/LIT00011_zemaite_paveikslai.xml;11913;Lithuanian;;female;1845;1921;short;1880-1899;ELTeC-lith;1899;;;Martynas Mažvydas National Library of Lithuania;;;;;LIT00011;54;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
