Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Author age (time of writing);Posthumous;Publication statement
DEU001;Willkomm, Ernst Adolf;Weisse Sclaven oder die Leiden des Volkes;1845;1845;;texts/DEU001.xml;322371;German;http://d-nb.info/gnd/11739467X;male;1810;1886;long;1840-1859;ELTeC-deu;1845;;1845;;;;;low;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU002;Auerbach, Berthold;Der Lehnhold;1863;1863;;texts/DEU002.xml;66067;German;http://d-nb.info/gnd/11865103X;male;1812;1882;medium;1840-1859;ELTeC-deu;;;1863;;;;;low;51;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU003;Ruppius, Otto;Der Pedlar;1859;1859;;texts/DEU003.xml;89800;German;http://d-nb.info/gnd/116708859;male;1819;1864;medium;1840-1859;ELTeC-deu;1859;;1910;;;;;low;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU004;Otto, Louise;Nürnberg. Zweiter Band;1880;1880;;texts/DEU004.xml;56702;German;http://d-nb.info/gnd/118590901;female;1819;1895;medium;1840-1859;ELTeC-deu;;;;;;;;low;61;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU005;Kurz, Hermann;Der Sonnenwirt;1855;1855;;texts/DEU005.xml;216063;German;http://d-nb.info/gnd/118778277;male;1813;1873;long;1840-1859;ELTeC-deu;1855;;1980;;;;;high;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU006;Weerth, Georg;Fragment eines Romans;1957;1957;;texts/DEU006.xml;60551;German;http://d-nb.info/gnd/117208612;male;1822;1856;medium;1840-1859;ELTeC-deu;1957;;1956;;;;;low;;true;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU007;Stifter, Adalbert;Die Mappe meines Urgroßvaters;1841;1841;;texts/DEU007.xml;82220;German;http://d-nb.info/gnd/118618156;male;1805;1868;medium;1840-1859;ELTeC-deu;1841;;1959;;;;;high;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU008;Auerbach, Berthold;Der Lautenbacher;1863;1863;;texts/DEU008.xml;31603;German;http://d-nb.info/gnd/11865103X;male;1812;1882;short;1840-1859;ELTeC-deu;;;1863;;;;;low;51;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU009;Ruppius, Otto;Das Vermächtnis des Pedlars;1859;1859;;texts/DEU009.xml;97300;German;http://d-nb.info/gnd/116708859;male;1819;1864;medium;1840-1859;ELTeC-deu;1859;;;;;;;low;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU010;Aston, Louise;Lydia;1848;1848;;texts/DEU010.xml;61819;German;http://d-nb.info/gnd/118650769;female;1814;1871;medium;1840-1859;ELTeC-deu;1848;;1848;;;;;low;34;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU011;Freytag, Gustav;Soll und Haben;1855;1855;Incorrect Reference year: 1977 and Digital edition: 1855, corrected to be first edition, and the reference year is changed accordingly.;texts/DEU011.xml;344948;German;http://d-nb.info/gnd/118535455;male;1816;1895;long;1840-1859;ELTeC-deu;1855;;1977;;;;;high;39;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU012;Aston, Louise;Aus dem Leben einer Frau;1847;1847;;texts/DEU012.xml;27975;German;http://d-nb.info/gnd/118650769;female;1814;1871;short;1840-1859;ELTeC-deu;1847;;1847;;;;;high;33;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU013;Auerbach, Berthold;Barfüßele;1856;1856;;texts/DEU013.xml;76008;German;http://d-nb.info/gnd/11865103X;male;1812;1882;medium;1840-1859;ELTeC-deu;1856;;1857;;;;;low;44;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU014;Tieck, Ludwig;Vittoria Accorombona;1840;1840;;texts/DEU014.xml;123077;German;http://d-nb.info/gnd/12989432X;male;1773;1853;long;1840-1859;ELTeC-deu;1840;;1963;;;;;high;67;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU015;Arnim, Bettina von;Die Günderode;1840;1840;;texts/DEU015.xml;176011;German;http://d-nb.info/gnd/118504185;female;1785;1859;long;1840-1859;ELTeC-deu;1840;;1959;;;;;high;55;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU016;Gerstäcker, Friedrich;Die Regulatoren in Arkansas. Aus dem Waldleben Amerikas;1846;1846;;texts/DEU016.xml;183061;German;http://d-nb.info/gnd/118538810;male;1816;1872;long;1840-1859;ELTeC-deu;1846;;;;;;;low;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU017;Stifter, Adalbert;Die Narrenburg;1843;1843;;texts/DEU017.xml;41879;German;http://d-nb.info/gnd/118618156;male;1805;1868;short;1840-1859;ELTeC-deu;1843;;1959;;;;;unspecified;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU018;Schopenhauer, Adele;Anna;1845;1845;;texts/DEU018.xml;105286;German;http://d-nb.info/gnd/11880510X;female;1797;1849;long;1840-1859;ELTeC-deu;1845;;1845;;;;;low;48;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU019;Stifter, Adalbert;Zwei Schwestern;1846;1846;;texts/DEU019.xml;58315;German;http://d-nb.info/gnd/118618156;male;1805;1868;medium;1840-1859;ELTeC-deu;1846;;1959;;;;;unspecified;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU020;Hahn-Hahn, Ida Gräfin von;Sibylle;1846;1846;"author not anonym based upon the tei xml; details of the author added based upon the tei xml";texts/DEU020.xml;131733;German;http://d-nb.info/gnd/118544918;female;1805;1880;long;1840-1859;ELTeC-deu;1846;;1846;;;;;low;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
DEU021;Lewald, Fanny;Jenny;1843;1843;;texts/DEU021.xml;111473;German;http://d-nb.info/gnd/118572393;female;1811;1889;long;1840-1859;ELTeC-deu;1843;;1872;;;;;low;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
