Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
NOR0001;Kielland, Alexander;Garman & Worse;1880;1880;"Authorid: https://viaf.org/viaf/54187212; Teksten i bokselskap.no følger 1. utgave, 1880. Digitaliseringen er basert på skannet og ocr-lest fil mottatt fra Nasjonalbiblioteket/NB Digital., Number of Pages: 362, Gyldendalske Boghandels Forlag (F. Hegel & Søn), Kjøbenhavn";texts/NOR0001_Kielland_GarmanOgWorse_tekst.xml;66894;Norwegian;https://www.wikidata.org/wiki/Q318358;male;1849;1906;medium;1880-1899;ELTeC-Norwegian;;;1880;"https://doi.org/10.5281/zenodo.3462435; https://doi.org/10.5281/zenodo.4662444; https://doi.org/10.5281/zenodo.; https://doi.org/10.5281/zenodo.";;;;;NOR0001;31;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
NOR0002;Skram, Amalie;Forraadt;1892;1892;"Authorid: https://viaf.org/viaf/64021492; Teksten i bokselskap.no følger førsteutgaven fra 1892 og er basert på skannet og ocr-lest fil mottatt fra Nasjonalbiblioteket/Bokhylla.no.I.H. Schubotes Boghandel, Kjøbenhavn";texts/NOR0002_Skram_Forraadt_tekst_1.xml;37869;Norwegian;https://www.wikidata.org/wiki/Q291676;female;1846;1905;short;1880-1899;ELTeC-Norwegian;;;1892;"https://doi.org/10.5281/zenodo.3462435; https://doi.org/10.5281/zenodo.4662444; https://doi.org/10.5281/zenodo.; https://doi.org/10.5281/zenodo.";;;;;NOR0002;46;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
NOR0003;Duun, Olav;Juvikingar;1918;1918;"Authorid: https://viaf.org/viaf/66543636; Teksten i bokselskap.no følger 1. utgave, 1918 (Kristiania, Olaf Norlis forlag), Number of Pages: 216, Olaf Norlis forlag, Kristiania";texts/NOR0003_Duun_Juvikingar_tekst.xml;141891;Norwegian;https://www.wikidata.org/wiki/Q19376632;male;1876;1939;long;1900-1920;ELTeC-Norwegian;;;1918;"https://doi.org/10.5281/zenodo.3462435; https://doi.org/10.5281/zenodo.4662444; https://doi.org/10.5281/zenodo.; https://doi.org/10.5281/zenodo.";;;;;NOR0003;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
NOR0004;Garborg, Arne;Bondestudentar;1883;1883;"Authorid: https://viaf.org/viaf/89613088; Teksten i bokselskap.no er basert på xml-fil mottatt fra Universitetet i Oslo/dokpro.uio.no. Dokpros tekst er hentet fra Skriftir i samling, b. 1, Aschehoug, Kristiania, 1921., Number of Pages: 216, Aschehoug (W. Nygaard), Kristiania, Fr. Nygaards Forlag, Bergen";texts/NOR0004_Garborg_Bondestudentar_tekst.xml;183721;Norwegian;https://www.wikidata.org/wiki/Q467497;male;1851;1924;long;1880-1899;ELTeC-Norwegian;1883;;1921;"https://doi.org/10.5281/zenodo.3462435; https://doi.org/10.5281/zenodo.4662444; https://doi.org/10.5281/zenodo.; https://doi.org/10.5281/zenodo.";;;;;NOR0004;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
NOR0005;Collett, Camilla;Amtmandens døtre;1855;1855;"Authorid: https://viaf.org/viaf/56718081; Camilla Collett: Amtmandens Døttre (1. utgave, 1854/55). Utgave ved Ellen Nessheim Wiger og Kristin Ørjasæter, Det norske språk- og litteraturselskap, 2013 (digital utgave, bokselskap.no) Utgitt med støtte fra Nasjonalbiblioteket og Norsk kulturråd ISBN: 978-82-93134-06-0, Number of Pages: 521, Det norske språk- og litteraturselskapJohan Dahl, Christiania";texts/NOR0005_Collett_AD1utg_tekst.xml;119437;Norwegian;https://www.wikidata.org/wiki/Q243045;female;1813;1895;long;1840-1859;ELTeC-Norwegian;1855;;2013;"https://doi.org/10.5281/zenodo.3462435; https://doi.org/10.5281/zenodo.4662444; https://doi.org/10.5281/zenodo.; https://doi.org/10.5281/zenodo.";;;;;NOR0005;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
NOR0006;Lie, Jonas Lauritz;Familien Paa Gilje;1883;1883;"Authorid: https://viaf.org/viaf/59124011; Teksten i bokselskap.no er basert på xml-fil mottatt fra Universitetet i Oslo/dokpro.uio.no. Dokpros tekst er hentet fra: Samlede Digterverker. 10 bind. Utgave ved Paula Bergh. Gyldendal, Kristiania 1920-1921., Number of Pages: 165, ";texts/NOR0006_Lie_Familien_tekst.xml;51597;Norwegian;https://www.wikidata.org/wiki/Q469681;male;1833;1908;medium;1880-1899;ELTeC-Norwegian;1883;;1883;"https://doi.org/10.5281/zenodo.3462435; https://doi.org/10.5281/zenodo.4662444; https://doi.org/10.5281/zenodo.; https://doi.org/10.5281/zenodo.";;;;;NOR0006;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
NOR0007;Undset, Sigrid;Fru Marta Oulie;1907;1907;"Authorid: https://viaf.org/viaf/59124011; Number of Pages: 129, publisher: Aschehaug, Kristiania";texts/NOR0007_Undset_FruMarta_tekst.xml;25802;Norwegian;https://www.wikidata.org/wiki/Q80889;female;1882;1949;short;1900-1920;ELTeC-Norwegian;1907;;1907;"https://doi.org/10.5281/zenodo.3462435; https://doi.org/10.5281/zenodo.4662444; https://doi.org/10.5281/zenodo.; https://doi.org/10.5281/zenodo.";;;;;NOR0007;25;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
NOR0009;Lie, Jonas Lauritz;Kommandørens døtre;1886;1886;"Authorid: https://viaf.org/viaf/59124011; Teksten i bokselskap.no er basert på xml-fil mottatt fra Universitetet i Oslo/dokpro.uio.no, versjonen er hentet fra Samlede Digterverker i 10 bind ved Paula Bergh, Gyldendal, Kristiania 1920-1921., Number of Pages: 178, Gyldendalske Boghandels Forlag (F. Hegel & Søn), Kjøbenhavn";texts/NOR0009_Lie_KommandorensDottre_tekst.xml;130597;Norwegian;https://www.wikidata.org/wiki/Q469681;male;1833;1908;long;1880-1899;ELTeC-Norwegian;1886;;1886;"https://doi.org/10.5281/zenodo.3462435; https://doi.org/10.5281/zenodo.4662444; https://doi.org/10.5281/zenodo.; https://doi.org/10.5281/zenodo.";;;;;NOR0009;53;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
NOR0010;Bjørnson, Bjørnstjerne Matrtinius;En Glad Gut;1860;1860;"Authorid: https://viaf.org/viaf/295290572; Tekstgrunnlaget for denne utgaven er et særtrykk ved Udvalget for Folkeoplysnings Fremme, fra 1868., Number of Pages: 92, G. E. C. Gad, Kjøbenhavn, Gjertsen Forlag, Kjøbenhavn";texts/NOR0010_Bjornson_EnGladGut_tekst.xml;27645;Norwegian;https://www.wikidata.org/wiki/Q46405;male;1832;1910;short;1860-1879;ELTeC-Norwegian;1860;;1868;"https://doi.org/10.5281/zenodo.3462435; https://doi.org/10.5281/zenodo.4662444; https://doi.org/10.5281/zenodo.; https://doi.org/10.5281/zenodo.";;;;;NOR0010;28;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
NOR0011;Duun, Olav;I blinda;1919;1919;"Authorid: https://viaf.org/viaf/66543636; Number of Pages: 276, publisher: Olaf Norlis Forlag, Kristianian";texts/NOR0011_Blinda_tekst.xml;70379;Norwegian;https://www.wikidata.org/wiki/Q721763;male;1876;1939;medium;1900-1920;ELTeC-Norwegian;;;1919;"https://doi.org/10.5281/zenodo.3462435; https://doi.org/10.5281/zenodo.4662444; https://doi.org/10.5281/zenodo.; https://doi.org/10.5281/zenodo.";;;;;NOR0011;43;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
