Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
POL0001;Bałucki, Michał;Biały murzyn;1875;1875;;texts/POL0001_balucki_bialy-murzyn.xml;66054;Polish;http://viaf.org/viaf/70005089;male;1837;1901;medium;1860-1879;ELTeC-pol;1875;;1876;Polona;;;;high;POL0001;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0002;Bałucki, Michał;Pan burmistrz z Pipidówki;1887;1887;;texts/POL0002_balucki_pan-burmistrz.xml;32595;Polish;http://viaf.org/viaf/70005089;male;1837;1901;short;1880-1899;ELTeC-pol;;;1887;;;;;high;POL0002;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0003;Bałucki, Michał;Przebudzeni;1864;1864;;texts/POL0003_balucki_przebudzeni.xml;49056;Polish;http://viaf.org/viaf/70005089;male;1837;1901;short;1860-1879;ELTeC-pol;;;1864;;;;;high;POL0003;27;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0004;Grot-Bęczkowska, Wanda;Co będzie z naszego chłopca?;1896;1896;;texts/POL0004_beczkowska_co-bedzie.xml;35609;Polish;http://viaf.org/viaf/187234530;female;1854;1925;short;1880-1899;ELTeC-pol;;;1896;;;;;low;POL0004;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0005;Grot-Bęczkowska, Wanda;Kędy droga?;1898;1898;;texts/POL0005_beczkowska_kedy-droga.xml;82956;Polish;http://viaf.org/viaf/187234530;female;1854;1925;medium;1880-1899;ELTeC-pol;;;1898;;;;;low;POL0005;44;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0006;Grot-Bęczkowska, Wanda;W mieszczańskim gnieździe;1899;1899;;texts/POL0006_beczkowska_w-mieszczanskim-gniezdzie.xml;53885;Polish;http://viaf.org/viaf/187234530;female;1854;1925;medium;1880-1899;ELTeC-pol;;;1899;;;;;low;POL0006;45;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0007;Berent, Wacław;Diogenes w kontuszu;1937;1937;;texts/POL0007_berent_diogenes-w-kontuszu.xml;38983;Polish;http://viaf.org/viaf/22203184;male;1873;1940;short;1900-1920;ELTeC-pol;;;1937;;;;;low;POL0007;64;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0008;Berent, Wacław;Ozimina;1911;1911;;texts/POL0008_berent_ozimina.xml;68502;Polish;http://viaf.org/viaf/22203184;male;1873;1940;medium;1900-1920;ELTeC-pol;;;1911;;;;;low;POL0008;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0009;Berent, Wacław;Próchno;1903;1903;;texts/POL0009_berent_prochno.xml;80318;Polish;http://viaf.org/viaf/22203184;male;1873;1940;medium;1900-1920;ELTeC-pol;;;1903;;;;;low;POL0009;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0010;Łuszczewska, Jadwiga;Branki w jasyrze;1889;1889;;texts/POL0010_deotyma_branki-w-jasyrze.xml;95601;Polish;http://viaf.org/viaf/120728150;female;1834;1908;long;1880-1899;ELTeC-pol;;;1889;;;;;low;POL0010;55;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0011;Łuszczewska, Jadwiga;Panienka z okienka;1893;1893;;texts/POL0011_deotyma_panienka-z-okienka.xml;88493;Polish;http://viaf.org/viaf/120728150;female;1834;1908;long;1880-1899;ELTeC-pol;;;1893;;;;;low;POL0011;59;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0012;Łuszczewska, Jadwiga;Zwierciadlana zagadka;1879;1879;;texts/POL0012_deotyma_zwierciadlana-zagadka.xml;47623;Polish;http://viaf.org/viaf/120728150;female;1834;1908;short;1860-1879;ELTeC-pol;;;1879;;;;;low;POL0012;45;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0013;Dmochowska, Emma;Dwór w Haliniszkach;1903;1903;;texts/POL0013_dmochowska_dwor-w-haliniszkach.xml;132873;Polish;http://viaf.org/viaf/163971581;female;1864;1919;long;1900-1920;ELTeC-pol;;;1903;;;;;low;POL0013;39;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0014;Dmochowska, Emma;Jak odłamana gałąź;1914;1914;;texts/POL0014_dmochowska_jak-odlamana-galaz.xml;50488;Polish;http://viaf.org/viaf/163971581;female;1864;1919;short;1900-1920;ELTeC-pol;;;1914;;;;;low;POL0014;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0015;Dmochowska, Emma;Obrączka;1907;1907;;texts/POL0015_dmochowska_obraczka.xml;58742;Polish;http://viaf.org/viaf/163971581;female;1864;1919;medium;1900-1920;ELTeC-pol;;;1907;;;;;low;POL0015;43;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0016;Dołęga, Tadeusz-Mostowicz;Kariera Nikodema Dyzmy;1932;1932;;texts/POL0016_dolega-mostowicz_kariera-nikodema-dyzmy.xml;85595;Polish;http://viaf.org/viaf/17325963;male;1898;1939;medium;1900-1920;ELTeC-pol;;;1932;;;;;high;POL0016;34;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0017;Dołęga, Tadeusz-Mostowicz;Pamiętnik pani Hanki;1939;1939;;texts/POL0017_dolega-mostowicz_pamietnik-pani-hanki.xml;98286;Polish;http://viaf.org/viaf/17325963;male;1898;1939;long;1900-1920;ELTeC-pol;;;1939;;;;;high;POL0017;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0018;Dołęga, Tadeusz-Mostowicz;Znachor;1938;1938;;texts/POL0018_dolega-mostowicz_znachor.xml;80253;Polish;http://viaf.org/viaf/17325963;male;1898;1939;medium;1900-1920;ELTeC-pol;;;1938;;;;;high;POL0018;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0019;Domańska, Antonina;Historia żółtej ciżemki;1913;1913;;texts/POL0019_domanska_historia-zoltej-cizemki.xml;62366;Polish;http://viaf.org/viaf/3522169;female;1853;1917;medium;1900-1920;ELTeC-pol;;;1913;;;;;low;POL0019;60;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POL0020;Domańska, Antonina;Krysia bezimienna;1914;1914;;texts/POL0020_domanska_krysia-bezimienna.xml;34310;Polish;http://viaf.org/viaf/3522169;female;1853;1917;short;1900-1920;ELTeC-pol;;;1914;;;;;low;POL0020;61;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
