Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
POR0001;Dinis, Júlio;A Morgadinha dos Canaviais;1868;1868;Dinis, Júlio [Joaquim Guilherme Gomes Coelho] ;texts/POR0001_JulDin_Morgadinha.xml;150996;Portuguese;https://viaf.org/viaf/36941922;male;1839;1871;long;1860-1879;ELTeC-por;1868;2009;1920;;;;;high;POR0001;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0002;Castro Osório, Ana de;Sacrificada;1908;1908;;texts/POR0002_AnaCO_Sacrificada.xml;17416;Portuguese;https://viaf.org/viaf/68982250;female;1872;1935;short;1900-1920;ELTeC-por;1908;;;;;;;low;POR0002;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0003;Herculano, Alexandre;O Monge de Cister;1848;1848;;texts/POR0003_AleHer_Cister.xml;131300;Portuguese;;male;1810;1877;long;1840-1859;ELTeC-por;1848;;1918;;;;;high;POR0003;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0004;Almeida Garrett, João Baptista da Silva Leitão de;Viagens na minha terra;1846;1846;;texts/POR0004_AlmGar_Viagens.xml;71156;Portuguese;https://viaf.org/viaf/12303244;male;1799;1854;medium;1840-1859;ELTeC-por;1846;2008;;;;;;high;POR0004;47;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0005;Eça de Queirós, José Maria de;Os Maias;1888;1888;;texts/POR0005_EcaQue_Maias.xml;217462;Portuguese;https://viaf.org/viaf/88719234;male;1845;1900;long;1880-1899;ELTeC-por;1888;;;;;;;high;POR0005;43;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0006;Vasconcelos, Maria do Monte de Santana e;O Cura de São Lourenço;1855;1855;;texts/POR0006_MMSAV_Lourenco.xml;51484;Portuguese;;female;1809;1884;medium;1840-1859;ELTeC-por;1855;;;Biblioteca Nacional de Portugal;;;;low;POR0006;46;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0007;Dinis, Júlio;Uma família ingleza;1868;1868;Dinis, Júlio [Joaquim Guilherme Gomes Coelho] ;texts/POR0007_JulDin_Inglesa.xml;123135;Portuguese;https://viaf.org/viaf/36941922;male;1839;1871;long;1860-1879;ELTeC-por;1868;2005;1875;;;;;high;POR0007;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0008;Eça de Queirós, José Maria de;A ilustre casa de Ramires;1900;1900;;texts/POR0008_EcaQue_Ramires.xml;108451;Portuguese;https://viaf.org/viaf/88719234;male;1845;1900;long;1900-1920;ELTeC-por;1900;;;;;;;high;POR0008;55;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0009;Eça de Queirós, José Maria de;O Crime do Padre Amaro;1875;1875;;texts/POR0009_EcaQue_Amaro.xml;142963;Portuguese;https://viaf.org/viaf/88719234;male;1845;1900;long;1860-1879;ELTeC-por;1875;2010;1889;;;;;high;POR0009;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0010;Castelo Branco, Camilo;Amor de Perdição;1862;1862;;texts/POR0010_CamCB_Perdicao.xml;50353;Portuguese;https://viaf.org/viaf/7399630;male;1825;1890;medium;1860-1879;ELTeC-por;1862;2005;;;;;;high;POR0010;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0011;Castelo Branco, Camilo;O que fazem mulheres;1858;1858;;texts/POR0011_CamCB_Mulheres.xml;41587;Portuguese;https://viaf.org/viaf/7399630;male;1825;1890;short;1840-1859;ELTeC-por;1858;2009;1907;;;;;high;POR0011;33;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0012;Castelo Branco, Camilo;Mistérios de Lisboa;1854;1854;;texts/POR0012_CamCB_Misterios.xml;196947;Portuguese;https://viaf.org/viaf/7399630;male;1825;1890;long;1840-1859;ELTeC-por;1854;;;;;;;high;POR0012;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0013;Brandão, Raul;Os pobres;1906;1906;;texts/POR0013_RauBra_Pobres.xml;40117;Portuguese;https://viaf.org/viaf/17219789;male;1867;1930;short;1900-1920;ELTeC-por;1906;2007;;;;;;high;POR0013;39;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
POR0014;Fonseca, Faustino da;Os Bravos do Mindelo;1906;1906;;texts/POR0014_FauFon_Mindelo.xml;49385;Portuguese;https://viaf.org/viaf/86910399;male;1871;1918;short;1900-1920;ELTeC-por;1906;;;;;;;low;POR0014;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
