Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
ROM001;Anonymous;Roșcan Haiducul. Nuvelă ilustrată cu două gravuri;1894;1894;;texts/ROM001.xml;10128;Romanian;;unknown;;;short;1880-1899;ELTeC-rom;1894;;;;;;;low;ROM001;;;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ROM002;Bălănescu, Simion;Blestemul. Sfârșitul blestemului;1894;1894;;texts/ROM002.xml;30210;Romanian;;male;;;short;1880-1899;ELTeC-rom;1894;;;;;;;low;ROM002;;;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ROM003;Eminescu, Mihai;Geniu Pustiu;1870;1870;;texts/ROM003.xml;29942;Romanian;;male;1850;1889;short;1860-1879;ELTeC-rom;1870;;1977;;;;;high;ROM003;20;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ROM004;Dumbravă, Bucura;Haiducul;1908;1908;"Dumbravă, Bucura [Fany Seculici/ Fanny Szeculicz];  Incorrect digital edition: 1919, corrected to be print edition";texts/ROM004.xml;124789;Romanian;;female;1868;1926;long;1900-1920;ELTeC-rom;1908;;1919;Editura Librăriei Școalelor C. Sfetea;;;;low;ROM004;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ROM005;Macri, Panait;Ghiță Cătănuță, căpitan de haiduci;1883;1883;;texts/ROM005.xml;28565;Romanian;;male;1863;1932;short;1880-1899;ELTeC-rom;1883;;;;;;;low;ROM005;20;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ROM006;Popescu, N.D.;Iancu Jianu, Haiducul;1873;1873;Nicolae D. Popescu-Popnedea;texts/ROM006.xml;117922;Romanian;;male;1843;1921;long;1860-1879;ELTeC-rom;1873;;1912;;;;;low;ROM006;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ROM007;Stoenescu, Stefan;Corbea. Istorie originală ilustrată cu 7 gravuri;1892;1892;;texts/ROM007.xml;30119;Romanian;;unknown;;;short;1880-1899;ELTeC-rom;1892;;1892;;;;;low;ROM007;;;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ROM008;Popescu, N.D.;Boierii haiduci. Nuvela originală compusă de N.D. Popescu cu patru ilustrațiuni;1892;1892;Nicolae D. Popescu-Popnedea;texts/ROM008.xml;31921;Romanian;;male;1843;1921;short;1880-1899;ELTeC-rom;1892;;;;;;;low;ROM008;49;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ROM009;Macedonski, Alexandru;THALASSA;1906;1906;;texts/ROM009.xml;28944;Romanian;;male;1854;1920;short;1900-1920;ELTeC-rom;1906;2013;;;;;;high;ROM009;52;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ROM010;Vlahuță, Alexandru;Dan;1894;1894;;texts/ROM010.xml;63856;Romanian;;male;1858;1919;medium;1880-1899;ELTeC-rom;1894;;1964;;;;;high;ROM010;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
ROM011;Grandea, Grigore H.;Fulga sau ideal și real;1872;1872;;texts/ROM011.xml;29817;Romanian;;male;1843;1897;short;1860-1879;ELTeC-rom;;;1872;;;;;high;ROM011;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
