Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
SRP18520;Атанацковић, Богобој;Два идола;1852;1852;authorid: https://www.wikidata.org/wiki/Q833421;texts/SRP18520_BogobojA_DvaIdola.xml;44207;Serbian;https://viaf.org/viaf/8970679;male;1826;1858;short;1840-1859;ELTeC-srp;1852;;1893;;https://www.wikidata.org/wiki/Q109336066;;;high;SRP18520;26;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18590;Игњатовић, Јаков;Ђурађ Бранковић : историческиј роман;1859;1859;authorid: https://www.wikidata.org/wiki/Q570913;texts/SRP18590_JakovI_DjuradjB.xml;97481;Serbian;https://viaf.org/viaf/4995002;male;1822;1889;medium;1840-1859;ELTeC-srp;1859;;1987;;https://www.wikidata.org/wiki/Q109336077;;;low;SRP18590;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18620;Игњатовић, Јаков;Једна женидба : слика из живота;1862;1862;authorid: https://www.wikidata.org/wiki/Q570913;texts/SRP18620_JednaZenidba.xml;20858;Serbian;https://viaf.org/viaf/4995002;male;1822;1889;short;1860-1879;ELTeC-srp;1862;;1953;;https://www.wikidata.org/wiki/Q109336089;;;high;SRP18620;40;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18630;Игњатовић, Јаков;Милан Наранџић;1863;1863;authorid: https://www.wikidata.org/wiki/Q570913;texts/SRP18630_JakovI_MilanN.xml;88117;Serbian;https://viaf.org/viaf/4995002;male;1822;1889;medium;1860-1879;ELTeC-srp;1863;;1949;;https://www.wikidata.org/wiki/Q109336104;;;high;SRP18630;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18631;Ђорђевић, Владан;Кочина крајина : историјски роман;1863;1863;authorid: https://www.wikidata.org/wiki/Q701339;texts/SRP18631_VladanDj_KocinaKrajna.xml;66347;Serbian;https://viaf.org/viaf/106964101;male;1844;1930;medium;1860-1879;ELTeC-srp;1863;;;;https://www.wikidata.org/wiki/Q109336100;;;low;SRP18631;19;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18680;Грчић, Јован Миленко;"У гостионици код ""Полу-звезде"" на имендан шантавог торбара : Приповетка из народног живота";1868;1868;authorid: https://www.wikidata.org/wiki/Q13566195;texts/SRP18680_JovanGM_UGostionici.xml;19320;Serbian;https://viaf.org/viaf/37742606;male;1846;1875;short;1860-1879;ELTeC-srp;1868;;1987;;;;;high;SRP18680;22;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18690;Ђорђевић, Владан;Гмунденско језеро : путничка новела;1869;1869;authorid: https://www.wikidata.org/wiki/Q701339;texts/SRP18690_GmundenskoJezero.xml;36543;Serbian;https://viaf.org/viaf/106964101;male;1844;1930;short;1860-1879;ELTeC-srp;1869;;;;https://www.wikidata.org/wiki/Q109335979;;;low;SRP18690;25;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18691;Поповић, Панта;Какав је ко онако му и бива : приповетка из народна живота / написао за народ Панта Поповић;1869;1869;;texts/SRP18691_PantaP_KakavJeKo.xml;31620;Serbian;https://www.wikidata.org/wiki/Q108983667;male;1843;1918;short;1860-1879;ELTeC-srp;1869;;;;https://www.wikidata.org/wiki/Q109336095;;;low;SRP18691;26;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18730;Суботић, Јован;Калуђер : истина и поезија;1874;1874;authorid: https://www.wikidata.org/wiki/Q6194671;texts/SRP18730_JovanS_Kaludjer.xml;64724;Serbian;https://viaf.org/viaf/55020645;male;1817;1886;medium;1860-1879;ELTeC-srp;1874;;1881;;https://www.wikidata.org/wiki/Q109336097;;;low;SRP18730;57;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18740;Јакшић, Ђура;Сељаци : приповетка из сеоског живота, из године 1857.;1874;1874;authorid: https://www.wikidata.org/wiki/Q342124;texts/SRP18740_DjuraJ_Seljaci.xml;14247;Serbian;https://viaf.org/viaf/47570198;male;1832;1878;short;1860-1879;ELTeC-srp;1874;;;;https://www.wikidata.org/wiki/Q109336238;;;high;SRP18740;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18741;Јакшић, Ђура;Сирота Банаћанка;1875;1875;authorid: https://www.wikidata.org/wiki/Q342124;texts/SRP18741_DjuraJ_Banacanka.xml;11223;Serbian;https://viaf.org/viaf/47570198;male;1832;1878;short;1860-1879;ELTeC-srp;1875;;2005;;https://www.wikidata.org/wiki/Q110814766;;;high;SRP18741;43;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SRP18750;Игњатовић, Јаков;Васа Решпект;1875;1875;"authorid: https://www.wikidata.org/wiki/Q570913 ; titleid: https://www.wikidata.org/wiki/Q109303305 ";texts/SRP18750_JakovI_VasaRespekt.xml;48661;Serbian;https://viaf.org/viaf/4995002;male;1822;1889;short;1860-1879;ELTeC-srp;1875;;1913;;https://viaf.org/viaf/4597155566462213380006;;;high;SRP18750;53;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
