Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
SLV00024;Bedenek, Jakob;Od pluga do krone;1891;1891;;texts/SLV00024.xml;81449;Slovenian;https://viaf.org/viaf/84381657;male;1850;1916;medium;1880-1899;ELTeC-slv;;2015-04-03;1891;;;;;low;SLV00024;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SLV00048;Govekar, Fran;V krvi;1896;1896;;texts/SLV00048.xml;51500;Slovenian;https://viaf.org/viaf/51812691;male;1871;1949;medium;1880-1899;ELTeC-slv;;2015-04-03;1896;;;;;high;SLV00048;25;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SLV00058;Kersnik, Janko;Ciklamen;1883;1883;;texts/SLV00058.xml;37437;Slovenian;https://viaf.org/viaf/34746806;male;1852;1897;short;1880-1899;ELTeC-slv;;2015-04-03;1883;;;;;high;SLV00058;31;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SLV00072;Meško, Ksaver;Kam plovemo;1897;1897;;texts/SLV00072.xml;71125;Slovenian;https://viaf.org/viaf/62359223;male;1874;1964;medium;1880-1899;ELTeC-slv;;2015-04-03;1897;;;;;high;SLV00072;23;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SLV00090;Štrukelj, Ivan;Spletke;1894;1894;conor:311191651;texts/SLV00090.xml;38581;Slovenian;https://www.wikidata.org/wiki/Q12791694;male;1869;1948;short;1880-1899;ELTeC-slv;;2015-04-03;1894;;;;;low;SLV00090;25;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SLV00092;Štrukelj, Ivan;Zmota in povrat;1892;1892;conor:311191651;texts/SLV00092.xml;33297;Slovenian;https://www.wikidata.org/wiki/Q12791694;male;1869;1948;short;1880-1899;ELTeC-slv;;2015-04-03;1892;;;;;low;SLV00092;23;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SLV00094;Bartel, Anton;Pomladanski vetrovi;1881;1881;;texts/SLV00094.xml;65226;Slovenian;https://viaf.org/viaf/10824798;male;1853;1938;medium;1880-1899;ELTeC-slv;;2015-04-03;1881;;;;;low;SLV00094;28;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SLV00098;Koder, Anton;Luteranci;1883;1883;;texts/SLV00098.xml;42385;Slovenian;https://viaf.org/viaf/172847595;male;1851;1918;short;1880-1899;ELTeC-slv;;2015-04-03;1883;;;;;low;SLV00098;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SLV00099;Koder, Anton;Marjetica;1877;1877;;texts/SLV00099.xml;61988;Slovenian;https://viaf.org/viaf/172847595;male;1851;1918;medium;1860-1879;ELTeC-slv;;2015-04-03;1877;;;;;high;SLV00099;26;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SLV00103;Koder, Anton;Zvezdana;1883;1883;;texts/SLV00103.xml;31108;Slovenian;https://viaf.org/viaf/172847595;male;1851;1918;short;1880-1899;ELTeC-slv;;2015-04-03;1883;;;;;low;SLV00103;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
