Key;Author;Title;Date;Reference year;Notes;files;No of words;Language;Authorid;Author gender (manual);Author birth;Author death;Size;Time slot;Corpus;First edition;Digital edition;Print edition;Provenance;Titleid;Subgenre;Narrative perspective;Reprint count;Xmlid;Author age (time of writing);Posthumous;Publication statement
SPA1001;Gil y Carrasco, Enrique;El Señor de Bembibre;1844;1844;;texts/SPA1001_GilYCarrasco_ElSenyorDeBembibre.xml;111968;Spanish;https://viaf.org/viaf/27087132;male;1815;1846;long;1840-1859;ELTeC-spa;1844;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/194763311;;;high;SPA1001;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1002;Alonso de la Avecilla, Pablo;Conquista del Perú: novela histórica original : edición de ELTeC;1852;1852;;texts/SPA1002_AlonsoDeAvecilla_LaConquistaDelPeru.xml;59587;Spanish;https://viaf.org/viaf/9453280;male;1810;1860;medium;1840-1859;ELTeC-spa;1852;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA1002;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1003;Arróriz y Bosch, Teresa;El testamento de Don Juan I : edición ELTec;1855;1855;;texts/SPA1003_ArnoizYBosch_ElTestamento.xml;123524;Spanish;https://viaf.org/viaf/268680340;female;1827;1890;long;1840-1859;ELTeC-spa;1855;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA1003;28;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1004;Foz, Braulio;Vida de Pedro Saputo :  Edición ELTeC;1844;1844;;texts/SPA1004_Foz_VidaDePedroSaputo.xml;95541;Spanish;https://viaf.org/viaf/22213455;male;1791;1865;medium;1840-1859;ELTeC-spa;1844;1999;;Biblioteca Virtual Miguel de Cervantes;https://viaf.org/viaf/192655183;;;low;SPA1004;53;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1005;Böhl de Faber y Ruiz de Larrea, Cecilia;Clemencia. Novela de costumbres;1852;1852;Böhl de Faber y Ruiz de Larrea, Cecilia [Fernán Caballero] ;texts/SPA1005_FernanCaballero_Clemencia.xml;98583;Spanish;https://viaf.org/viaf/9859150;female;1796;1877;medium;1840-1859;ELTeC-spa;1852;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/197892001;;;high;SPA1005;56;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1006;Amado Salazar, José María;El honor castellano. Novela histórica original;1855;1855;;texts/SPA1006_AmadoSalzar_ElHonorCastellano.xml;102498;Spanish;;male;1828;1859;long;1840-1859;ELTeC-spa;1855;;;Biblioteca Virtual Miguel de Cervantes;;;;low;SPA1006;27;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1007;Castro, Rosalía de;La hija del mar;1859;1859;;texts/SPA1007_RosaliaDeCastro_LaHijaDelMar.xml;54494;Spanish;https://viaf.org/viaf/51711491;female;1837;1885;medium;1840-1859;ELTeC-spa;1859;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/185147744;;;high;SPA1007;22;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1008;Mora, Juan de Dios;Los templarios. Tomo I;1856;1856;;texts/SPA1008_Mora_LosTemplarios.xml;224585;Spanish;https://viaf.org/viaf/87109591;male;1827;1884;long;1840-1859;ELTeC-spa;1856;1999;1883;Biblioteca Virtual Miguel de Cervantes;;;;low;SPA1008;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1009;Ros de Olano, Antonio;El diablo las carga;1840;1840;;texts/SPA1009_RosDeOlano_ElDiabloLasCarga.xml;15435;Spanish;https://viaf.org/viaf/60729092;male;1808;1886;short;1840-1859;ELTeC-spa;1840;;;Biblioteca Digital Hispánica;;;;low;SPA1009;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1010;Guerrero, Teodoro;Anatomía del corazón;1856;1856;;texts/SPA1010_Guerrero_AnatomiaDelCorazon.xml;132018;Spanish;https://viaf.org/viaf/39156046;male;1824;1904;long;1840-1859;ELTeC-spa;1856;;1873;Biblioteca Digital Hispánica;;;;low;SPA1010;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1011;Domínguez, P. J.;Don Juan I de Castilla o La Venganza de un Rey;1852;1852;;texts/SPA1011_Dominguez_DonJuanIdeCastilla.xml;162427;Spanish;;male;;;long;1840-1859;ELTeC-spa;1852;1999;;Biblioteca Virtual Miguel de Cervantes;;;;low;SPA1011;;;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1012;Coronado, Carolina;Jarilla : Edición ELTec;1850;1850;;texts/SPA1012_CarolinaCoronado_Jarilla.xml;50399;Spanish;https://viaf.org/viaf/5738205;female;1820;1911;medium;1840-1859;ELTeC-spa;1850;;1873;Biblioteca Digital Hispánica - Biblioteca Nacional de España;;;;low;SPA1012;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1013;De Campoamor, Ramón;Los manuscritos de mi padre: edición ELTeC;1842;1842;;texts/SPA1013_Campoamor_LosManuscritosDeMiPadre.xml;57552;Spanish;https://viaf.org/viaf/2542317;male;1817;1901;medium;1840-1859;ELTeC-spa;1842;;;Biblioteca Digital Hispánica;;;;low;SPA1013;25;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1014;Ortega y Frías, Ramón;Cervantes: Novela original;1859;1859;;texts/SPA1014_OrtegaYFrias_Cervantes.xml;304408;Spanish;https://viaf.org/viaf/11235414;male;1825;1883;long;1840-1859;ELTeC-spa;1859;;;Biblioteca Digital Hispánica - Biblioteca Nacional de España;;;;low;SPA1014;34;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1015;Jover, Nicasio Camilo;Las amarguras de un rey: novela histórica : edición ELTEC;1856;1856;;texts/SPA1015_Jover_LasAmarguras.xml;96894;Spanish;https://viaf.org/viaf/3785113;male;1821;1881;medium;1840-1859;ELTeC-spa;1856;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA1015;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1016;Torrijos, Manuel;La infanta Doña Teresa;1857;1857;;texts/SPA1016_ManuelTorrijos_LaInfantaDonyaTeresa.xml;77452;Spanish;;male;1835;1865;medium;1840-1859;ELTeC-spa;1857;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA1016;22;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1017;Böhl de Faber y Ruiz de Larrea, Cecilia;Lágrimas: novela de costumbres contemporáneas;1853;1853;Böhl de Faber y Ruiz de Larrea, Cecilia [Fernán Caballero] ;texts/SPA1017_FernanCaballero_Lagrimas.xml;84957;Spanish;https://viaf.org/viaf/9859150;female;1796;1877;medium;1840-1859;ELTeC-spa;1853;2000;1862;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA1017;57;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1018;Andueza, José María;Don Felipe el prudente. Novela histórica original : edición ELTEC;1856;1856;;texts/SPA1018_Andueza_DonFelipe.xml;182240;Spanish;https://viaf.org/viaf/102336641;male;1809;1865;long;1840-1859;ELTeC-spa;1856;1999;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA1018;47;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1021;Gómez de Avellaneda, Gertrudis;Sab. Novela original;1841;1841;;texts/SPA1021_GomezDeAvellaneda_Sab.xml;54338;Spanish;https://viaf.org/viaf/76328537;female;1814;1873;medium;1840-1859;ELTeC-spa;1841;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/189375499;;;high;SPA1021;27;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1022;Gómez de Avellaneda, Gertrudis;Dos mujeres;1843;1843;First edition: 1842-1843;texts/SPA1022_GomezDeAvellaneda_DosMujeres.xml;82889;Spanish;https://viaf.org/viaf/76328537;female;1814;1873;medium;1840-1859;ELTeC-spa;1843;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/193888534;;;low;SPA1022;29;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1023;Gómez de Avellaneda, Gertrudis;La velada del helecho o El donativo del diablo: novela;1857;1857;;texts/SPA1023_GomezDeAvellaneda_LaVeladaDelHelecho.xml;19748;Spanish;https://viaf.org/viaf/76328537;female;1814;1873;short;1840-1859;ELTeC-spa;1857;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;high;SPA1023;43;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1024;Fernández y Gonzalez, Manuel;Los siete infantes de Lara;1853;1853;;texts/SPA1024_FerandezYGonzalez_LossieteinfantesdeLara.xml;142402;Spanish;https://viaf.org/viaf/10223685;male;1821;1888;long;1840-1859;ELTeC-spa;1853;;;Biblioteca Digital Hispánica - Biblioteca Nacional de España;;;;low;SPA1024;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA1025;Navarro Villoslada, Francisco;Doña Blanca de Navarra;1846;1846;;texts/SPA1025_NavarroVilloslada_DonaBlanca.xml;163086;Spanish;https://viaf.org/viaf/76396892;male;1818;1895;long;1840-1859;ELTeC-spa;1846;;1916;;https://viaf.org/viaf/182333937;;;high;SPA1025;28;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2001;Castelar y Ripoll, Emilio;Ricardo;1877;1877;;texts/SPA2001_EmilioCastelar_Ricardo.xml;91062;Spanish;https://viaf.org/viaf/34167700;male;1832;1899;medium;1860-1879;ELTeC-spa;1877;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA2001;45;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2002;Castro, Rosalía de;El caballero de las botas azules;1867;1867;;texts/SPA2002_RosaliaDeCastro_ElCaballeroDeLasBotas.xml;77846;Spanish;https://viaf.org/viaf/51711491;female;1837;1885;medium;1860-1879;ELTeC-spa;1867;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/183936233;;;high;SPA2002;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2003;Pérez Galdós, Benito;Trafalgar :  edición ELTeC;1873;1873;;texts/SPA2003_PerezGaldos_Trafalgar.xml;51135;Spanish;https://viaf.org/viaf/71395987;male;1843;1920;medium;1860-1879;ELTeC-spa;1873;;1882;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;high;SPA2003;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2004;Alarcón, Pedro Antonio de;El Escándalo;1875;1875;;texts/SPA2004_Alarcon_ElEscandalo.xml;95023;Spanish;https://viaf.org/viaf/44294383;male;1833;1891;medium;1860-1879;ELTeC-spa;1875;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/206873727;;;high;SPA2004;42;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2005;Alarcón, Pedro Antonio de;El sombrero de tres picos :  edición ELTeC;1874;1874;;texts/SPA2005_Alarcon_ElSombreroDeTresPicos.xml;24605;Spanish;https://viaf.org/viaf/44294383;male;1833;1891;short;1860-1879;ELTeC-spa;1874;;1882;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/174986886;;;high;SPA2005;41;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2006;Llofriu y Sagrera, Eleuterio;El naufragio del grumete;1872;1872;;texts/SPA2006_LlofriuYSagrera_ElNaufragioDelGrumete.xml;18214;Spanish;https://viaf.org/viaf/232440021;male;1835;1880;short;1860-1879;ELTeC-spa;1872;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA2006;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2007;Llofriu y Sagrera, Eleuterio;Gloria, dinero y mujer;1872;1872;;texts/SPA2007_LlofriuYSagrera_GloriaDineroyMujer.xml;34216;Spanish;https://viaf.org/viaf/232440021;male;1835;1880;short;1860-1879;ELTeC-spa;1872;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA2007;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2008;Böhl de Faber y Ruiz de Larrea, Cecilia;Un servilón y un liberalito, ó Tres almas de Dios;1857;1857;Böhl de Faber y Ruiz de Larrea, Cecilia [Fernán Caballero] ;texts/SPA2008_FernanCaballero_UnServilonYUnLibertario.xml;22719;Spanish;https://viaf.org/viaf/9859150;female;1796;1877;short;1860-1879;ELTeC-spa;1857;;1863;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;high;SPA2008;61;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2009;Pérez Galdós, Benito;Marianela;1878;1878;;texts/SPA2009_PerezGaldos_Marianela.xml;55015;Spanish;https://viaf.org/viaf/71395987;male;1843;1920;medium;1860-1879;ELTeC-spa;1878;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/175113922;;;high;SPA2009;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2010;Martínez de Velasco, Eusebio;Noche de venganzas. Episodio histórico de la guerra de las comunidades de Castilla;1874;1874;;texts/SPA2010_MartínezDeVelasco_NocheDeVenganzas.xml;17441;Spanish;https://viaf.org/viaf/202683359;male;1836;1893;short;1860-1879;ELTeC-spa;1874;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA2010;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2011;Pastor de la Roca, José;La corona de fuego o Los subterraneos de las torres de Altamira;1863;1863;;texts/SPA2011_PastorDeLaRoca_LaCoronaDeFuego.xml;144256;Spanish;https://viaf.org/viaf/87642331;male;1824;1875;long;1860-1879;ELTeC-spa;1863;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA2011;39;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2012;Altadill, Antonio;Barcelona y sus misterios;1860;1860;;texts/SPA2012_Altadill_BarcelonaYsusMisterios.xml;293292;Spanish;https://viaf.org/viaf/6401758;male;1828;1880;long;1860-1879;ELTeC-spa;1860;;;Biblioteca Digital Hispánica;;;;low;SPA2012;32;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2013;Ortega y Frías, Ramón;El duende de la corte;1862;1862;;texts/SPA2013_OrtegaYFrias_ElDuende.xml;177961;Spanish;https://viaf.org/viaf/11235414;male;1825;1883;long;1860-1879;ELTeC-spa;1862;;;Biblioteca Digital Hispánica - Biblioteca Nacional de España;;;;low;SPA2013;37;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2014;Ortega y Frías, Ramón;Un año entre los salvajes: viajes y aventuras del doctor Smith;1875;1875;;texts/SPA2014_OrtegayFrias_UnAnyoEntreLosSalvajes.xml;44948;Spanish;https://viaf.org/viaf/11235414;male;1825;1883;short;1860-1879;ELTeC-spa;1875;;;Biblioteca Digital Hispánica - Biblioteca Nacional de España;;;;low;SPA2014;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2015;Grassi de la Cuenca, Ángela;El copo de nieve : edición ELTEC;1876;1876;;texts/SPA2015_Grassi_ElCopoDeNieve.xml;78979;Spanish;https://viaf.org/viaf/85064176;female;1826;1883;medium;1860-1879;ELTeC-spa;1876;1999;;Biblioteca Virtual Miguel de Cervantes;;;;low;SPA2015;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2016;Valera y Alcalá-Galiano, Juan;Doña Luz: edición ELTeC;1879;1879;;texts/SPA2016_JuanValera_DonyaLuz.xml;59554;Spanish;https://viaf.org/viaf/46770556;male;1824;1905;medium;1860-1879;ELTeC-spa;1879;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/310211175;;;high;SPA2016;55;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2017;Valera y Alcalá-Galiano, Juan;Pepita Jiménez;1874;1874;;texts/SPA2017_JuanValera_PepitaJimenez.xml;56743;Spanish;https://viaf.org/viaf/46770556;male;1824;1905;medium;1860-1879;ELTeC-spa;1874;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/201886664;;;high;SPA2017;50;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2018;López Bago, Eduardo;Los amores : edición ELTEC;1876;1876;;texts/SPA2018_LopezBago_LosAmores.xml;59494;Spanish;https://viaf.org/viaf/100260835;male;1853;1931;medium;1860-1879;ELTeC-spa;1876;;;Biblioteca Digital Hispánica;;;;low;SPA2018;23;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2019;Valera y Alcalá-Galiano, Juan;Las ilusiones del doctor Faustino;1875;1875;;texts/SPA2019_JuanValera_LasIlusionesDelDrFaustino.xml;119296;Spanish;https://viaf.org/viaf/46770556;male;1824;1905;long;1860-1879;ELTeC-spa;1875;2003;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;high;SPA2019;51;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2020;Pereda, José María de;Don Gonzalo González de la Gonzalera;1879;1879;;texts/SPA2020_Pereda_DonGonzaloGonzalez.xml;87576;Spanish;https://viaf.org/viaf/54167127;male;1833;1906;medium;1860-1879;ELTeC-spa;1879;1999;1906;Biblioteca Virtual Miguel de Cervantes;https://viaf.org/viaf/39146095200700371575;;;high;SPA2020;46;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2021;Castillo, Rafael del;Los caballeros del amor (Memorias del reinado de Carlos III);1879;1879;First edition: 1878-1879;texts/SPA2021_RafaelDelCastillo_LosCaballerosDelAmor.xml;426696;Spanish;https://viaf.org/viaf/46419719;male;1830;1908;long;1860-1879;ELTeC-spa;1879;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA2021;49;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA2022;Sinués de Marco, María del Pilar;El alma enferma;1865;1865;;texts/SPA2022_Sinues_ElAlmaEnferma.xml;110397;Spanish;https://viaf.org/viaf/59398413;female;1835;1893;long;1860-1879;ELTeC-spa;1865;;1882;;;;;low;SPA2022;30;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3001;Pérez Galdós, Benito;Fortunata y Jacinta : dos historias de casadas;1887;1887;;texts/SPA3001_PerezGaldos_FortunataYJacinta.xml;395208;Spanish;https://viaf.org/viaf/71395987;male;1843;1920;long;1880-1899;ELTeC-spa;1887;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/219960627;;;high;SPA3001;44;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3002;Alas, Leopoldo;La Regenta :  Edición ELTeC;1885;1885;"First edition: 1884-1885; Alas, Leopoldo pseudonym: Clarín";texts/SPA3002_LeopoldoAlas_LaRegenta.xml;304029;Spanish;https://viaf.org/viaf/17218138;male;1852;1901;long;1880-1899;ELTeC-spa;1885;;1901;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/183080784;;;high;SPA3002;33;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3003;Alas, Leopoldo;Su único hijo;1890;1890;Alas, Leopoldo [Clarín] ;texts/SPA3003_LeopoldoAlas_SuUnicoHijo.xml;89525;Spanish;https://viaf.org/viaf/17218138;male;1852;1901;medium;1880-1899;ELTeC-spa;1890;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/211738325;;;high;SPA3003;38;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3004;Pardo Bazán, Emilia;Los pazos de Ulloa;1886;1886;;texts/SPA3004_PardoBazan_LosPazos.xml;83789;Spanish;https://viaf.org/viaf/51699645;female;1851;1921;medium;1880-1899;ELTeC-spa;1886;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/201886382;;;high;SPA3004;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3005;Pardo Bazán, Emilia;La madre naturaleza;1887;1887;;texts/SPA3005_PardoBazan_LaMadreNaturaleza.xml;89771;Spanish;https://viaf.org/viaf/51699645;female;1851;1921;medium;1880-1899;ELTeC-spa;1887;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/51699645;;;high;SPA3005;36;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3006;Alarcón, Pedro Antonio de;El Capitan Veneno;1881;1881;;texts/SPA3006_Alarcon_ElCapitanVeneno.xml;21447;Spanish;https://viaf.org/viaf/44294383;male;1833;1891;short;1880-1899;ELTeC-spa;1881;;1905;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/186261440;;;high;SPA3006;48;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3007;Pereda, José María de;Sotileza;1885;1885;;texts/SPA3007_Pereda_Sotileza.xml;117375;Spanish;https://viaf.org/viaf/54167127;male;1833;1906;long;1880-1899;ELTeC-spa;1885;;;Biblioteca Virtual Miguel de Cervantes Saavedra;https://viaf.org/viaf/208722831;;;high;SPA3007;52;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3008;Pereda, José María de;Peñas arriba;1895;1895;;texts/SPA3008_Pereda_PArriba.xml;111968;Spanish;https://viaf.org/viaf/54167127;male;1833;1906;long;1880-1899;ELTeC-spa;1895;;1895;Biblioteca Digital Miguel de Cervantes;https://viaf.org/viaf/54167127;;;high;SPA3008;62;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3009;Blasco Ibáñez, Vicente;Arroz y tartana;1894;1894;;texts/SPA3009_BlascoIbanez_ArrozyTartana.xml;91010;Spanish;https://viaf.org/viaf/73848096;male;1867;1928;medium;1880-1899;ELTeC-spa;1894;2015;;CLiGS – Computergestützte literarische Gattungsstilistik;https://viaf.org/viaf/308552181;;;high;SPA3009;27;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3010;Blasco Ibáñez, Vicente;La barraca;1898;1898;;texts/SPA3010_BlascoIbanez_LaBarraca.xml;54172;Spanish;https://viaf.org/viaf/73848096;male;1867;1928;medium;1880-1899;ELTeC-spa;1898;2015;;CLiGS – Computergestützte literarische Gattungsstilistik;https://viaf.org/viaf/191735765;;;high;SPA3010;31;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
SPA3011;Asensi, Julia de;Santiago Arabal: historia de un pobre niño;1894;1894;;texts/SPA3011_Asensi_SantiagoArabal.xml;14173;Spanish;https://viaf.org/viaf/87707610;female;1859;1921;short;1880-1899;ELTeC-spa;1894;;;Biblioteca Virtual Miguel de Cervantes Saavedra;;;;low;SPA3011;35;false;"COST Action ""Distant Reading for European Literary History"": https://distant-reading.net, https://github.com/COST-ELTeC/ELTeC"
